# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_B_18> 
0 0 
0.00125 0.140058 
0.0025 0.254423 
0.00375 0.345701 
0.005 0.416313 
0.00625 0.468512 
0.0075 0.504387 
0.00875 0.525872 
0.01 0.534756 
0.01125 0.532688 
0.0125 0.521188 
0.01375 0.501653 
0.015 0.475362 
0.01625 0.443486 
0.0175 0.407091 
0.01875 0.367148 
0.02 0.324534 
0.02125 0.280043 
0.0225 0.234387 
0.02375 0.188203 
0.025 0.142059 
0.02625 0.0964558 
0.0275 0.0518341 
0.02875 0.00857713 
0.03 -0.0329846 
0.03125 -0.0725695 
0.0325 -0.109941 
0.03375 -0.144906 
0.035 -0.177308 
0.03625 -0.207027 
0.0375 -0.233975 
0.03875 -0.258094 
0.04 -0.279353 
0.04125 -0.297745 
0.0425 -0.313285 
0.04375 -0.32601 
0.045 -0.335973 
0.04625 -0.343241 
0.0475 -0.347898 
0.04875 -0.350038 
0.05 -0.349768 
0.05125 -0.347202 
0.0525 -0.34246 
0.05375 -0.335672 
0.055 -0.326971 
0.05625 -0.316493 
0.0575 -0.304378 
0.05875 -0.290767 
0.06 -0.275802 
0.06125 -0.259626 
0.0625 -0.242379 
0.06375 -0.224201 
0.065 -0.205231 
0.06625 -0.185602 
0.0675 -0.165447 
0.06875 -0.144894 
0.07 -0.124066 
0.07125 -0.103083 
0.0725 -0.0820598 
0.07375 -0.061106 
0.075 -0.0403258 
0.07625 -0.0198181 
0.0775 0.000323891 
0.07875 0.0200128 
0.08 0.0391669 
0.08125 0.0577105 
0.0825 0.075574 
0.08375 0.0926934 
0.085 0.109011 
0.08625 0.124474 
0.0875 0.139038 
0.08875 0.15266 
0.09 0.165307 
0.09125 0.17695 
0.0925 0.187563 
0.09375 0.197129 
0.095 0.205634 
0.09625 0.213069 
0.0975 0.219431 
0.09875 0.224719 
0.1 0.22894 
0.10125 0.232101 
0.1025 0.234217 
0.10375 0.235303 
0.105 0.235381 
0.10625 0.234474 
0.1075 0.232609 
0.10875 0.229816 
0.11 0.226127 
0.11125 0.221577 
0.1125 0.216203 
0.11375 0.210045 
0.115 0.203143 
0.11625 0.195541 
0.1175 0.187282 
0.11875 0.178411 
0.12 0.168975 
0.12125 0.159021 
0.1225 0.148596 
0.12375 0.13775 
0.125 0.126529 
0.12625 0.114984 
0.1275 0.103162 
0.12875 0.0911121 
0.13 0.0788817 
0.13125 0.0665184 
0.1325 0.0540691 
0.13375 0.0415795 
0.135 0.0290949 
0.13625 0.0166592 
0.1375 0.00431515 
0.13875 -0.00789549 
0.14 -0.0199325 
0.14125 -0.0317572 
0.1425 -0.0433322 
0.14375 -0.0546218 
0.145 -0.0655921 
0.14625 -0.0762108 
0.1475 -0.0864475 
0.14875 -0.0962735 
0.15 -0.105662 
0.15125 -0.114589 
0.1525 -0.12303 
0.15375 -0.130965 
0.155 -0.138376 
0.15625 -0.145245 
0.1575 -0.151558 
0.15875 -0.157301 
0.16 -0.162464 
0.16125 -0.167038 
0.1625 -0.171016 
0.16375 -0.174393 
0.165 -0.177167 
0.16625 -0.179335 
0.1675 -0.1809 
0.16875 -0.181864 
0.17 -0.18223 
0.17125 -0.182006 
0.1725 -0.181198 
0.17375 -0.179817 
0.175 -0.177874 
0.17625 -0.175381 
0.1775 -0.172352 
0.17875 -0.168803 
0.18 -0.164751 
0.18125 -0.160213 
0.1825 -0.155208 
0.18375 -0.149757 
0.185 -0.143882 
0.18625 -0.137605 
0.1875 -0.130948 
0.18875 -0.123936 
0.19 -0.116594 
0.19125 -0.108946 
0.1925 -0.10102 
0.19375 -0.092841 
0.195 -0.0844363 
0.19625 -0.075833 
0.1975 -0.0670587 
0.19875 -0.0581409 
0.2 -0.0491075 
0.20125 -0.0399862 
0.2025 -0.0308047 
0.20375 -0.0215907 
0.205 -0.0123714 
0.20625 -0.00317419 
0.2075 0.00597426 
0.20875 0.0150475 
0.21 0.0240196 
0.21125 0.0328651 
0.2125 0.0415592 
0.21375 0.0500778 
0.215 0.0583973 
0.21625 0.0664951 
0.2175 0.0743493 
0.21875 0.0819388 
0.22 0.0892435 
0.22125 0.0962443 
0.2225 0.102923 
0.22375 0.109263 
0.225 0.115247 
0.22625 0.120861 
