# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_0> 
0 0 
0.00125 -6.87181e-06 
0.0025 -2.743e-05 
0.00375 -6.15984e-05 
0.005 -0.000109301 
0.00625 -0.000170461 
0.0075 -0.000245002 
0.00875 -0.000332848 
0.01 -0.000433923 
0.01125 -0.000548149 
0.0125 -0.000675451 
0.01375 -0.000815753 
0.015 -0.000968977 
0.01625 -0.00113505 
0.0175 -0.00131389 
0.01875 -0.00150542 
0.02 -0.00170957 
0.02125 -0.00192626 
0.0225 -0.00215541 
0.02375 -0.00239695 
0.025 -0.0026508 
0.02625 -0.00291688 
0.0275 -0.00319512 
0.02875 -0.00348544 
0.03 -0.00378777 
0.03125 -0.00410202 
0.0325 -0.00442812 
0.03375 -0.004766 
0.035 -0.00511557 
0.03625 -0.00547677 
0.0375 -0.00584951 
0.03875 -0.00623371 
0.04 -0.00662931 
0.04125 -0.00703623 
0.0425 -0.00745438 
0.04375 -0.00788369 
0.045 -0.00832409 
0.04625 -0.0087755 
0.0475 -0.00923784 
0.04875 -0.00971104 
0.05 -0.010195 
0.05125 -0.0106897 
0.0525 -0.011195 
0.05375 -0.0117109 
0.055 -0.0122372 
0.05625 -0.0127739 
0.0575 -0.013321 
0.05875 -0.0138783 
0.06 -0.0144457 
0.06125 -0.0150233 
0.0625 -0.0156108 
0.06375 -0.0162084 
0.065 -0.0168157 
0.06625 -0.0174329 
0.0675 -0.0180598 
0.06875 -0.0186963 
0.07 -0.0193423 
0.07125 -0.0199979 
0.0725 -0.0206629 
0.07375 -0.0213371 
0.075 -0.0220207 
0.07625 -0.0227134 
0.0775 -0.0234152 
0.07875 -0.0241261 
0.08 -0.0248459 
0.08125 -0.0255746 
0.0825 -0.026312 
0.08375 -0.0270582 
0.085 -0.0278131 
0.08625 -0.0285765 
0.0875 -0.0293484 
0.08875 -0.0301287 
0.09 -0.0309174 
0.09125 -0.0317144 
0.0925 -0.0325195 
0.09375 -0.0333328 
0.095 -0.0341541 
0.09625 -0.0349833 
0.0975 -0.0358205 
0.09875 -0.0366655 
0.1 -0.0375182 
0.10125 -0.0383785 
0.1025 -0.0392465 
0.10375 -0.040122 
0.105 -0.0410049 
0.10625 -0.0418952 
0.1075 -0.0427927 
0.10875 -0.0436975 
0.11 -0.0446094 
0.11125 -0.0455284 
0.1125 -0.0464543 
0.11375 -0.0473872 
0.115 -0.0483269 
0.11625 -0.0492734 
0.1175 -0.0502265 
0.11875 -0.0511863 
0.12 -0.0521526 
0.12125 -0.0531254 
0.1225 -0.0541045 
0.12375 -0.05509 
0.125 -0.0560817 
0.12625 -0.0570796 
0.1275 -0.0580835 
0.12875 -0.0590935 
0.13 -0.0601094 
0.13125 -0.0611312 
0.1325 -0.0621588 
0.13375 -0.063192 
0.135 -0.064231 
0.13625 -0.0652755 
0.1375 -0.0663254 
0.13875 -0.0673809 
0.14 -0.0684416 
0.14125 -0.0695076 
0.1425 -0.0705789 
0.14375 -0.0716552 
0.145 -0.0727366 
0.14625 -0.073823 
0.1475 -0.0749142 
0.14875 -0.0760103 
0.15 -0.0771112 
0.15125 -0.0782167 
0.1525 -0.0793269 
0.15375 -0.0804415 
0.155 -0.0815607 
0.15625 -0.0826842 
0.1575 -0.0838121 
0.15875 -0.0849442 
0.16 -0.0860804 
0.16125 -0.0872208 
0.1625 -0.0883651 
0.16375 -0.0895134 
0.165 -0.0906656 
0.16625 -0.0918216 
0.1675 -0.0929814 
0.16875 -0.0941448 
0.17 -0.0953118 
0.17125 -0.0964822 
0.1725 -0.0976562 
0.17375 -0.0988335 
0.175 -0.100014 
0.17625 -0.101198 
0.1775 -0.102385 
0.17875 -0.103575 
0.18 -0.104768 
0.18125 -0.105964 
0.1825 -0.107163 
0.18375 -0.108365 
0.185 -0.109569 
0.18625 -0.110776 
0.1875 -0.111986 
0.18875 -0.113198 
0.19 -0.114412 
0.19125 -0.115629 
0.1925 -0.116848 
0.19375 -0.11807 
0.195 -0.119294 
0.19625 -0.120519 
0.1975 -0.121747 
0.19875 -0.122977 
0.2 -0.124208 
0.20125 -0.125441 
0.2025 -0.126676 
0.20375 -0.127913 
0.205 -0.129151 
0.20625 -0.130391 
0.2075 -0.131633 
0.20875 -0.132875 
0.21 -0.134119 
0.21125 -0.135364 
0.2125 -0.136611 
0.21375 -0.137858 
0.215 -0.139107 
0.21625 -0.140356 
0.2175 -0.141607 
0.21875 -0.142858 
0.22 -0.14411 
