# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_4> 
0 0 
0.00125 -0.000111068 
0.0025 -0.000440056 
0.00375 -0.000982114 
0.005 -0.00173239 
0.00625 -0.00268601 
0.0075 -0.00383812 
0.00875 -0.00518384 
0.01 -0.00671831 
0.01125 -0.00843663 
0.0125 -0.0103339 
0.01375 -0.0124054 
0.015 -0.014646 
0.01625 -0.0170511 
0.0175 -0.0196156 
0.01875 -0.0223348 
0.02 -0.0252037 
0.02125 -0.0282177 
0.0225 -0.0313717 
0.02375 -0.034661 
0.025 -0.0380807 
0.02625 -0.0416262 
0.0275 -0.0452925 
0.02875 -0.0490749 
0.03 -0.0529686 
0.03125 -0.0569689 
0.0325 -0.0610711 
0.03375 -0.0652705 
0.035 -0.0695623 
0.03625 -0.073942 
0.0375 -0.0784048 
0.03875 -0.0829462 
0.04 -0.0875616 
0.04125 -0.0922464 
0.0425 -0.096996 
0.04375 -0.101806 
0.045 -0.106672 
0.04625 -0.111589 
0.0475 -0.116553 
0.04875 -0.12156 
0.05 -0.126605 
0.05125 -0.131684 
0.0525 -0.136792 
0.05375 -0.141926 
0.055 -0.147081 
0.05625 -0.152253 
0.0575 -0.157438 
0.05875 -0.162632 
0.06 -0.16783 
0.06125 -0.173029 
0.0625 -0.178224 
0.06375 -0.183412 
0.065 -0.18859 
0.06625 -0.193752 
0.0675 -0.198895 
0.06875 -0.204016 
0.07 -0.209111 
0.07125 -0.214175 
0.0725 -0.219207 
0.07375 -0.224201 
0.075 -0.229155 
0.07625 -0.234064 
0.0775 -0.238927 
0.07875 -0.243738 
0.08 -0.248496 
0.08125 -0.253197 
0.0825 -0.257837 
0.08375 -0.262413 
0.085 -0.266923 
0.08625 -0.271364 
0.0875 -0.275732 
0.08875 -0.280024 
0.09 -0.284238 
0.09125 -0.288372 
0.0925 -0.292421 
0.09375 -0.296384 
0.095 -0.300258 
0.09625 -0.304041 
0.0975 -0.30773 
0.09875 -0.311322 
0.1 -0.314816 
0.10125 -0.318209 
0.1025 -0.321499 
0.10375 -0.324683 
0.105 -0.327761 
0.10625 -0.330728 
0.1075 -0.333585 
0.10875 -0.336328 
0.11 -0.338957 
0.11125 -0.341468 
0.1125 -0.343862 
0.11375 -0.346135 
0.115 -0.348287 
0.11625 -0.350316 
0.1175 -0.35222 
0.11875 -0.353999 
0.12 -0.35565 
0.12125 -0.357174 
0.1225 -0.358568 
0.12375 -0.359832 
0.125 -0.360964 
0.12625 -0.361964 
0.1275 -0.362831 
0.12875 -0.363563 
0.13 -0.364161 
0.13125 -0.364624 
0.1325 -0.364951 
0.13375 -0.365141 
0.135 -0.365195 
0.13625 -0.365111 
0.1375 -0.36489 
0.13875 -0.36453 
0.14 -0.364033 
0.14125 -0.363398 
0.1425 -0.362624 
0.14375 -0.361712 
0.145 -0.360662 
0.14625 -0.359475 
0.1475 -0.358149 
0.14875 -0.356686 
0.15 -0.355086 
0.15125 -0.35335 
0.1525 -0.351477 
0.15375 -0.349468 
0.155 -0.347325 
0.15625 -0.345047 
0.1575 -0.342635 
0.15875 -0.340091 
0.16 -0.337415 
0.16125 -0.334607 
0.1625 -0.331669 
0.16375 -0.328603 
0.165 -0.325408 
0.16625 -0.322086 
0.1675 -0.318639 
0.16875 -0.315067 
0.17 -0.311372 
0.17125 -0.307555 
0.1725 -0.303618 
0.17375 -0.299562 
0.175 -0.295389 
0.17625 -0.2911 
0.1775 -0.286696 
0.17875 -0.282181 
0.18 -0.277555 
0.18125 -0.272819 
0.1825 -0.267977 
0.18375 -0.263029 
0.185 -0.257978 
0.18625 -0.252826 
0.1875 -0.247574 
0.18875 -0.242225 
0.19 -0.236781 
0.19125 -0.231244 
0.1925 -0.225616 
0.19375 -0.219899 
0.195 -0.214095 
0.19625 -0.208208 
0.1975 -0.202239 
0.19875 -0.19619 
0.2 -0.190064 
0.20125 -0.183864 
0.2025 -0.177591 
0.20375 -0.171249 
0.205 -0.16484 
0.20625 -0.158365 
0.2075 -0.151829 
0.20875 -0.145234 
0.21 -0.138582 
0.21125 -0.131875 
0.2125 -0.125117 
0.21375 -0.118311 
0.215 -0.111458 
0.21625 -0.104562 
0.2175 -0.0976254 
0.21875 -0.0906511 
0.22 -0.0836418 
0.22125 -0.0766003 
0.2225 -0.0695295 
0.22375 -0.0624321 
0.225 -0.0553111 
0.22625 -0.0481693 
0.2275 -0.0410095 
0.22875 -0.0338347 
0.23 -0.0266476 
0.23125 -0.0194513 
0.2325 -0.0122485 
0.23375 -0.0050422 
0.235 0.00216473 
0.23625 0.00936939 
0.2375 0.0165689 
0.23875 0.0237604 
0.24 0.0309409 
0.24125 0.0381075 
0.2425 0.0452575 
0.24375 0.0523879 
0.245 0.0594958 
0.24625 0.0665784 
0.2475 0.0736328 
0.24875 0.0806563 
0.25 0.0876459 
0.25125 0.0945988 
0.2525 0.101512 
0.25375 0.108384 
0.255 0.11521 
0.25625 0.121988 
0.2575 0.128717 
0.25875 0.135392 
0.26 0.142011 
0.26125 0.148571 
0.2625 0.155071 
0.26375 0.161506 
0.265 0.167875 
0.26625 0.174176 
0.2675 0.180404 
0.26875 0.186559 
0.27 0.192638 
0.27125 0.198637 
0.2725 0.204555 
0.27375 0.21039 
0.275 0.216138 
0.27625 0.221798 
0.2775 0.227368 
0.27875 0.232844 
0.28 0.238226 
0.28125 0.24351 
0.2825 0.248695 
0.28375 0.253778 
0.285 0.258758 
0.28625 0.263632 
0.2875 0.268399 
0.28875 0.273057 
0.29 0.277603 
0.29125 0.282037 
0.2925 0.286355 
0.29375 0.290557 
0.295 0.294641 
0.29625 0.298605 
0.2975 0.302447 
0.29875 0.306167 
0.3 0.309762 
0.30125 0.313231 
0.3025 0.316573 
0.30375 0.319786 
0.305 0.32287 
0.30625 0.325822 
0.3075 0.328642 
0.30875 0.331329 
0.31 0.333881 
0.31125 0.336298 
0.3125 0.338579 
0.31375 0.340722 
0.315 0.342728 
0.31625 0.344594 
0.3175 0.346321 
0.31875 0.347908 
0.32 0.349354 
0.32125 0.350659 
0.3225 0.351822 
0.32375 0.352842 
0.325 0.353721 
0.32625 0.354456 
0.3275 0.355048 
0.32875 0.355498 
0.33 0.355803 
0.33125 0.355966 
0.3325 0.355985 
0.33375 0.355861 
0.335 0.355593 
0.33625 0.355183 
0.3375 0.35463 
0.33875 0.353934 
0.34 0.353097 
0.34125 0.352118 
0.3425 0.350998 
0.34375 0.349738 
0.345 0.348338 
0.34625 0.346798 
0.3475 0.345121 
0.34875 0.343306 
0.35 0.341354 
0.35125 0.339266 
0.3525 0.337044 
0.35375 0.334688 
0.355 0.3322 
0.35625 0.329581 
0.3575 0.326831 
0.35875 0.323952 
0.36 0.320946 
0.36125 0.317815 
0.3625 0.314558 
0.36375 0.311179 
0.365 0.307678 
0.36625 0.304058 
0.3675 0.30032 
0.36875 0.296465 
0.37 0.292496 
0.37125 0.288415 
0.3725 0.284222 
0.37375 0.279922 
0.375 0.275515 
0.37625 0.271003 
0.3775 0.266389 
0.37875 0.261675 
0.38 0.256863 
0.38125 0.251956 
