# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_7> 
0 0 
0.00125 -0.000263703 
0.0025 -0.00107784 
0.00375 -0.00241982 
0.005 -0.00426731 
0.00625 -0.00659831 
0.0075 -0.00939105 
0.00875 -0.012624 
0.01 -0.016276 
0.01125 -0.020326 
0.0125 -0.0247531 
0.01375 -0.0295368 
0.015 -0.0346568 
0.01625 -0.0400927 
0.0175 -0.0458248 
0.01875 -0.0518331 
0.02 -0.0580982 
0.02125 -0.0646007 
0.0225 -0.0713215 
0.02375 -0.0782415 
0.025 -0.085342 
0.02625 -0.0926044 
0.0275 -0.100011 
0.02875 -0.107542 
0.03 -0.115182 
0.03125 -0.122911 
0.0325 -0.130713 
0.03375 -0.13857 
0.035 -0.146466 
0.03625 -0.154384 
0.0375 -0.162308 
0.03875 -0.17022 
0.04 -0.178107 
0.04125 -0.185951 
0.0425 -0.193739 
0.04375 -0.201454 
0.045 -0.209082 
0.04625 -0.21661 
0.0475 -0.224023 
0.04875 -0.231307 
0.05 -0.23845 
0.05125 -0.245438 
0.0525 -0.252259 
0.05375 -0.258901 
0.055 -0.265352 
0.05625 -0.2716 
0.0575 -0.277636 
0.05875 -0.283447 
0.06 -0.289025 
0.06125 -0.294358 
0.0625 -0.299439 
0.06375 -0.304258 
0.065 -0.308806 
0.06625 -0.313076 
0.0675 -0.31706 
0.06875 -0.320751 
0.07 -0.324142 
0.07125 -0.327227 
0.0725 -0.33 
0.07375 -0.332457 
0.075 -0.334591 
0.07625 -0.336398 
0.0775 -0.337875 
0.07875 -0.339018 
0.08 -0.339824 
0.08125 -0.340291 
0.0825 -0.340416 
0.08375 -0.340198 
0.085 -0.339634 
0.08625 -0.338726 
0.0875 -0.337472 
0.08875 -0.335872 
0.09 -0.333927 
0.09125 -0.331638 
0.0925 -0.329007 
0.09375 -0.326035 
0.095 -0.322724 
0.09625 -0.319077 
0.0975 -0.315098 
0.09875 -0.31079 
0.1 -0.306157 
0.10125 -0.301202 
0.1025 -0.295931 
0.10375 -0.29035 
0.105 -0.284462 
0.10625 -0.278274 
0.1075 -0.271793 
0.10875 -0.265024 
0.11 -0.257974 
0.11125 -0.250652 
0.1125 -0.243063 
0.11375 -0.235216 
0.115 -0.227118 
0.11625 -0.218779 
0.1175 -0.210207 
0.11875 -0.20141 
0.12 -0.192398 
0.12125 -0.183179 
0.1225 -0.173765 
0.12375 -0.164163 
0.125 -0.154385 
0.12625 -0.144441 
0.1275 -0.13434 
0.12875 -0.124093 
0.13 -0.113712 
0.13125 -0.103206 
0.1325 -0.0925869 
0.13375 -0.0818656 
0.135 -0.0710531 
0.13625 -0.0601608 
0.1375 -0.0491998 
0.13875 -0.0381817 
0.14 -0.0271179 
0.14125 -0.0160198 
0.1425 -0.00489885 
0.14375 0.00623332 
0.145 0.0173652 
0.14625 0.0284854 
0.1475 0.0395823 
0.14875 0.0506444 
0.15 0.0616605 
0.15125 0.0726191 
0.1525 0.083509 
0.15375 0.0943189 
0.155 0.105038 
0.15625 0.115655 
0.1575 0.126159 
0.15875 0.136539 
0.16 0.146785 
0.16125 0.156886 
0.1625 0.166832 
0.16375 0.176613 
0.165 0.186219 
0.16625 0.19564 
0.1675 0.204866 
0.16875 0.213888 
0.17 0.222698 
