# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_18> 
0 0 
0.00125 1.08584 
0.0025 1.99085 
0.00375 2.73264 
0.005 3.32761 
0.00625 3.79101 
0.0075 4.13701 
0.00875 4.37872 
0.01 4.5283 
0.01125 4.59696 
0.0125 4.59508 
0.01375 4.53216 
0.015 4.41696 
0.01625 4.2575 
0.0175 4.06112 
0.01875 3.83448 
0.02 3.58368 
0.02125 3.3142 
0.0225 3.03102 
0.02375 2.73861 
0.025 2.44097 
0.02625 2.14165 
0.0275 1.84381 
0.02875 1.55023 
0.03 1.26333 
0.03125 0.985208 
0.0325 0.717658 
0.03375 0.462195 
0.035 0.220076 
0.03625 -0.0076783 
0.0375 -0.220266 
0.03875 -0.417082 
0.04 -0.597705 
0.04125 -0.761875 
0.0425 -0.909484 
0.04375 -1.04056 
0.045 -1.15524 
0.04625 -1.25379 
0.0475 -1.33655 
0.04875 -1.40396 
0.05 -1.45652 
0.05125 -1.49481 
0.0525 -1.51944 
0.05375 -1.53109 
0.055 -1.53046 
0.05625 -1.51828 
0.0575 -1.49532 
0.05875 -1.46236 
0.06 -1.42017 
0.06125 -1.36955 
0.0625 -1.31128 
0.06375 -1.24616 
0.065 -1.17497 
0.06625 -1.09846 
0.0675 -1.01739 
0.06875 -0.932484 
0.07 -0.844461 
0.07125 -0.754005 
0.0725 -0.661776 
0.07375 -0.568409 
0.075 -0.47451 
0.07625 -0.380652 
0.0775 -0.287381 
0.07875 -0.195209 
0.08 -0.104615 
0.08125 -0.0160468 
0.0825 0.0700818 
0.08375 0.15339 
0.085 0.23353 
0.08625 0.310188 
0.0875 0.38308 
0.08875 0.451956 
0.09 0.516598 
0.09125 0.576817 
0.0925 0.632456 
0.09375 0.683384 
0.095 0.729502 
0.09625 0.770736 
0.0975 0.807039 
0.09875 0.838389 
0.1 0.864787 
0.10125 0.88626 
0.1025 0.902854 
0.10375 0.914636 
0.105 0.921692 
0.10625 0.924128 
0.1075 0.922064 
0.10875 0.915639 
0.11 0.905002 
0.11125 0.89032 
0.1125 0.871769 
0.11375 0.849535 
0.115 0.823816 
0.11625 0.794817 
0.1175 0.762751 
0.11875 0.727834 
0.12 0.690292 
0.12125 0.650352 
0.1225 0.608244 
0.12375 0.564199 
0.125 0.518452 
0.12625 0.471236 
0.1275 0.422783 
0.12875 0.373323 
0.13 0.323085 
0.13125 0.272294 
0.1325 0.221171 
0.13375 0.169932 
0.135 0.118787 
0.13625 0.0679414 
0.1375 0.0175942 
0.13875 -0.0320635 
0.14 -0.0808478 
0.14125 -0.128583 
0.1425 -0.1751 
0.14375 -0.220242 
0.145 -0.263857 
0.14625 -0.305805 
0.1475 -0.345955 
0.14875 -0.384185 
0.15 -0.420383 
0.15125 -0.454447 
0.1525 -0.486286 
0.15375 -0.515818 
0.155 -0.542971 
0.15625 -0.567683 
0.1575 -0.589904 
0.15875 -0.609592 
0.16 -0.626715 
0.16125 -0.641251 
0.1625 -0.653189 
0.16375 -0.662524 
0.165 -0.669265 
0.16625 -0.673425 
0.1675 -0.675029 
0.16875 -0.67411 
0.17 -0.670708 
0.17125 -0.664871 
0.1725 -0.656655 
0.17375 -0.646124 
0.175 -0.633347 
0.17625 -0.618402 
0.1775 -0.601369 
0.17875 -0.582339 
0.18 -0.561403 
0.18125 -0.538661 
0.1825 -0.514216 
0.18375 -0.488175 
0.185 -0.460647 
0.18625 -0.431748 
0.1875 -0.401595 
0.18875 -0.370306 
0.19 -0.338002 
0.19125 -0.304808 
0.1925 -0.270846 
0.19375 -0.236243 
0.195 -0.201122 
0.19625 -0.16561 
0.1975 -0.129832 
0.19875 -0.0939115 
0.2 -0.0579717 
0.20125 -0.0221342 
0.2025 0.0134813 
0.20375 0.0487572 
0.205 0.0835784 
0.20625 0.117833 
0.2075 0.151411 
0.20875 0.184208 
0.21 0.216122 
0.21125 0.247054 
0.2125 0.27691 
0.21375 0.305602 
0.215 0.333045 
0.21625 0.359158 
0.2175 0.383867 
0.21875 0.407102 
0.22 0.428799 
0.22125 0.448899 
0.2225 0.467349 
0.22375 0.484102 
0.225 0.499115 
0.22625 0.512353 
0.2275 0.523785 
0.22875 0.533389 
0.23 0.541145 
0.23125 0.547041 
0.2325 0.551072 
0.23375 0.553237 
0.235 0.553541 
0.23625 0.551996 
0.2375 0.548618 
0.23875 0.543432 
0.24 0.536463 
0.24125 0.527747 
0.2425 0.517322 
0.24375 0.505232 
0.245 0.491525 
0.24625 0.476255 
0.2475 0.45948 
0.24875 0.441263 
0.25 0.42167 
0.25125 0.400772 
0.2525 0.378644 
0.25375 0.355362 
0.255 0.331007 
0.25625 0.305665 
0.2575 0.279421 
0.25875 0.252364 
0.26 0.224587 
0.26125 0.196181 
0.2625 0.167241 
0.26375 0.137865 
0.265 0.108148 
0.26625 0.0781894 
0.2675 0.0480866 
0.26875 0.0179384 
0.27 -0.012157 
0.27125 -0.0421015 
0.2725 -0.0717979 
0.27375 -0.10115 
0.275 -0.130063 
0.27625 -0.158443 
0.2775 -0.186199 
0.27875 -0.213241 
0.28 -0.239483 
0.28125 -0.264839 
0.2825 -0.289229 
0.28375 -0.312573 
0.285 -0.334798 
0.28625 -0.35583 
0.2875 -0.375603 
0.28875 -0.394053 
0.29 -0.411121 
0.29125 -0.426751 
0.2925 -0.440893 
0.29375 -0.453502 
0.295 -0.464535 
0.29625 -0.473958 
0.2975 -0.48174 
0.29875 -0.487855 
0.3 -0.492283 
0.30125 -0.495009 
0.3025 -0.496024 
0.30375 -0.495324 
0.305 -0.492911 
0.30625 -0.488793 
0.3075 -0.482982 
0.30875 -0.475496 
0.31 -0.466361 
0.31125 -0.455604 
0.3125 -0.443262 
0.31375 -0.429374 
0.315 -0.413987 
0.31625 -0.39715 
0.3175 -0.378919 
0.31875 -0.359355 
0.32 -0.338523 
0.32125 -0.316494 
0.3225 -0.29334 
0.32375 -0.26914 
0.325 -0.243977 
0.32625 -0.217936 
0.3275 -0.191108 
0.32875 -0.163583 
0.33 -0.135458 
0.33125 -0.106832 
0.3325 -0.0778035 
0.33375 -0.0484764 
0.335 -0.0189546 
0.33625 0.0106561 
0.3375 0.040249 
0.33875 0.0697165 
0.34 0.0989508 
0.34125 0.127844 
0.3425 0.156288 
0.34375 0.184176 
0.345 0.211402 
0.34625 0.237862 
0.3475 0.263453 
0.34875 0.288075 
0.35 0.311628 
0.35125 0.334019 
0.3525 0.355155 
0.35375 0.374948 
0.355 0.393314 
0.35625 0.410172 
0.3575 0.425448 
0.35875 0.439071 
