0 21.1604
1 239.838
2 763.755
3 2315
4 4618.96
5 9643.51
6 15851.7
7 27503
8 40581
9 63257.8
10 87888.3
11 126830
12 167838
13 285502
14 429924
15 526339
16 759442
17 4.64927e+06
18 1.42376e+07
19 1.4458e+07
20 2.84243e+07
