# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:32
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_M_13> 
0 0 
0.00125 -0.00147912 
0.0025 -0.00372333 
0.00375 -0.00647483 
0.005 -0.00950998 
0.00625 -0.0126366 
0.0075 -0.0156915 
0.00875 -0.0185381 
0.01 -0.0210641 
0.01125 -0.0231796 
0.0125 -0.0248148 
0.01375 -0.0259182 
0.015 -0.0264548 
0.01625 -0.0264048 
0.0175 -0.0257612 
0.01875 -0.024529 
0.02 -0.0227239 
0.02125 -0.0203701 
0.0225 -0.0175003 
0.02375 -0.0141536 
0.025 -0.0103749 
0.02625 -0.00621376 
0.0275 -0.00172369 
0.02875 0.00303894 
0.03 0.00801553 
0.03125 0.013146 
0.0325 0.0183694 
0.03375 0.0236247 
0.035 0.0288511 
0.03625 0.0339885 
0.0375 0.0389782 
0.03875 0.0437632 
0.04 0.0482884 
0.04125 0.052501 
0.0425 0.0563511 
0.04375 0.0597913 
0.045 0.0627774 
0.04625 0.0652684 
0.0475 0.0672269 
0.04875 0.0686187 
0.05 0.0694133 
0.05125 0.0695837 
0.0525 0.0691069 
0.05375 0.0679633 
0.055 0.0661371 
0.05625 0.0636162 
0.0575 0.0603921 
0.05875 0.0564599 
0.06 0.0518182 
0.06125 0.0464689 
0.0625 0.0404175 
0.06375 0.0336726 
0.065 0.0262458 
0.06625 0.0181519 
0.0675 0.00940832 
0.06875 3.54018e-05 
0.07 -0.00994403 
0.07125 -0.0205047 
0.0725 -0.0316191 
0.07375 -0.0432576 
0.075 -0.0553886 
0.07625 -0.0679786 
0.0775 -0.0809927 
0.07875 -0.0943943 
0.08 -0.108146 
0.08125 -0.122208 
0.0825 -0.136541 
0.08375 -0.151105 
0.085 -0.165857 
0.08625 -0.180756 
0.0875 -0.19576 
0.08875 -0.210825 
0.09 -0.225911 
0.09125 -0.240974 
0.0925 -0.255972 
0.09375 -0.270863 
0.095 -0.285606 
0.09625 -0.30016 
0.0975 -0.314485 
0.09875 -0.328542 
0.1 -0.342293 
0.10125 -0.355701 
0.1025 -0.368728 
0.10375 -0.381342 
0.105 -0.393508 
0.10625 -0.405194 
0.1075 -0.41637 
0.10875 -0.427006 
0.11 -0.437076 
0.11125 -0.446554 
0.1125 -0.455415 
0.11375 -0.463637 
0.115 -0.471201 
0.11625 -0.478087 
0.1175 -0.484278 
0.11875 -0.489761 
0.12 -0.494521 
0.12125 -0.498548 
0.1225 -0.501833 
0.12375 -0.504369 
0.125 -0.506151 
0.12625 -0.507174 
0.1275 -0.507439 
0.12875 -0.506945 
0.13 -0.505694 
0.13125 -0.503691 
0.1325 -0.500942 
0.13375 -0.497455 
0.135 -0.493238 
0.13625 -0.488304 
0.1375 -0.482664 
0.13875 -0.476334 
0.14 -0.46933 
0.14125 -0.461668 
0.1425 -0.453367 
0.14375 -0.444449 
0.145 -0.434933 
0.14625 -0.424844 
0.1475 -0.414205 
0.14875 -0.403041 
0.15 -0.391378 
0.15125 -0.379243 
0.1525 -0.366665 
0.15375 -0.353671 
0.155 -0.340292 
0.15625 -0.326558 
0.1575 -0.312499 
0.15875 -0.298147 
0.16 -0.283534 
0.16125 -0.268691 
0.1625 -0.25365 
0.16375 -0.238446 
0.165 -0.223109 
0.16625 -0.207674 
0.1675 -0.192172 
0.16875 -0.176637 
0.17 -0.161101 
0.17125 -0.145596 
0.1725 -0.130154 
0.17375 -0.114807 
0.175 -0.0995855 
0.17625 -0.0845208 
0.1775 -0.0696426 
0.17875 -0.0549805 
0.18 -0.0405631 
0.18125 -0.0264184 
0.1825 -0.0125736 
0.18375 0.000945143 
0.185 0.0141123 
0.18625 0.0269036 
0.1875 0.0392955 
0.18875 0.0512658 
0.19 0.0627932 
0.19125 0.0738576 
0.1925 0.0844402 
0.19375 0.0945232 
0.195 0.10409 
0.19625 0.113126 
0.1975 0.121617 
0.19875 0.129549 
0.2 0.136914 
0.20125 0.143699 
0.2025 0.149897 
0.20375 0.1555 
0.205 0.160504 
0.20625 0.164903 
0.2075 0.168694 
0.20875 0.171877 
0.21 0.17445 
0.21125 0.176416 
0.2125 0.177776 
0.21375 0.178535 
0.215 0.178698 
0.21625 0.178272 
0.2175 0.177265 
0.21875 0.175686 
0.22 0.173545 
0.22125 0.170854 
0.2225 0.167628 
0.22375 0.163878 
0.225 0.159622 
0.22625 0.154875 
0.2275 0.149655 
0.22875 0.14398 
0.23 0.137871 
0.23125 0.131347 
0.2325 0.12443 
0.23375 0.117142 
0.235 0.109506 
0.23625 0.101546 
0.2375 0.0932872 
0.23875 0.0847536 
0.24 0.0759714 
0.24125 0.0669668 
0.2425 0.0577665 
0.24375 0.0483979 
0.245 0.0388882 
0.24625 0.0292655 
0.2475 0.0195577 
0.24875 0.00979304 
0.25 1.08117e-15 
0.25125 -0.00979304 
0.2525 -0.0195577 
0.25375 -0.0292655 
0.255 -0.0388882 
0.25625 -0.0483979 
0.2575 -0.0577665 
0.25875 -0.0669668 
0.26 -0.0759714 
0.26125 -0.0847536 
0.2625 -0.0932872 
0.26375 -0.101546 
0.265 -0.109506 
0.26625 -0.117142 
0.2675 -0.12443 
0.26875 -0.131347 
0.27 -0.137871 
0.27125 -0.14398 
0.2725 -0.149655 
0.27375 -0.154875 
0.275 -0.159622 
0.27625 -0.163878 
0.2775 -0.167628 
0.27875 -0.170854 
0.28 -0.173545 
0.28125 -0.175686 
0.2825 -0.177265 
0.28375 -0.178272 
0.285 -0.178698 
0.28625 -0.178535 
0.2875 -0.177776 
0.28875 -0.176416 
0.29 -0.17445 
0.29125 -0.171877 
0.2925 -0.168694 
0.29375 -0.164903 
0.295 -0.160504 
0.29625 -0.1555 
0.2975 -0.149897 
0.29875 -0.143699 
0.3 -0.136914 
0.30125 -0.129549 
0.3025 -0.121617 
0.30375 -0.113126 
0.305 -0.10409 
0.30625 -0.0945232 
0.3075 -0.0844402 
0.30875 -0.0738576 
0.31 -0.0627932 
0.31125 -0.0512658 
0.3125 -0.0392955 
0.31375 -0.0269036 
0.315 -0.0141123 
0.31625 -0.000945143 
0.3175 0.0125736 
0.31875 0.0264184 
0.32 0.0405631 
0.32125 0.0549805 
0.3225 0.0696426 
0.32375 0.0845208 
0.325 0.0995855 
0.32625 0.114807 
0.3275 0.130154 
0.32875 0.145596 
0.33 0.161101 
0.33125 0.176637 
0.3325 0.192172 
0.33375 0.207674 
0.335 0.223109 
0.33625 0.238446 
0.3375 0.25365 
0.33875 0.268691 
0.34 0.283534 
0.34125 0.298147 
0.3425 0.312499 
0.34375 0.326558 
0.345 0.340292 
0.34625 0.353671 
0.3475 0.366665 
0.34875 0.379243 
0.35 0.391378 
0.35125 0.403041 
0.3525 0.414205 
0.35375 0.424844 
0.355 0.434933 
0.35625 0.444449 
0.3575 0.453367 
0.35875 0.461668 
0.36 0.46933 
0.36125 0.476334 
0.3625 0.482664 
0.36375 0.488304 
0.365 0.493238 
0.36625 0.497455 
0.3675 0.500942 
0.36875 0.503691 
0.37 0.505694 
0.37125 0.506945 
0.3725 0.507439 
0.37375 0.507174 
0.375 0.506151 
0.37625 0.504369 
0.3775 0.501833 
0.37875 0.498548 
0.38 0.494521 
0.38125 0.489761 
0.3825 0.484278 
0.38375 0.478087 
0.385 0.471201 
0.38625 0.463637 
0.3875 0.455415 
0.38875 0.446554 
0.39 0.437076 
0.39125 0.427006 
0.3925 0.41637 
0.39375 0.405194 
0.395 0.393508 
0.39625 0.381342 
0.3975 0.368728 
0.39875 0.355701 
0.4 0.342293 
0.40125 0.328542 
0.4025 0.314485 
0.40375 0.30016 
0.405 0.285606 
0.40625 0.270863 
0.4075 0.255972 
0.40875 0.240974 
0.41 0.225911 
0.41125 0.210825 
0.4125 0.19576 
0.41375 0.180756 
0.415 0.165857 
0.41625 0.151105 
0.4175 0.136541 
0.41875 0.122208 
0.42 0.108146 
0.42125 0.0943943 
0.4225 0.0809927 
0.42375 0.0679786 
0.425 0.0553886 
0.42625 0.0432576 
0.4275 0.0316191 
0.42875 0.0205047 
0.43 0.00994403 
0.43125 -3.54018e-05 
0.4325 -0.00940832 
0.43375 -0.0181519 
0.435 -0.0262458 
0.43625 -0.0336726 
0.4375 -0.0404175 
0.43875 -0.0464689 
0.44 -0.0518182 
0.44125 -0.0564599 
0.4425 -0.0603921 
0.44375 -0.0636162 
0.445 -0.0661371 
0.44625 -0.0679633 
0.4475 -0.0691069 
0.44875 -0.0695837 
0.45 -0.0694133 
0.45125 -0.0686187 
0.4525 -0.0672269 
0.45375 -0.0652684 
0.455 -0.0627774 
0.45625 -0.0597913 
0.4575 -0.0563511 
0.45875 -0.052501 
0.46 -0.0482884 
0.46125 -0.0437632 
0.4625 -0.0389782 
0.46375 -0.0339885 
0.465 -0.0288511 
0.46625 -0.0236247 
0.4675 -0.0183694 
0.46875 -0.013146 
0.47 -0.00801553 
0.47125 -0.00303894 
0.4725 0.00172369 
0.47375 0.00621376 
0.475 0.0103749 
0.47625 0.0141536 
0.4775 0.0175003 
0.47875 0.0203701 
0.48 0.0227239 
0.48125 0.024529 
0.4825 0.0257612 
0.48375 0.0264048 
0.485 0.0264548 
0.48625 0.0259182 
0.4875 0.0248148 
0.48875 0.0231796 
0.49 0.0210641 
0.49125 0.0185381 
0.4925 0.0156915 
0.49375 0.0126366 
0.495 0.00950998 
0.49625 0.00647483 
0.4975 0.00372333 
0.49875 0.00147912 
0.5 -8.59555e-15 


0.5 -8.59555e-15 
0.50125 -0.00147912 
0.5025 -0.00372333 
0.50375 -0.00647483 
0.505 -0.00950998 
0.50625 -0.0126366 
0.5075 -0.0156915 
0.50875 -0.0185381 
0.51 -0.0210641 
0.51125 -0.0231796 
0.5125 -0.0248148 
0.51375 -0.0259182 
0.515 -0.0264548 
0.51625 -0.0264048 
0.5175 -0.0257612 
0.51875 -0.024529 
0.52 -0.0227239 
0.52125 -0.0203701 
0.5225 -0.0175003 
0.52375 -0.0141536 
0.525 -0.0103749 
0.52625 -0.00621376 
0.5275 -0.00172369 
0.52875 0.00303894 
0.53 0.00801553 
0.53125 0.013146 
0.5325 0.0183694 
0.53375 0.0236247 
0.535 0.0288511 
0.53625 0.0339885 
0.5375 0.0389782 
0.53875 0.0437632 
0.54 0.0482884 
0.54125 0.052501 
0.5425 0.0563511 
0.54375 0.0597913 
0.545 0.0627774 
0.54625 0.0652684 
0.5475 0.0672269 
0.54875 0.0686187 
0.55 0.0694133 
0.55125 0.0695837 
0.5525 0.0691069 
0.55375 0.0679633 
0.555 0.0661371 
0.55625 0.0636162 
0.5575 0.0603921 
0.55875 0.0564599 
0.56 0.0518182 
0.56125 0.0464689 
0.5625 0.0404175 
0.56375 0.0336726 
0.565 0.0262458 
0.56625 0.0181519 
0.5675 0.00940832 
0.56875 3.54018e-05 
0.57 -0.00994403 
0.57125 -0.0205047 
0.5725 -0.0316191 
0.57375 -0.0432576 
0.575 -0.0553886 
0.57625 -0.0679786 
0.5775 -0.0809927 
0.57875 -0.0943943 
0.58 -0.108146 
0.58125 -0.122208 
0.5825 -0.136541 
0.58375 -0.151105 
0.585 -0.165857 
0.58625 -0.180756 
0.5875 -0.19576 
0.58875 -0.210825 
0.59 -0.225911 
0.59125 -0.240974 
0.5925 -0.255972 
0.59375 -0.270863 
0.595 -0.285606 
0.59625 -0.30016 
0.5975 -0.314485 
0.59875 -0.328542 
0.6 -0.342293 
0.60125 -0.355701 
0.6025 -0.368728 
0.60375 -0.381342 
0.605 -0.393508 
0.60625 -0.405194 
0.6075 -0.41637 
0.60875 -0.427006 
0.61 -0.437076 
0.61125 -0.446554 
0.6125 -0.455415 
0.61375 -0.463637 
0.615 -0.471201 
0.61625 -0.478087 
0.6175 -0.484278 
0.61875 -0.489761 
0.62 -0.494521 
0.62125 -0.498548 
0.6225 -0.501833 
0.62375 -0.504369 
0.625 -0.506151 
0.62625 -0.507174 
0.6275 -0.507439 
0.62875 -0.506945 
0.63 -0.505694 
0.63125 -0.503691 
0.6325 -0.500942 
0.63375 -0.497455 
0.635 -0.493238 
0.63625 -0.488304 
0.6375 -0.482664 
0.63875 -0.476334 
0.64 -0.46933 
0.64125 -0.461668 
0.6425 -0.453367 
0.64375 -0.444449 
0.645 -0.434933 
0.64625 -0.424844 
0.6475 -0.414205 
0.64875 -0.403041 
0.65 -0.391378 
0.65125 -0.379243 
0.6525 -0.366665 
0.65375 -0.353671 
0.655 -0.340292 
0.65625 -0.326558 
0.6575 -0.312499 
0.65875 -0.298147 
0.66 -0.283534 
0.66125 -0.268691 
0.6625 -0.25365 
0.66375 -0.238446 
0.665 -0.223109 
0.66625 -0.207674 
0.6675 -0.192172 
0.66875 -0.176637 
0.67 -0.161101 
0.67125 -0.145596 
0.6725 -0.130154 
0.67375 -0.114807 
0.675 -0.0995855 
0.67625 -0.0845208 
0.6775 -0.0696426 
0.67875 -0.0549805 
0.68 -0.0405631 
0.68125 -0.0264184 
0.6825 -0.0125736 
0.68375 0.000945143 
0.685 0.0141123 
0.68625 0.0269036 
0.6875 0.0392955 
0.68875 0.0512658 
0.69 0.0627932 
0.69125 0.0738576 
0.6925 0.0844402 
0.69375 0.0945232 
0.695 0.10409 
0.69625 0.113126 
0.6975 0.121617 
0.69875 0.129549 
0.7 0.136914 
0.70125 0.143699 
0.7025 0.149897 
0.70375 0.1555 
0.705 0.160504 
0.70625 0.164903 
0.7075 0.168694 
0.70875 0.171877 
0.71 0.17445 
0.71125 0.176416 
0.7125 0.177776 
0.71375 0.178535 
0.715 0.178698 
0.71625 0.178272 
0.7175 0.177265 
0.71875 0.175686 
0.72 0.173545 
0.72125 0.170854 
0.7225 0.167628 
0.72375 0.163878 
0.725 0.159622 
0.72625 0.154875 
0.7275 0.149655 
0.72875 0.14398 
0.73 0.137871 
0.73125 0.131347 
0.7325 0.12443 
0.73375 0.117142 
0.735 0.109506 
0.73625 0.101546 
0.7375 0.0932872 
0.73875 0.0847536 
0.74 0.0759714 
0.74125 0.0669668 
0.7425 0.0577665 
0.74375 0.0483979 
0.745 0.0388882 
0.74625 0.0292655 
0.7475 0.0195577 
0.74875 0.00979304 
0.75 -8.45244e-16 
0.75125 -0.00979304 
0.7525 -0.0195577 
0.75375 -0.0292655 
0.755 -0.0388882 
0.75625 -0.0483979 
0.7575 -0.0577665 
0.75875 -0.0669668 
0.76 -0.0759714 
0.76125 -0.0847536 
0.7625 -0.0932872 
0.76375 -0.101546 
0.765 -0.109506 
0.76625 -0.117142 
0.7675 -0.12443 
0.76875 -0.131347 
0.77 -0.137871 
0.77125 -0.14398 
0.7725 -0.149655 
0.77375 -0.154875 
0.775 -0.159622 
0.77625 -0.163878 
0.7775 -0.167628 
0.77875 -0.170854 
0.78 -0.173545 
0.78125 -0.175686 
0.7825 -0.177265 
0.78375 -0.178272 
0.785 -0.178698 
0.78625 -0.178535 
0.7875 -0.177776 
0.78875 -0.176416 
0.79 -0.17445 
0.79125 -0.171877 
0.7925 -0.168694 
0.79375 -0.164903 
0.795 -0.160504 
0.79625 -0.1555 
0.7975 -0.149897 
0.79875 -0.143699 
0.8 -0.136914 
0.80125 -0.129549 
0.8025 -0.121617 
0.80375 -0.113126 
0.805 -0.10409 
0.80625 -0.0945232 
0.8075 -0.0844402 
0.80875 -0.0738576 
0.81 -0.0627932 
0.81125 -0.0512658 
0.8125 -0.0392955 
0.81375 -0.0269036 
0.815 -0.0141123 
0.81625 -0.000945143 
0.8175 0.0125736 
0.81875 0.0264184 
0.82 0.0405631 
0.82125 0.0549805 
0.8225 0.0696426 
0.82375 0.0845208 
0.825 0.0995855 
0.82625 0.114807 
0.8275 0.130154 
0.82875 0.145596 
0.83 0.161101 
0.83125 0.176637 
0.8325 0.192172 
0.83375 0.207674 
0.835 0.223109 
0.83625 0.238446 
0.8375 0.25365 
0.83875 0.268691 
0.84 0.283534 
0.84125 0.298147 
0.8425 0.312499 
0.84375 0.326558 
0.845 0.340292 
0.84625 0.353671 
0.8475 0.366665 
0.84875 0.379243 
0.85 0.391378 
0.85125 0.403041 
0.8525 0.414205 
0.85375 0.424844 
0.855 0.434933 
0.85625 0.444449 
0.8575 0.453367 
0.85875 0.461668 
0.86 0.46933 
0.86125 0.476334 
0.8625 0.482664 
0.86375 0.488304 
0.865 0.493238 
0.86625 0.497455 
0.8675 0.500942 
0.86875 0.503691 
0.87 0.505694 
0.87125 0.506945 
0.8725 0.507439 
0.87375 0.507174 
0.875 0.506151 
0.87625 0.504369 
0.8775 0.501833 
0.87875 0.498548 
0.88 0.494521 
0.88125 0.489761 
0.8825 0.484278 
0.88375 0.478087 
0.885 0.471201 
0.88625 0.463637 
0.8875 0.455415 
0.88875 0.446554 
0.89 0.437076 
0.89125 0.427006 
0.8925 0.41637 
0.89375 0.405194 
0.895 0.393508 
0.89625 0.381342 
0.8975 0.368728 
0.89875 0.355701 
0.9 0.342293 
0.90125 0.328542 
0.9025 0.314485 
0.90375 0.30016 
0.905 0.285606 
0.90625 0.270863 
0.9075 0.255972 
0.90875 0.240974 
0.91 0.225911 
0.91125 0.210825 
0.9125 0.19576 
0.91375 0.180756 
0.915 0.165857 
0.91625 0.151105 
0.9175 0.136541 
0.91875 0.122208 
0.92 0.108146 
0.92125 0.0943943 
0.9225 0.0809927 
0.92375 0.0679786 
0.925 0.0553886 
0.92625 0.0432576 
0.9275 0.0316191 
0.92875 0.0205047 
0.93 0.00994403 
0.93125 -3.54018e-05 
0.9325 -0.00940832 
0.93375 -0.0181519 
0.935 -0.0262458 
0.93625 -0.0336726 
0.9375 -0.0404175 
0.93875 -0.0464689 
0.94 -0.0518182 
0.94125 -0.0564599 
0.9425 -0.0603921 
0.94375 -0.0636162 
0.945 -0.0661371 
0.94625 -0.0679633 
0.9475 -0.0691069 
0.94875 -0.0695837 
0.95 -0.0694133 
0.95125 -0.0686187 
0.9525 -0.0672269 
0.95375 -0.0652684 
0.955 -0.0627774 
0.95625 -0.0597913 
0.9575 -0.0563511 
0.95875 -0.052501 
0.96 -0.0482884 
0.96125 -0.0437632 
0.9625 -0.0389782 
0.96375 -0.0339885 
0.965 -0.0288511 
0.96625 -0.0236247 
0.9675 -0.0183694 
0.96875 -0.013146 
0.97 -0.00801553 
0.97125 -0.00303894 
0.9725 0.00172369 
0.97375 0.00621376 
0.975 0.0103749 
0.97625 0.0141536 
0.9775 0.0175003 
0.97875 0.0203701 
0.98 0.0227239 
0.98125 0.024529 
0.9825 0.0257612 
0.98375 0.0264048 
0.985 0.0264548 
0.98625 0.0259182 
0.9875 0.0248148 
0.98875 0.0231796 
0.99 0.0210641 
0.99125 0.0185381 
0.9925 0.0156915 
0.99375 0.0126366 
0.995 0.00950998 
0.99625 0.00647483 
0.9975 0.00372333 
0.99875 0.00147912 
1 0 


