# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_sqL_6> 
0 0 
0.00125 0.0110878 
0.0025 0.0220756 
0.00375 0.0329533 
0.005 0.0437112 
0.00625 0.0543401 
0.0075 0.0648311 
0.00875 0.0751754 
0.01 0.0853649 
0.01125 0.0953918 
0.0125 0.105248 
0.01375 0.114927 
0.015 0.124422 
0.01625 0.133726 
0.0175 0.142833 
0.01875 0.151736 
0.02 0.160431 
0.02125 0.168912 
0.0225 0.177174 
0.02375 0.185211 
0.025 0.193021 
0.02625 0.200598 
0.0275 0.207939 
0.02875 0.21504 
0.03 0.221898 
0.03125 0.228509 
0.0325 0.234871 
0.03375 0.240982 
0.035 0.246838 
0.03625 0.252438 
0.0375 0.25778 
0.03875 0.262862 
0.04 0.267683 
0.04125 0.272241 
0.0425 0.276537 
0.04375 0.280568 
0.045 0.284334 
0.04625 0.287836 
0.0475 0.291073 
0.04875 0.294044 
0.05 0.296751 
0.05125 0.299194 
0.0525 0.301372 
0.05375 0.303288 
0.055 0.304942 
0.05625 0.306335 
0.0575 0.307468 
0.05875 0.308343 
0.06 0.308962 
0.06125 0.309326 
0.0625 0.309437 
0.06375 0.309298 
0.065 0.308909 
0.06625 0.308275 
0.0675 0.307396 
0.06875 0.306277 
0.07 0.304919 
0.07125 0.303325 
0.0725 0.301499 
0.07375 0.299443 
0.075 0.297161 
0.07625 0.294655 
0.0775 0.29193 
0.07875 0.288989 
0.08 0.285834 
0.08125 0.282471 
0.0825 0.278903 
0.08375 0.275133 
0.085 0.271166 
0.08625 0.267005 
0.0875 0.262655 
0.08875 0.25812 
0.09 0.253404 
0.09125 0.248512 
0.0925 0.243447 
0.09375 0.238214 
0.095 0.232818 
0.09625 0.227264 
0.0975 0.221555 
0.09875 0.215696 
0.1 0.209693 
0.10125 0.203549 
0.1025 0.19727 
0.10375 0.19086 
0.105 0.184325 
0.10625 0.177669 
0.1075 0.170896 
0.10875 0.164013 
0.11 0.157024 
0.11125 0.149933 
0.1125 0.142746 
0.11375 0.135468 
0.115 0.128104 
0.11625 0.120659 
0.1175 0.113137 
0.11875 0.105545 
