# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_10> 
0 0 
0.00125 0.0191855 
0.0025 0.0378813 
0.00375 0.0560585 
0.005 0.0736897 
0.00625 0.090749 
0.0075 0.107212 
0.00875 0.123055 
0.01 0.138256 
0.01125 0.152797 
0.0125 0.166658 
0.01375 0.179822 
0.015 0.192274 
0.01625 0.204001 
0.0175 0.214991 
0.01875 0.225233 
0.02 0.234718 
0.02125 0.24344 
0.0225 0.251392 
0.02375 0.258571 
0.025 0.264975 
0.02625 0.270602 
0.0275 0.275453 
0.02875 0.27953 
0.03 0.282837 
0.03125 0.285379 
0.0325 0.287161 
0.03375 0.288193 
0.035 0.288481 
0.03625 0.288038 
0.0375 0.286874 
0.03875 0.285001 
0.04 0.282435 
0.04125 0.279188 
0.0425 0.275278 
0.04375 0.270722 
0.045 0.265536 
0.04625 0.25974 
0.0475 0.253353 
0.04875 0.246395 
0.05 0.238888 
0.05125 0.230853 
0.0525 0.222313 
0.05375 0.213291 
0.055 0.203809 
0.05625 0.193893 
0.0575 0.183566 
0.05875 0.172854 
0.06 0.16178 
0.06125 0.150372 
0.0625 0.138655 
0.06375 0.126653 
0.065 0.114394 
0.06625 0.101904 
0.0675 0.0892085 
0.06875 0.0763337 
0.07 0.0633061 
0.07125 0.0501515 
0.0725 0.036896 
0.07375 0.0235653 
0.075 0.0101851 
0.07625 -0.00321936 
0.0775 -0.0166229 
0.07875 -0.0300008 
0.08 -0.0433286 
0.08125 -0.0565822 
0.0825 -0.0697381 
0.08375 -0.0827729 
0.085 -0.0956641 
0.08625 -0.108389 
0.0875 -0.120927 
0.08875 -0.133256 
0.09 -0.145355 
0.09125 -0.157205 
0.0925 -0.168787 
0.09375 -0.180081 
0.095 -0.19107 
0.09625 -0.201736 
0.0975 -0.212063 
0.09875 -0.222035 
0.1 -0.231636 
0.10125 -0.240853 
0.1025 -0.249671 
0.10375 -0.258078 
0.105 -0.266062 
0.10625 -0.27361 
0.1075 -0.280714 
0.10875 -0.287362 
0.11 -0.293546 
0.11125 -0.299259 
0.1125 -0.304492 
0.11375 -0.309238 
0.115 -0.313494 
0.11625 -0.317253 
0.1175 -0.320511 
0.11875 -0.323266 
0.12 -0.325514 
0.12125 -0.327254 
0.1225 -0.328486 
0.12375 -0.329209 
0.125 -0.329424 
0.12625 -0.329131 
0.1275 -0.328335 
0.12875 -0.327036 
0.13 -0.32524 
0.13125 -0.322951 
0.1325 -0.320172 
0.13375 -0.316912 
0.135 -0.313175 
0.13625 -0.308969 
0.1375 -0.304302 
0.13875 -0.299182 
0.14 -0.293618 
0.14125 -0.28762 
0.1425 -0.281198 
0.14375 -0.274363 
0.145 -0.267126 
0.14625 -0.259498 
0.1475 -0.251493 
0.14875 -0.243122 
0.15 -0.234399 
0.15125 -0.225339 
0.1525 -0.215954 
0.15375 -0.206259 
0.155 -0.196269 
0.15625 -0.185999 
0.1575 -0.175464 
0.15875 -0.164682 
0.16 -0.153666 
0.16125 -0.142434 
0.1625 -0.131002 
0.16375 -0.119387 
0.165 -0.107606 
0.16625 -0.0956758 
0.1675 -0.0836133 
0.16875 -0.071436 
0.17 -0.0591613 
0.17125 -0.0468066 
0.1725 -0.0343893 
0.17375 -0.0219269 
0.175 -0.00943688 
0.17625 0.00306333 
0.1775 0.0155564 
0.17875 0.0280249 
0.18 0.0404518 
0.18125 0.0528199 
0.1825 0.0651123 
0.18375 0.0773123 
0.185 0.0894031 
0.18625 0.101369 
0.1875 0.113192 
0.18875 0.124859 
0.19 0.136352 
0.19125 0.147656 
0.1925 0.158757 
0.19375 0.169639 
0.195 0.180288 
0.19625 0.190691 
0.1975 0.200833 
0.19875 0.210701 
0.2 0.220281 
0.20125 0.229563 
0.2025 0.238533 
0.20375 0.24718 
0.205 0.255492 
0.20625 0.26346 
0.2075 0.271072 
0.20875 0.278319 
0.21 0.285191 
0.21125 0.291681 
0.2125 0.297779 
0.21375 0.303479 
0.215 0.308772 
0.21625 0.313652 
0.2175 0.318113 
0.21875 0.322151 
0.22 0.325758 
0.22125 0.328932 
0.2225 0.331669 
0.22375 0.333964 
0.225 0.335817 
0.22625 0.337223 
0.2275 0.338183 
0.22875 0.338695 
0.23 0.338758 
0.23125 0.338373 
0.2325 0.337541 
0.23375 0.336263 
0.235 0.33454 
0.23625 0.332377 
0.2375 0.329775 
0.23875 0.326738 
0.24 0.323271 
0.24125 0.319378 
0.2425 0.315064 
0.24375 0.310336 
0.245 0.305199 
0.24625 0.299661 
0.2475 0.293729 
0.24875 0.287411 
0.25 0.280715 
0.25125 0.27365 
0.2525 0.266226 
0.25375 0.258452 
0.255 0.250338 
0.25625 0.241896 
0.2575 0.233136 
0.25875 0.22407 
0.26 0.214709 
0.26125 0.205066 
0.2625 0.195154 
0.26375 0.184986 
0.265 0.174574 
0.26625 0.163933 
0.2675 0.153077 
0.26875 0.142019 
0.27 0.130774 
0.27125 0.119358 
0.2725 0.107784 
0.27375 0.0960688 
0.275 0.0842268 
0.27625 0.0722738 
0.2775 0.0602256 
0.27875 0.048098 
0.28 0.035907 
0.28125 0.0236686 
0.2825 0.011399 
0.28375 -0.000885676 
0.285 -0.0131691 
0.28625 -0.025435 
0.2875 -0.0376671 
0.28875 -0.0498492 
0.29 -0.0619652 
0.29125 -0.0739987 
0.2925 -0.0859338 
0.29375 -0.0977545 
0.295 -0.109445 
0.29625 -0.12099 
0.2975 -0.132372 
0.29875 -0.143579 
0.3 -0.154593 
0.30125 -0.1654 
0.3025 -0.175985 
0.30375 -0.186334 
0.305 -0.196433 
0.30625 -0.206268 
0.3075 -0.215825 
0.30875 -0.22509 
0.31 -0.234052 
0.31125 -0.242698 
0.3125 -0.251014 
0.31375 -0.25899 
0.315 -0.266615 
0.31625 -0.273877 
0.3175 -0.280766 
0.31875 -0.287271 
0.32 -0.293385 
0.32125 -0.299096 
0.3225 -0.304398 
0.32375 -0.309281 
0.325 -0.313739 
0.32625 -0.317764 
0.3275 -0.32135 
0.32875 -0.324492 
0.33 -0.327184 
0.33125 -0.329421 
0.3325 -0.331199 
0.33375 -0.332516 
0.335 -0.333368 
0.33625 -0.333753 
0.3375 -0.333669 
0.33875 -0.333115 
0.34 -0.332092 
0.34125 -0.330599 
0.3425 -0.328638 
0.34375 -0.32621 
0.345 -0.323317 
0.34625 -0.319963 
0.3475 -0.31615 
0.34875 -0.311884 
0.35 -0.307169 
0.35125 -0.302011 
0.3525 -0.296415 
0.35375 -0.290389 
0.355 -0.28394 
0.35625 -0.277077 
0.3575 -0.269808 
0.35875 -0.262143 
0.36 -0.254091 
0.36125 -0.245663 
0.3625 -0.236871 
0.36375 -0.227726 
0.365 -0.218241 
0.36625 -0.208428 
0.3675 -0.198302 
