# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_B_20> 
0 0 
0.00125 -0.0691912 
0.0025 -0.123472 
0.00375 -0.164614 
0.005 -0.194246 
0.00625 -0.213861 
0.0075 -0.224825 
0.00875 -0.228383 
0.01 -0.22567 
0.01125 -0.217715 
0.0125 -0.205449 
0.01375 -0.189713 
0.015 -0.17126 
0.01625 -0.150766 
0.0175 -0.128831 
0.01875 -0.105988 
0.02 -0.0827053 
0.02125 -0.0593925 
0.0225 -0.0364051 
0.02375 -0.014048 
0.025 0.00741971 
0.02625 0.0277812 
0.0275 0.0468584 
0.02875 0.0645086 
0.03 0.0806212 
0.03125 0.0951144 
0.0325 0.107933 
0.03375 0.119046 
0.035 0.128441 
0.03625 0.136128 
0.0375 0.142131 
0.03875 0.146489 
0.04 0.149255 
0.04125 0.150492 
0.0425 0.150271 
0.04375 0.148673 
0.045 0.145783 
0.04625 0.141695 
0.0475 0.136502 
0.04875 0.130303 
0.05 0.123198 
0.05125 0.115287 
0.0525 0.106672 
0.05375 0.0974513 
0.055 0.0877251 
0.05625 0.0775896 
0.0575 0.067139 
0.05875 0.0564648 
0.06 0.0456546 
0.06125 0.0347927 
0.0625 0.0239591 
0.06375 0.0132297 
0.065 0.0026757 
0.06625 -0.00763627 
0.0675 -0.0176444 
0.06875 -0.0272918 
0.07 -0.0365264 
0.07125 -0.0453013 
0.0725 -0.0535744 
0.07375 -0.0613087 
0.075 -0.0684719 
0.07625 -0.0750365 
0.0775 -0.08098 
0.07875 -0.0862841 
0.08 -0.0909353 
0.08125 -0.094924 
0.0825 -0.0982452 
0.08375 -0.100898 
0.085 -0.102884 
0.08625 -0.10421 
0.0875 -0.104886 
0.08875 -0.104924 
0.09 -0.10434 
0.09125 -0.103153 
0.0925 -0.101383 
0.09375 -0.0990559 
0.095 -0.0961956 
0.09625 -0.0928304 
0.0975 -0.0889895 
0.09875 -0.084704 
