# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_20> 
0.32 -0.0955259 
0.32125 -0.0964851 
0.3225 -0.0971246 
0.32375 -0.0974367 
0.325 -0.0974144 
0.32625 -0.097052 
0.3275 -0.0963445 
0.32875 -0.0952881 
0.33 -0.0938803 
0.33125 -0.0921193 
0.3325 -0.0900047 
0.33375 -0.0875372 
0.335 -0.084719 
0.33625 -0.081553 
0.3375 -0.0780438 
0.33875 -0.0741971 
0.34 -0.0700199 
0.34125 -0.0655206 
0.3425 -0.0607088 
0.34375 -0.0555954 
0.345 -0.0501928 
0.34625 -0.0445143 
0.3475 -0.0385751 
0.34875 -0.0323911 
0.35 -0.0259798 
0.35125 -0.01936 
0.3525 -0.0125515 
0.35375 -0.0055754 
0.355 0.00154604 
0.35625 0.00878946 
0.3575 0.0161304 
0.35875 0.0235435 
0.36 0.0310022 
0.36125 0.0384793 
0.3625 0.0459467 
0.36375 0.0533754 
0.365 0.0607358 
0.36625 0.0679979 
0.3675 0.0751308 
0.36875 0.0821035 
0.37 0.0888846 
0.37125 0.0954424 
0.3725 0.101745 
0.37375 0.107761 
0.375 0.113459 
0.37625 0.118807 
0.3775 0.123774 
0.37875 0.12833 
0.38 0.132445 
0.38125 0.136089 
0.3825 0.139236 
0.38375 0.141857 
0.385 0.143927 
0.38625 0.145421 
0.3875 0.146316 
0.38875 0.146592 
0.39 0.146228 
0.39125 0.145208 
0.3925 0.143515 
0.39375 0.141138 
0.395 0.138065 
0.39625 0.134288 
0.3975 0.129803 
0.39875 0.124608 
0.4 0.118703 
0.40125 0.112092 
0.4025 0.104784 
0.40375 0.0967892 
0.405 0.0881221 
0.40625 0.0788015 
0.4075 0.0688496 
0.40875 0.0582928 
0.41 0.0471614 
0.41125 0.0354901 
0.4125 0.0233175 
0.41375 0.0106867 
0.415 -0.00235501 
0.41625 -0.0157559 
0.4175 -0.0294601 
0.41875 -0.0434072 
0.42 -0.0575326 
0.42125 -0.0717676 
0.4225 -0.0860391 
0.42375 -0.10027 
0.425 -0.11438 
0.42625 -0.128284 
