# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_13> 
0 0 
0.00125 -0.0504261 
0.0025 -0.11762 
0.00375 -0.19859 
0.005 -0.290592 
0.00625 -0.391118 
0.0075 -0.497878 
0.00875 -0.608793 
0.01 -0.721983 
0.01125 -0.835753 
0.0125 -0.948583 
0.01375 -1.05912 
0.015 -1.16617 
0.01625 -1.26867 
0.0175 -1.3657 
0.01875 -1.45649 
0.02 -1.54036 
0.02125 -1.61676 
0.0225 -1.68522 
0.02375 -1.74539 
0.025 -1.79701 
0.02625 -1.83987 
0.0275 -1.87388 
0.02875 -1.899 
0.03 -1.91523 
0.03125 -1.92267 
0.0325 -1.92144 
0.03375 -1.91173 
0.035 -1.89377 
0.03625 -1.86781 
0.0375 -1.83415 
0.03875 -1.79311 
0.04 -1.74506 
0.04125 -1.69037 
0.0425 -1.62943 
0.04375 -1.56265 
0.045 -1.49046 
0.04625 -1.41329 
0.0475 -1.33158 
0.04875 -1.24578 
0.05 -1.15634 
0.05125 -1.0637 
0.0525 -0.968311 
0.05375 -0.87062 
0.055 -0.771062 
0.05625 -0.670071 
0.0575 -0.568068 
0.05875 -0.465467 
0.06 -0.362671 
0.06125 -0.260069 
0.0625 -0.158041 
0.06375 -0.0569499 
0.065 0.0428558 
0.06625 0.141042 
0.0675 0.23729 
0.06875 0.331299 
0.07 0.422784 
0.07125 0.511477 
0.0725 0.597129 
0.07375 0.679506 
0.075 0.758394 
0.07625 0.833596 
0.0775 0.904932 
0.07875 0.972242 
0.08 1.03538 
0.08125 1.09422 
0.0825 1.14866 
0.08375 1.1986 
0.085 1.24397 
0.08625 1.2847 
0.0875 1.32076 
0.08875 1.35212 
0.09 1.37877 
0.09125 1.40071 
0.0925 1.41796 
0.09375 1.43055 
0.095 1.43852 
0.09625 1.44194 
0.0975 1.44087 
0.09875 1.43539 
0.1 1.4256 
0.10125 1.4116 
0.1025 1.39351 
0.10375 1.37145 
0.105 1.34554 
0.10625 1.31594 
0.1075 1.28278 
0.10875 1.24623 
0.11 1.20644 
0.11125 1.16358 
0.1125 1.11782 
0.11375 1.06934 
0.115 1.01832 
0.11625 0.964949 
0.1175 0.909407 
0.11875 0.851886 
0.12 0.792578 
0.12125 0.731676 
0.1225 0.669373 
0.12375 0.605864 
0.125 0.54134 
0.12625 0.475997 
0.1275 0.410024 
0.12875 0.343612 
0.13 0.276949 
0.13125 0.21022 
0.1325 0.143608 
0.13375 0.0772915 
0.135 0.0114463 
0.13625 -0.0537563 
0.1375 -0.118149 
0.13875 -0.18157 
0.14 -0.243862 
0.14125 -0.304872 
0.1425 -0.364454 
0.14375 -0.422467 
0.145 -0.478777 
0.14625 -0.533256 
0.1475 -0.58578 
0.14875 -0.636235 
0.15 -0.684513 
0.15125 -0.730511 
0.1525 -0.774135 
0.15375 -0.815297 
0.155 -0.853917 
0.15625 -0.889923 
0.1575 -0.923247 
0.15875 -0.953833 
0.16 -0.98163 
0.16125 -1.00659 
0.1625 -1.02869 
0.16375 -1.04788 
0.165 -1.06416 
0.16625 -1.07751 
0.1675 -1.08791 
0.16875 -1.09538 
0.17 -1.09992 
0.17125 -1.10154 
0.1725 -1.10026 
0.17375 -1.09612 
0.175 -1.08914 
