# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_8> 
0 0 
0.00125 0.00134531 
0.0025 0.00538696 
0.00375 0.0120116 
0.005 0.0211083 
0.00625 0.0325677 
0.0075 0.0462826 
0.00875 0.0621467 
0.01 0.0800556 
0.01125 0.0999055 
0.0125 0.121594 
0.01375 0.145019 
0.015 0.17008 
0.01625 0.196676 
0.0175 0.224708 
0.01875 0.254076 
0.02 0.284682 
0.02125 0.316428 
0.0225 0.349215 
0.02375 0.382947 
0.025 0.417526 
0.02625 0.452857 
0.0275 0.488845 
0.02875 0.525393 
0.03 0.562407 
0.03125 0.599795 
0.0325 0.637463 
0.03375 0.675318 
0.035 0.713271 
0.03625 0.751231 
0.0375 0.789109 
0.03875 0.826817 
0.04 0.864269 
0.04125 0.901379 
0.0425 0.938065 
0.04375 0.974243 
0.045 1.00983 
0.04625 1.04476 
0.0475 1.07894 
0.04875 1.1123 
0.05 1.14477 
0.05125 1.17628 
0.0525 1.20675 
0.05375 1.23613 
0.055 1.26434 
0.05625 1.29133 
0.0575 1.31704 
0.05875 1.34141 
0.06 1.36438 
0.06125 1.3859 
0.0625 1.40593 
0.06375 1.42442 
0.065 1.44133 
0.06625 1.45661 
0.0675 1.47022 
0.06875 1.48215 
0.07 1.49234 
0.07125 1.50078 
0.0725 1.50744 
0.07375 1.5123 
0.075 1.51533 
0.07625 1.51653 
0.0775 1.51588 
0.07875 1.51337 
0.08 1.50899 
0.08125 1.50274 
0.0825 1.49462 
0.08375 1.48463 
0.085 1.47278 
0.08625 1.45908 
0.0875 1.44354 
0.08875 1.42618 
0.09 1.407 
0.09125 1.38604 
0.0925 1.36332 
0.09375 1.33886 
0.095 1.31269 
0.09625 1.28484 
0.0975 1.25536 
0.09875 1.22427 
0.1 1.19161 
0.10125 1.15743 
0.1025 1.12178 
0.10375 1.08469 
0.105 1.04621 
0.10625 1.00641 
0.1075 0.965322 
0.10875 0.92301 
0.11 0.87953 
0.11125 0.83494 
0.1125 0.789299 
0.11375 0.74267 
0.115 0.695114 
0.11625 0.646697 
0.1175 0.597484 
0.11875 0.547542 
0.12 0.496938 
0.12125 0.445742 
0.1225 0.394022 
0.12375 0.341849 
0.125 0.289294 
0.12625 0.236429 
0.1275 0.183326 
0.12875 0.130055 
0.13 0.0766912 
0.13125 0.0233054 
0.1325 -0.0300295 
0.13375 -0.0832411 
0.135 -0.136257 
0.13625 -0.189006 
0.1375 -0.241416 
0.13875 -0.293416 
0.14 -0.344937 
0.14125 -0.395907 
0.1425 -0.44626 
0.14375 -0.495926 
0.145 -0.544839 
0.14625 -0.592933 
0.1475 -0.640144 
0.14875 -0.686408 
0.15 -0.731664 
0.15125 -0.77585 
0.1525 -0.818908 
0.15375 -0.86078 
0.155 -0.901411 
0.15625 -0.940747 
0.1575 -0.978735 
