# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_4> 
0 0 
0.00125 -0.0277639 
0.0025 -0.0555178 
0.00375 -0.083251 
0.005 -0.110953 
0.00625 -0.138612 
0.0075 -0.166218 
0.00875 -0.19376 
0.01 -0.221228 
0.01125 -0.248611 
0.0125 -0.275898 
0.01375 -0.303079 
0.015 -0.330142 
0.01625 -0.357079 
0.0175 -0.383878 
0.01875 -0.410529 
0.02 -0.437021 
0.02125 -0.463345 
0.0225 -0.48949 
0.02375 -0.515446 
0.025 -0.541204 
0.02625 -0.566752 
0.0275 -0.592083 
0.02875 -0.617184 
0.03 -0.642048 
0.03125 -0.666664 
0.0325 -0.691023 
0.03375 -0.715115 
0.035 -0.738932 
0.03625 -0.762463 
0.0375 -0.785701 
0.03875 -0.808635 
0.04 -0.831258 
0.04125 -0.853561 
0.0425 -0.875534 
0.04375 -0.897169 
0.045 -0.918459 
0.04625 -0.939395 
0.0475 -0.959968 
0.04875 -0.980172 
0.05 -0.999997 
0.05125 -1.01944 
0.0525 -1.03848 
0.05375 -1.05713 
0.055 -1.07537 
0.05625 -1.09319 
0.0575 -1.1106 
0.05875 -1.12757 
0.06 -1.14411 
0.06125 -1.16021 
0.0625 -1.17587 
0.06375 -1.19106 
0.065 -1.2058 
0.06625 -1.22008 
0.0675 -1.23388 
0.06875 -1.24721 
0.07 -1.26006 
0.07125 -1.27243 
0.0725 -1.2843 
0.07375 -1.29568 
0.075 -1.30655 
0.07625 -1.31693 
0.0775 -1.32679 
0.07875 -1.33615 
0.08 -1.34499 
0.08125 -1.35331 
0.0825 -1.36111 
0.08375 -1.36839 
0.085 -1.37513 
0.08625 -1.38135 
0.0875 -1.38704 
0.08875 -1.39219 
0.09 -1.3968 
0.09125 -1.40087 
0.0925 -1.40441 
0.09375 -1.4074 
0.095 -1.40986 
0.09625 -1.41176 
0.0975 -1.41313 
