# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_11> 
0 0 
0.00125 -0.0773991 
0.0025 -0.150854 
0.00375 -0.220932 
0.005 -0.288114 
0.00625 -0.352806 
0.0075 -0.415343 
0.00875 -0.475995 
0.01 -0.534976 
0.01125 -0.592446 
0.0125 -0.648521 
0.01375 -0.703273 
0.015 -0.756739 
0.01625 -0.808924 
0.0175 -0.859804 
0.01875 -0.909331 
0.02 -0.957438 
0.02125 -1.00404 
0.0225 -1.04903 
0.02375 -1.09231 
0.025 -1.13376 
0.02625 -1.17325 
0.0275 -1.21065 
0.02875 -1.24583 
0.03 -1.27867 
0.03125 -1.30903 
0.0325 -1.33679 
0.03375 -1.36183 
0.035 -1.38405 
0.03625 -1.40332 
0.0375 -1.41955 
0.03875 -1.43266 
0.04 -1.44257 
0.04125 -1.44919 
0.0425 -1.45249 
0.04375 -1.4524 
0.045 -1.44889 
0.04625 -1.44194 
0.0475 -1.43153 
0.04875 -1.41767 
0.05 -1.40035 
0.05125 -1.37962 
0.0525 -1.35549 
0.05375 -1.32801 
0.055 -1.29725 
0.05625 -1.26326 
0.0575 -1.22613 
0.05875 -1.18593 
0.06 -1.14278 
0.06125 -1.09677 
0.0625 -1.04801 
0.06375 -0.996646 
0.065 -0.942792 
0.06625 -0.886591 
0.0675 -0.828187 
0.06875 -0.767732 
0.07 -0.705382 
0.07125 -0.6413 
0.0725 -0.575651 
0.07375 -0.508606 
0.075 -0.440339 
0.07625 -0.371025 
0.0775 -0.300843 
0.07875 -0.229973 
0.08 -0.158595 
0.08125 -0.0868919 
0.0825 -0.0150447 
0.08375 0.0567657 
0.085 0.128359 
0.08625 0.199558 
0.0875 0.270186 
0.08875 0.340068 
0.09 0.409035 
0.09125 0.476919 
0.0925 0.543556 
0.09375 0.608787 
0.095 0.672457 
0.09625 0.734416 
0.0975 0.79452 
0.09875 0.85263 
0.1 0.908613 
0.10125 0.962341 
0.1025 1.0137 
0.10375 1.06256 
0.105 1.10883 
0.10625 1.15241 
0.1075 1.19319 
0.10875 1.23111 
0.11 1.26607 
0.11125 1.29802 
0.1125 1.32688 
0.11375 1.3526 
0.115 1.37514 
0.11625 1.39445 
0.1175 1.41051 
0.11875 1.4233 
0.12 1.43279 
0.12125 1.43898 
0.1225 1.44186 
0.12375 1.44146 
0.125 1.43778 
0.12625 1.43085 
0.1275 1.42069 
0.12875 1.40734 
0.13 1.39085 
0.13125 1.37127 
0.1325 1.34866 
0.13375 1.32308 
0.135 1.2946 
0.13625 1.26329 
0.1375 1.22925 
0.13875 1.19255 
0.14 1.1533 
0.14125 1.11159 
0.1425 1.06752 
0.14375 1.0212 
0.145 0.97275 
0.14625 0.922276 
0.1475 0.869903 
0.14875 0.815753 
0.15 0.759953 
