# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_1> 
0 0 
0.00125 -9.60485e-05 
0.0025 -0.000382931 
0.00375 -0.000858754 
0.005 -0.00152162 
0.00625 -0.00236965 
0.0075 -0.00340093 
0.00875 -0.00461359 
0.01 -0.00600571 
0.01125 -0.00757542 
0.0125 -0.00932082 
0.01375 -0.01124 
0.015 -0.0133311 
0.01625 -0.0155922 
0.0175 -0.0180214 
0.01875 -0.0206168 
0.02 -0.0233766 
0.02125 -0.0262988 
0.0225 -0.0293816 
0.02375 -0.032623 
0.025 -0.0360212 
0.02625 -0.0395742 
0.0275 -0.0432802 
0.02875 -0.0471373 
0.03 -0.0511436 
0.03125 -0.0552973 
0.0325 -0.0595963 
0.03375 -0.0640389 
0.035 -0.0686231 
0.03625 -0.0733471 
0.0375 -0.0782089 
0.03875 -0.0832068 
0.04 -0.0883387 
0.04125 -0.0936028 
0.0425 -0.0989973 
0.04375 -0.10452 
0.045 -0.11017 
0.04625 -0.115944 
0.0475 -0.121841 
0.04875 -0.127859 
0.05 -0.133996 
0.05125 -0.14025 
0.0525 -0.146619 
0.05375 -0.153102 
0.055 -0.159696 
0.05625 -0.1664 
0.0575 -0.173212 
0.05875 -0.18013 
0.06 -0.187152 
0.06125 -0.194276 
0.0625 -0.2015 
0.06375 -0.208823 
0.065 -0.216242 
0.06625 -0.223757 
0.0675 -0.231364 
0.06875 -0.239062 
0.07 -0.246849 
0.07125 -0.254724 
0.0725 -0.262684 
0.07375 -0.270728 
0.075 -0.278854 
0.07625 -0.28706 
0.0775 -0.295344 
0.07875 -0.303704 
0.08 -0.312138 
0.08125 -0.320646 
0.0825 -0.329224 
0.08375 -0.337871 
0.085 -0.346585 
0.08625 -0.355365 
0.0875 -0.364208 
0.08875 -0.373113 
0.09 -0.382078 
0.09125 -0.391101 
0.0925 -0.40018 
0.09375 -0.409314 
0.095 -0.4185 
0.09625 -0.427738 
0.0975 -0.437024 
0.09875 -0.446358 
0.1 -0.455738 
0.10125 -0.465162 
0.1025 -0.474627 
0.10375 -0.484133 
0.105 -0.493677 
0.10625 -0.503259 
0.1075 -0.512875 
0.10875 -0.522524 
0.11 -0.532205 
0.11125 -0.541916 
0.1125 -0.551655 
0.11375 -0.56142 
0.115 -0.57121 
0.11625 -0.581023 
0.1175 -0.590857 
0.11875 -0.600711 
0.12 -0.610582 
0.12125 -0.620469 
0.1225 -0.630371 
0.12375 -0.640286 
0.125 -0.650211 
0.12625 -0.660146 
0.1275 -0.670089 
0.12875 -0.680038 
0.13 -0.689991 
0.13125 -0.699947 
0.1325 -0.709904 
0.13375 -0.719861 
0.135 -0.729815 
0.13625 -0.739766 
0.1375 -0.749711 
0.13875 -0.75965 
0.14 -0.769579 
0.14125 -0.779499 
0.1425 -0.789407 
0.14375 -0.799301 
0.145 -0.809181 
0.14625 -0.819044 
0.1475 -0.828889 
0.14875 -0.838715 
0.15 -0.848519 
0.15125 -0.858301 
0.1525 -0.868059 
0.15375 -0.87779 
0.155 -0.887495 
0.15625 -0.897171 
0.1575 -0.906817 
0.15875 -0.916431 
0.16 -0.926012 
0.16125 -0.935559 
0.1625 -0.945069 
0.16375 -0.954542 
0.165 -0.963976 
0.16625 -0.973369 
0.1675 -0.982721 
0.16875 -0.992029 
0.17 -1.00129 
0.17125 -1.01051 
0.1725 -1.01968 
0.17375 -1.0288 
0.175 -1.03787 
0.17625 -1.04689 
0.1775 -1.05586 
0.17875 -1.06477 
0.18 -1.07363 
0.18125 -1.08243 
0.1825 -1.09117 
0.18375 -1.09986 
0.185 -1.10848 
0.18625 -1.11704 
0.1875 -1.12553 
0.18875 -1.13397 
0.19 -1.14233 
0.19125 -1.15063 
0.1925 -1.15886 
0.19375 -1.16702 
0.195 -1.17511 
0.19625 -1.18313 
0.1975 -1.19108 
0.19875 -1.19895 
0.2 -1.20675 
0.20125 -1.21446 
0.2025 -1.22211 
0.20375 -1.22967 
0.205 -1.23715 
0.20625 -1.24455 
0.2075 -1.25187 
0.20875 -1.25911 
0.21 -1.26626 
0.21125 -1.27333 
0.2125 -1.28031 
0.21375 -1.2872 
0.215 -1.29401 
0.21625 -1.30072 
0.2175 -1.30735 
0.21875 -1.31388 
0.22 -1.32032 
0.22125 -1.32667 
0.2225 -1.33292 
0.22375 -1.33908 
0.225 -1.34514 
0.22625 -1.35111 
0.2275 -1.35697 
0.22875 -1.36274 
0.23 -1.36841 
0.23125 -1.37398 
0.2325 -1.37944 
0.23375 -1.3848 
0.235 -1.39006 
0.23625 -1.39522 
0.2375 -1.40027 
0.23875 -1.40522 
0.24 -1.41006 
0.24125 -1.41479 
0.2425 -1.41941 
0.24375 -1.42393 
0.245 -1.42834 
0.24625 -1.43263 
0.2475 -1.43682 
0.24875 -1.44089 
0.25 -1.44486 
0.25125 -1.44871 
0.2525 -1.45244 
0.25375 -1.45607 
0.255 -1.45957 
0.25625 -1.46297 
0.2575 -1.46624 
0.25875 -1.4694 
0.26 -1.47245 
0.26125 -1.47537 
0.2625 -1.47818 
0.26375 -1.48087 
0.265 -1.48344 
0.26625 -1.48589 
0.2675 -1.48823 
0.26875 -1.49044 
0.27 -1.49253 
0.27125 -1.4945 
0.2725 -1.49634 
0.27375 -1.49807 
0.275 -1.49967 
0.27625 -1.50115 
0.2775 -1.50251 
0.27875 -1.50374 
0.28 -1.50485 
0.28125 -1.50583 
0.2825 -1.50669 
0.28375 -1.50743 
0.285 -1.50804 
0.28625 -1.50852 
0.2875 -1.50888 
0.28875 -1.50911 
0.29 -1.50922 
0.29125 -1.5092 
0.2925 -1.50905 
0.29375 -1.50878 
0.295 -1.50838 
0.29625 -1.50785 
0.2975 -1.50719 
0.29875 -1.50641 
0.3 -1.5055 
0.30125 -1.50447 
0.3025 -1.5033 
0.30375 -1.50201 
0.305 -1.50059 
0.30625 -1.49904 
0.3075 -1.49736 
0.30875 -1.49556 
0.31 -1.49363 
0.31125 -1.49157 
0.3125 -1.48938 
0.31375 -1.48706 
0.315 -1.48462 
0.31625 -1.48205 
0.3175 -1.47935 
0.31875 -1.47653 
0.32 -1.47357 
0.32125 -1.47049 
0.3225 -1.46728 
0.32375 -1.46395 
0.325 -1.46049 
0.32625 -1.4569 
0.3275 -1.45318 
0.32875 -1.44934 
0.33 -1.44537 
0.33125 -1.44128 
0.3325 -1.43706 
0.33375 -1.43272 
0.335 -1.42825 
0.33625 -1.42365 
0.3375 -1.41894 
0.33875 -1.41409 
0.34 -1.40913 
0.34125 -1.40404 
0.3425 -1.39882 
0.34375 -1.39349 
0.345 -1.38803 
0.34625 -1.38245 
0.3475 -1.37675 
0.34875 -1.37092 
0.35 -1.36498 
0.35125 -1.35891 
0.3525 -1.35273 
0.35375 -1.34642 
0.355 -1.34 
0.35625 -1.33346 
0.3575 -1.3268 
0.35875 -1.32002 
0.36 -1.31313 
0.36125 -1.30612 
0.3625 -1.29899 
0.36375 -1.29175 
0.365 -1.2844 
0.36625 -1.27693 
0.3675 -1.26934 
0.36875 -1.26165 
0.37 -1.25384 
0.37125 -1.24592 
0.3725 -1.23789 
0.37375 -1.22974 
0.375 -1.22149 
0.37625 -1.21313 
0.3775 -1.20466 
0.37875 -1.19609 
0.38 -1.1874 
0.38125 -1.17862 
0.3825 -1.16972 
0.38375 -1.16072 
0.385 -1.15162 
0.38625 -1.14241 
0.3875 -1.1331 
0.38875 -1.12369 
0.39 -1.11418 
0.39125 -1.10457 
0.3925 -1.09486 
0.39375 -1.08505 
0.395 -1.07515 
0.39625 -1.06514 
0.3975 -1.05504 
0.39875 -1.04485 
0.4 -1.03456 
0.40125 -1.02418 
0.4025 -1.01371 
0.40375 -1.00315 
0.405 -0.992494 
0.40625 -0.98175 
0.4075 -0.970918 
0.40875 -0.959999 
0.41 -0.948993 
0.41125 -0.937901 
0.4125 -0.926724 
0.41375 -0.915464 
0.415 -0.904122 
0.41625 -0.892697 
0.4175 -0.881192 
0.41875 -0.869608 
0.42 -0.857944 
0.42125 -0.846204 
0.4225 -0.834386 
0.42375 -0.822493 
0.425 -0.810526 
0.42625 -0.798485 
0.4275 -0.786372 
0.42875 -0.774188 
0.43 -0.761934 
0.43125 -0.74961 
0.4325 -0.737219 
0.43375 -0.724761 
0.435 -0.712237 
0.43625 -0.699649 
0.4375 -0.686997 
0.43875 -0.674283 
0.44 -0.661508 
0.44125 -0.648672 
0.4425 -0.635778 
0.44375 -0.622826 
0.445 -0.609818 
0.44625 -0.596754 
0.4475 -0.583636 
0.44875 -0.570465 
0.45 -0.557242 
0.45125 -0.543968 
0.4525 -0.530645 
0.45375 -0.517274 
0.455 -0.503856 
0.45625 -0.490392 
0.4575 -0.476883 
0.45875 -0.463331 
0.46 -0.449737 
0.46125 -0.436102 
0.4625 -0.422427 
0.46375 -0.408714 
0.465 -0.394964 
0.46625 -0.381177 
0.4675 -0.367356 
0.46875 -0.353502 
0.47 -0.339615 
0.47125 -0.325698 
0.4725 -0.31175 
0.47375 -0.297775 
0.475 -0.283772 
0.47625 -0.269744 
0.4775 -0.25569 
0.47875 -0.241614 
0.48 -0.227516 
0.48125 -0.213396 
0.4825 -0.199258 
0.48375 -0.185101 
0.485 -0.170927 
0.48625 -0.156738 
0.4875 -0.142535 
0.48875 -0.128318 
0.49 -0.11409 
0.49125 -0.0998518 
0.4925 -0.0856041 
0.49375 -0.0713487 
0.495 -0.0570868 
0.49625 -0.0428196 
0.4975 -0.0285486 
0.49875 -0.0142749 
0.5 4.48342e-12 


0.5 4.48342e-12 
0.50125 0.0142749 
0.5025 0.0285486 
0.50375 0.0428196 
0.505 0.0570868 
0.50625 0.0713487 
0.5075 0.0856041 
0.50875 0.0998518 
0.51 0.11409 
0.51125 0.128318 
0.5125 0.142535 
0.51375 0.156738 
0.515 0.170927 
0.51625 0.185101 
0.5175 0.199258 
0.51875 0.213396 
0.52 0.227516 
0.52125 0.241614 
0.5225 0.25569 
0.52375 0.269744 
0.525 0.283772 
0.52625 0.297775 
0.5275 0.31175 
0.52875 0.325698 
0.53 0.339615 
0.53125 0.353502 
0.5325 0.367356 
0.53375 0.381177 
0.535 0.394964 
0.53625 0.408714 
0.5375 0.422427 
0.53875 0.436102 
0.54 0.449737 
0.54125 0.463331 
0.5425 0.476883 
0.54375 0.490392 
0.545 0.503856 
0.54625 0.517274 
0.5475 0.530645 
0.54875 0.543968 
0.55 0.557242 
0.55125 0.570465 
0.5525 0.583636 
0.55375 0.596754 
0.555 0.609818 
0.55625 0.622826 
0.5575 0.635778 
0.55875 0.648672 
0.56 0.661508 
0.56125 0.674283 
0.5625 0.686997 
0.56375 0.699649 
0.565 0.712237 
0.56625 0.724761 
0.5675 0.737219 
0.56875 0.74961 
0.57 0.761934 
0.57125 0.774188 
0.5725 0.786372 
0.57375 0.798485 
0.575 0.810526 
0.57625 0.822493 
0.5775 0.834386 
0.57875 0.846204 
0.58 0.857944 
0.58125 0.869608 
0.5825 0.881192 
0.58375 0.892697 
0.585 0.904122 
0.58625 0.915464 
0.5875 0.926724 
0.58875 0.937901 
0.59 0.948993 
0.59125 0.959999 
0.5925 0.970918 
0.59375 0.98175 
0.595 0.992494 
0.59625 1.00315 
0.5975 1.01371 
0.59875 1.02418 
0.6 1.03456 
0.60125 1.04485 
0.6025 1.05504 
0.60375 1.06514 
0.605 1.07515 
0.60625 1.08505 
0.6075 1.09486 
0.60875 1.10457 
0.61 1.11418 
0.61125 1.12369 
0.6125 1.1331 
0.61375 1.14241 
0.615 1.15162 
0.61625 1.16072 
0.6175 1.16972 
0.61875 1.17862 
0.62 1.1874 
0.62125 1.19609 
0.6225 1.20466 
0.62375 1.21313 
0.625 1.22149 
0.62625 1.22974 
0.6275 1.23789 
0.62875 1.24592 
0.63 1.25384 
0.63125 1.26165 
0.6325 1.26934 
0.63375 1.27693 
0.635 1.2844 
0.63625 1.29175 
0.6375 1.29899 
0.63875 1.30612 
0.64 1.31313 
0.64125 1.32002 
0.6425 1.3268 
0.64375 1.33346 
0.645 1.34 
0.64625 1.34642 
0.6475 1.35273 
0.64875 1.35891 
0.65 1.36498 
0.65125 1.37092 
0.6525 1.37675 
0.65375 1.38245 
0.655 1.38803 
