# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_8> 
0 0 
0.00125 -0.0148877 
0.0025 -0.0295651 
0.00375 -0.0440084 
0.005 -0.0581952 
0.00625 -0.0721043 
0.0075 -0.0857157 
0.00875 -0.0990106 
0.01 -0.111971 
0.01125 -0.124581 
0.0125 -0.136825 
0.01375 -0.148687 
0.015 -0.160156 
0.01625 -0.171218 
0.0175 -0.181862 
0.01875 -0.192078 
0.02 -0.201856 
0.02125 -0.211188 
0.0225 -0.220066 
0.02375 -0.228483 
0.025 -0.236433 
0.02625 -0.243911 
0.0275 -0.250913 
0.02875 -0.257435 
0.03 -0.263474 
0.03125 -0.269029 
0.0325 -0.274098 
0.03375 -0.278681 
0.035 -0.282776 
0.03625 -0.286386 
0.0375 -0.289511 
0.03875 -0.292154 
0.04 -0.294317 
0.04125 -0.296002 
0.0425 -0.297214 
0.04375 -0.297957 
0.045 -0.298236 
0.04625 -0.298055 
0.0475 -0.297421 
0.04875 -0.296339 
0.05 -0.294817 
0.05125 -0.292861 
0.0525 -0.290478 
0.05375 -0.287677 
0.055 -0.284465 
0.05625 -0.280852 
0.0575 -0.276846 
0.05875 -0.272456 
0.06 -0.267692 
0.06125 -0.262563 
0.0625 -0.257081 
0.06375 -0.251254 
0.065 -0.245094 
0.06625 -0.238611 
0.0675 -0.231817 
0.06875 -0.224723 
0.07 -0.21734 
0.07125 -0.209679 
0.0725 -0.201753 
0.07375 -0.193573 
0.075 -0.185151 
0.07625 -0.1765 
0.0775 -0.167632 
0.07875 -0.158558 
0.08 -0.149292 
0.08125 -0.139845 
0.0825 -0.130231 
0.08375 -0.120461 
0.085 -0.110548 
0.08625 -0.100505 
0.0875 -0.090344 
0.08875 -0.0800779 
0.09 -0.069719 
0.09125 -0.0592799 
0.0925 -0.0487728 
0.09375 -0.0382102 
0.095 -0.0276042 
0.09625 -0.0169672 
0.0975 -0.0063112 
0.09875 0.00435179 
0.1 0.0150099 
0.10125 0.0256512 
0.1025 0.0362642 
0.10375 0.0468374 
0.105 0.0573593 
0.10625 0.0678188 
0.1075 0.0782047 
0.10875 0.0885063 
0.11 0.0987127 
0.11125 0.108814 
0.1125 0.118798 
0.11375 0.128657 
0.115 0.13838 
0.11625 0.147957 
0.1175 0.157379 
0.11875 0.166637 
0.12 0.175721 
0.12125 0.184622 
0.1225 0.193333 
0.12375 0.201845 
0.125 0.210149 
0.12625 0.218239 
0.1275 0.226106 
0.12875 0.233743 
0.13 0.241143 
0.13125 0.2483 
0.1325 0.255207 
0.13375 0.261858 
0.135 0.268246 
0.13625 0.274367 
0.1375 0.280215 
0.13875 0.285786 
0.14 0.291073 
0.14125 0.296073 
0.1425 0.300782 
0.14375 0.305196 
0.145 0.309311 
0.14625 0.313124 
0.1475 0.316632 
0.14875 0.319833 
0.15 0.322724 
0.15125 0.325303 
0.1525 0.327568 
0.15375 0.329518 
0.155 0.331151 
0.15625 0.332468 
0.1575 0.333466 
0.15875 0.334147 
0.16 0.33451 
0.16125 0.334555 
0.1625 0.334282 
0.16375 0.333694 
0.165 0.332791 
