# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_10> 
0 0 
0.00125 -0.0727666 
0.0025 -0.141766 
0.00375 -0.2075 
0.005 -0.270408 
0.00625 -0.330865 
0.0075 -0.389192 
0.00875 -0.44566 
0.01 -0.500489 
0.01125 -0.553862 
0.0125 -0.605918 
0.01375 -0.656763 
0.015 -0.706471 
0.01625 -0.755088 
0.0175 -0.802634 
0.01875 -0.849108 
0.02 -0.894488 
0.02125 -0.938735 
0.0225 -0.981795 
0.02375 -1.0236 
0.025 -1.06408 
0.02625 -1.10315 
0.0275 -1.14071 
0.02875 -1.17668 
0.03 -1.21094 
0.03125 -1.2434 
0.0325 -1.27396 
0.03375 -1.30252 
0.035 -1.32897 
0.03625 -1.35322 
0.0375 -1.37517 
0.03875 -1.39475 
0.04 -1.41185 
0.04125 -1.42641 
0.0425 -1.43835 
0.04375 -1.44761 
0.045 -1.45414 
0.04625 -1.45787 
0.0475 -1.45876 
0.04875 -1.4568 
0.05 -1.45193 
0.05125 -1.44416 
0.0525 -1.43347 
0.05375 -1.41986 
0.055 -1.40334 
0.05625 -1.38392 
0.0575 -1.36164 
0.05875 -1.33651 
0.06 -1.30859 
0.06125 -1.27792 
0.0625 -1.24456 
0.06375 -1.20857 
0.065 -1.17003 
0.06625 -1.129 
0.0675 -1.08559 
0.06875 -1.03987 
0.07 -0.991945 
0.07125 -0.941918 
0.0725 -0.889895 
0.07375 -0.83599 
0.075 -0.78032 
0.07625 -0.723005 
0.0775 -0.664171 
0.07875 -0.603948 
0.08 -0.542465 
0.08125 -0.479858 
0.0825 -0.416263 
0.08375 -0.351819 
0.085 -0.286665 
0.08625 -0.220943 
0.0875 -0.154794 
0.08875 -0.088361 
0.09 -0.0217856 
0.09125 0.0447901 
0.0925 0.111225 
0.09375 0.177378 
0.095 0.24311 
0.09625 0.308285 
0.0975 0.372767 
0.09875 0.436422 
0.1 0.499119 
0.10125 0.560732 
0.1025 0.621135 
0.10375 0.680206 
0.105 0.737828 
0.10625 0.793887 
0.1075 0.848272 
0.10875 0.900876 
0.11 0.9516 
0.11125 1.00034 
0.1125 1.04702 
0.11375 1.09153 
0.115 1.13381 
0.11625 1.17377 
0.1175 1.21133 
0.11875 1.24644 
0.12 1.27904 
0.12125 1.30905 
0.1225 1.33645 
0.12375 1.36117 
0.125 1.38319 
0.12625 1.40247 
0.1275 1.41898 
0.12875 1.4327 
0.13 1.44361 
0.13125 1.4517 
0.1325 1.45698 
0.13375 1.45943 
0.135 1.45907 
0.13625 1.4559 
0.1375 1.44995 
0.13875 1.44123 
0.14 1.42978 
0.14125 1.41563 
0.1425 1.39881 
0.14375 1.37937 
0.145 1.35735 
0.14625 1.33281 
0.1475 1.3058 
0.14875 1.27639 
0.15 1.24464 
0.15125 1.21062 
0.1525 1.1744 
0.15375 1.13605 
0.155 1.09567 
0.15625 1.05333 
0.1575 1.00913 
0.15875 0.963139 
0.16 0.915464 
0.16125 0.866198 
0.1625 0.815439 
0.16375 0.763286 
0.165 0.709842 
0.16625 0.655211 
0.1675 0.599497 
0.16875 0.54281 
0.17 0.485255 
0.17125 0.426944 
0.1725 0.367986 
0.17375 0.308492 
0.175 0.248572 
0.17625 0.188339 
0.1775 0.127905 
0.17875 0.0673787 
0.18 0.00687302 
0.18125 -0.0535022 
0.1825 -0.113637 
0.18375 -0.173424 
0.185 -0.232754 
0.18625 -0.291522 
0.1875 -0.349622 
0.18875 -0.406952 
0.19 -0.46341 
0.19125 -0.518897 
0.1925 -0.573315 
0.19375 -0.62657 
0.195 -0.678569 
0.19625 -0.729223 
0.1975 -0.778444 
0.19875 -0.826147 
0.2 -0.872253 
0.20125 -0.916681 
0.2025 -0.959358 
0.20375 -1.00021 
0.205 -1.03917 
0.20625 -1.07618 
0.2075 -1.11117 
0.20875 -1.14409 
0.21 -1.17487 
0.21125 -1.20348 
0.2125 -1.22987 
0.21375 -1.25399 
0.215 -1.27582 
0.21625 -1.2953 
0.2175 -1.31242 
0.21875 -1.32715 
0.22 -1.33947 
0.22125 -1.34936 
0.2225 -1.35682 
0.22375 -1.36182 
0.225 -1.36437 
0.22625 -1.36447 
0.2275 -1.36212 
0.22875 -1.35734 
0.23 -1.35012 
0.23125 -1.3405 
0.2325 -1.32849 
0.23375 -1.31412 
0.235 -1.29741 
0.23625 -1.2784 
0.2375 -1.25712 
0.23875 -1.23363 
0.24 -1.20795 
0.24125 -1.18014 
0.2425 -1.15025 
0.24375 -1.11834 
0.245 -1.08446 
0.24625 -1.04868 
0.2475 -1.01106 
0.24875 -0.97166 
0.25 -0.930563 
0.25125 -0.887839 
0.2525 -0.843563 
0.25375 -0.797814 
0.255 -0.750674 
0.25625 -0.702226 
0.2575 -0.652555 
0.25875 -0.60175 
0.26 -0.5499 
0.26125 -0.497095 
0.2625 -0.443429 
0.26375 -0.388995 
0.265 -0.33389 
0.26625 -0.278209 
0.2675 -0.222051 
0.26875 -0.165512 
0.27 -0.108692 
0.27125 -0.0516906 
0.2725 0.00539338 
0.27375 0.0624601 
0.275 0.11941 
0.27625 0.176144 
0.2775 0.232562 
0.27875 0.288567 
0.28 0.34406 
0.28125 0.398944 
0.2825 0.453124 
0.28375 0.506504 
0.285 0.558991 
0.28625 0.610494 
0.2875 0.660921 
0.28875 0.710184 
0.29 0.758197 
0.29125 0.804874 
0.2925 0.850134 
0.29375 0.893896 
0.295 0.936082 
0.29625 0.976618 
0.2975 1.01543 
0.29875 1.05245 
0.3 1.08761 
0.30125 1.12085 
0.3025 1.15211 
0.30375 1.18133 
0.305 1.20846 
0.30625 1.23344 
0.3075 1.25624 
0.30875 1.2768 
0.31 1.2951 
0.31125 1.31109 
0.3125 1.32474 
0.31375 1.33603 
0.315 1.34493 
0.31625 1.35143 
0.3175 1.3555 
0.31875 1.35714 
0.32 1.35635 
0.32125 1.35311 
0.3225 1.34743 
0.32375 1.33932 
0.325 1.32879 
0.32625 1.31584 
0.3275 1.30051 
0.32875 1.28281 
0.33 1.26276 
0.33125 1.24041 
0.3325 1.21578 
0.33375 1.18892 
0.335 1.15987 
0.33625 1.12867 
0.3375 1.09538 
0.33875 1.06005 
0.34 1.02274 
0.34125 0.983517 
0.3425 0.942441 
0.34375 0.899583 
0.345 0.855018 
0.34625 0.80882 
0.3475 0.761069 
0.34875 0.711849 
0.35 0.661242 
0.35125 0.609339 
0.3525 0.55623 
0.35375 0.502007 
0.355 0.446767 
0.35625 0.390607 
0.3575 0.333627 
0.35875 0.275928 
0.36 0.217615 
0.36125 0.158791 
0.3625 0.0995628 
0.36375 0.0400382 
0.365 -0.0196746 
0.36625 -0.0794664 
0.3675 -0.139228 
0.36875 -0.198848 
0.37 -0.258216 
0.37125 -0.317223 
0.3725 -0.375757 
0.37375 -0.433709 
0.375 -0.49097 
0.37625 -0.54743 
0.3775 -0.602983 
0.37875 -0.657521 
0.38 -0.710939 
0.38125 -0.763135 
0.3825 -0.814006 
0.38375 -0.863453 
0.385 -0.911378 
0.38625 -0.957686 
0.3875 -1.00228 
0.38875 -1.04508 
0.39 -1.086 
0.39125 -1.12494 
0.3925 -1.16183 
0.39375 -1.1966 
0.395 -1.22916 
0.39625 -1.25946 
0.3975 -1.28742 
0.39875 -1.31298 
0.4 -1.33609 
0.40125 -1.3567 
0.4025 -1.37475 
0.40375 -1.39021 
0.405 -1.40304 
0.40625 -1.41319 
0.4075 -1.42066 
0.40875 -1.4254 
0.41 -1.42741 
0.41125 -1.42667 
0.4125 -1.42318 
0.41375 -1.41694 
0.415 -1.40794 
0.41625 -1.3962 
0.4175 -1.38174 
0.41875 -1.36457 
0.42 -1.34472 
0.42125 -1.32223 
0.4225 -1.29714 
0.42375 -1.26948 
0.425 -1.23931 
0.42625 -1.20668 
0.4275 -1.17165 
0.42875 -1.13429 
0.43 -1.09466 
0.43125 -1.05285 
0.4325 -1.00894 
0.43375 -0.963005 
0.435 -0.915143 
0.43625 -0.865448 
0.4375 -0.814019 
0.43875 -0.760959 
0.44 -0.706378 
0.44125 -0.650385 
0.4425 -0.593097 
0.44375 -0.534632 
0.445 -0.47511 
0.44625 -0.414656 
0.4475 -0.353397 
0.44875 -0.291461 
0.45 -0.228978 
0.45125 -0.16608 
0.4525 -0.102902 
0.45375 -0.0395755 
0.455 0.0237638 
0.45625 0.0869818 
0.4575 0.149945 
0.45875 0.212518 
0.46 0.274571 
0.46125 0.335973 
0.4625 0.396594 
0.46375 0.456309 
0.465 0.514993 
0.46625 0.572527 
0.4675 0.628795 
0.46875 0.683684 
0.47 0.737086 
0.47125 0.7889 
0.4725 0.839028 
0.47375 0.887378 
0.475 0.933868 
0.47625 0.978418 
0.4775 1.02096 
0.47875 1.06143 
0.48 1.09977 
0.48125 1.13595 
0.4825 1.16991 
0.48375 1.20164 
0.485 1.23112 
0.48625 1.25834 
0.4875 1.28331 
0.48875 1.30603 
0.49 1.32654 
0.49125 1.34488 
0.4925 1.36108 
0.49375 1.37521 
0.495 1.38735 
0.49625 1.39758 
0.4975 1.406 
0.49875 1.41271 
0.5 1.41784 


0.5 1.41784 
0.50125 1.41271 
0.5025 1.406 
0.50375 1.39758 
0.505 1.38735 
0.50625 1.37521 
0.5075 1.36108 
0.50875 1.34488 
0.51 1.32654 
0.51125 1.30603 
0.5125 1.28331 
0.51375 1.25834 
0.515 1.23112 
0.51625 1.20164 
0.5175 1.16991 
0.51875 1.13595 
0.52 1.09977 
0.52125 1.06143 
0.5225 1.02096 
0.52375 0.978418 
0.525 0.933868 
0.52625 0.887378 
0.5275 0.839028 
0.52875 0.7889 
0.53 0.737086 
0.53125 0.683684 
0.5325 0.628795 
0.53375 0.572527 
0.535 0.514993 
0.53625 0.456309 
0.5375 0.396594 
0.53875 0.335973 
0.54 0.274571 
0.54125 0.212518 
0.5425 0.149945 
0.54375 0.0869818 
0.545 0.0237638 
0.54625 -0.0395755 
0.5475 -0.102902 
0.54875 -0.16608 
0.55 -0.228978 
0.55125 -0.291461 
0.5525 -0.353397 
0.55375 -0.414656 
0.555 -0.47511 
0.55625 -0.534632 
0.5575 -0.593097 
0.55875 -0.650385 
0.56 -0.706378 
0.56125 -0.760959 
0.5625 -0.814019 
0.56375 -0.865448 
0.565 -0.915143 
0.56625 -0.963005 
0.5675 -1.00894 
0.56875 -1.05285 
0.57 -1.09466 
0.57125 -1.13429 
0.5725 -1.17165 
0.57375 -1.20668 
0.575 -1.23931 
0.57625 -1.26948 
0.5775 -1.29714 
0.57875 -1.32223 
0.58 -1.34472 
0.58125 -1.36457 
0.5825 -1.38174 
0.58375 -1.3962 
0.585 -1.40794 
0.58625 -1.41694 
0.5875 -1.42318 
0.58875 -1.42667 
0.59 -1.42741 
0.59125 -1.4254 
0.5925 -1.42066 
0.59375 -1.41319 
0.595 -1.40304 
0.59625 -1.39021 
0.5975 -1.37475 
0.59875 -1.3567 
0.6 -1.33609 
