# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_B_10> 
0.3425 -0.342057 
0.34375 -0.34318 
0.345 -0.343805 
0.34625 -0.343931 
0.3475 -0.343556 
0.34875 -0.342682 
0.35 -0.341308 
0.35125 -0.339436 
0.3525 -0.337068 
0.35375 -0.334207 
0.355 -0.330856 
0.35625 -0.32702 
0.3575 -0.322704 
0.35875 -0.317915 
0.36 -0.312657 
0.36125 -0.30694 
0.3625 -0.30077 
0.36375 -0.294157 
0.365 -0.28711 
0.36625 -0.27964 
0.3675 -0.271757 
0.36875 -0.263472 
0.37 -0.254799 
0.37125 -0.245751 
0.3725 -0.236339 
0.37375 -0.22658 
0.375 -0.216487 
0.37625 -0.206077 
0.3775 -0.195364 
0.37875 -0.184367 
0.38 -0.173101 
0.38125 -0.161584 
0.3825 -0.149835 
0.38375 -0.137872 
0.385 -0.125714 
0.38625 -0.113381 
0.3875 -0.100892 
0.38875 -0.0882678 
0.39 -0.0755287 
0.39125 -0.0626956 
0.3925 -0.0497896 
0.39375 -0.0368322 
0.395 -0.0238448 
0.39625 -0.0108495 
0.3975 0.00213207 
0.39875 0.0150777 
0.4 0.0279652 
0.40125 0.0407725 
0.4025 0.0534774 
0.40375 0.0660576 
0.405 0.0784912 
0.40625 0.0907559 
0.4075 0.10283 
0.40875 0.114692 
0.41 0.12632 
0.41125 0.137693 
0.4125 0.148789 
0.41375 0.159589 
0.415 0.170072 
0.41625 0.180219 
0.4175 0.190008 
0.41875 0.199423 
0.42 0.208444 
0.42125 0.217053 
0.4225 0.225234 
0.42375 0.232969 
0.425 0.240243 
0.42625 0.247039 
0.4275 0.253345 
0.42875 0.259145 
0.43 0.264427 
0.43125 0.269178 
0.4325 0.273388 
0.43375 0.277046 
0.435 0.280143 
0.43625 0.282669 
0.4375 0.284618 
0.43875 0.285983 
0.44 0.286758 
0.44125 0.286938 
0.4425 0.286521 
0.44375 0.285504 
0.445 0.283886 
0.44625 0.281665 
0.4475 0.278845 
0.44875 0.275425 
0.45 0.27141 
0.45125 0.266803 
0.4525 0.261611 
0.45375 0.255838 
0.455 0.249494 
0.45625 0.242586 
0.4575 0.235125 
0.45875 0.22712 
0.46 0.218584 
0.46125 0.209529 
0.4625 0.199968 
0.46375 0.189918 
0.465 0.179392 
0.46625 0.168407 
0.4675 0.15698 
0.46875 0.145129 
0.47 0.132872 
0.47125 0.120228 
0.4725 0.107216 
0.47375 0.093856 
0.475 0.0801684 
0.47625 0.0661733 
0.4775 0.0518912 
0.47875 0.0373426 
0.48 0.0225477 
0.48125 0.00752684 
0.4825 -0.00770034 
0.48375 -0.0231146 
0.485 -0.0386972 
0.48625 -0.0544304 
0.4875 -0.0702973 
0.48875 -0.0862823 
0.49 -0.102371 
0.49125 -0.11855 
0.4925 -0.13481 
0.49375 -0.151139 
0.495 -0.167532 
0.49625 -0.183984 
0.4975 -0.200493 
0.49875 -0.217059 
0.5 -0.233687 


0.5 -0.233687 
0.50125 -0.217059 
0.5025 -0.200493 
0.50375 -0.183984 
0.505 -0.167532 
0.50625 -0.151139 
0.5075 -0.13481 
0.50875 -0.11855 
0.51 -0.102371 
0.51125 -0.0862823 
0.5125 -0.0702973 
0.51375 -0.0544304 
0.515 -0.0386972 
0.51625 -0.0231146 
0.5175 -0.00770034 
0.51875 0.00752684 
0.52 0.0225477 
0.52125 0.0373426 
0.5225 0.0518912 
0.52375 0.0661733 
0.525 0.0801684 
0.52625 0.093856 
0.5275 0.107216 
0.52875 0.120228 
0.53 0.132872 
0.53125 0.145129 
0.5325 0.15698 
0.53375 0.168407 
0.535 0.179392 
0.53625 0.189918 
0.5375 0.199968 
0.53875 0.209529 
0.54 0.218584 
0.54125 0.22712 
0.5425 0.235125 
0.54375 0.242586 
0.545 0.249494 
0.54625 0.255838 
0.5475 0.261611 
0.54875 0.266803 
0.55 0.27141 
0.55125 0.275425 
0.5525 0.278845 
0.55375 0.281665 
0.555 0.283886 
0.55625 0.285504 
0.5575 0.286521 
0.55875 0.286938 
0.56 0.286758 
0.56125 0.285983 
0.5625 0.284618 
0.56375 0.282669 
0.565 0.280143 
0.56625 0.277046 
0.5675 0.273388 
0.56875 0.269178 
0.57 0.264427 
0.57125 0.259145 
0.5725 0.253345 
0.57375 0.247039 
0.575 0.240243 
0.57625 0.232969 
0.5775 0.225234 
0.57875 0.217053 
0.58 0.208444 
0.58125 0.199423 
0.5825 0.190008 
0.58375 0.180219 
0.585 0.170072 
0.58625 0.159589 
0.5875 0.148789 
0.58875 0.137693 
0.59 0.12632 
0.59125 0.114692 
0.5925 0.10283 
0.59375 0.0907559 
0.595 0.0784912 
0.59625 0.0660576 
0.5975 0.0534774 
0.59875 0.0407725 
0.6 0.0279652 
0.60125 0.0150777 
0.6025 0.00213207 
0.60375 -0.0108495 
0.605 -0.0238448 
0.60625 -0.0368322 
0.6075 -0.0497896 
0.60875 -0.0626956 
0.61 -0.0755287 
0.61125 -0.0882678 
0.6125 -0.100892 
0.61375 -0.113381 
0.615 -0.125714 
0.61625 -0.137872 
0.6175 -0.149835 
0.61875 -0.161584 
0.62 -0.173101 
0.62125 -0.184367 
0.6225 -0.195364 
0.62375 -0.206077 
0.625 -0.216487 
0.62625 -0.22658 
0.6275 -0.236339 
0.62875 -0.245751 
0.63 -0.254799 
0.63125 -0.263472 
0.6325 -0.271757 
0.63375 -0.27964 
0.635 -0.28711 
0.63625 -0.294157 
0.6375 -0.30077 
0.63875 -0.30694 
0.64 -0.312657 
0.64125 -0.317915 
0.6425 -0.322704 
0.64375 -0.32702 
0.645 -0.330856 
0.64625 -0.334207 
0.6475 -0.337068 
0.64875 -0.339436 
0.65 -0.341308 
0.65125 -0.342682 
0.6525 -0.343556 
0.65375 -0.343931 
0.655 -0.343805 
0.65625 -0.34318 
0.6575 -0.342057 
0.65875 -0.340439 
0.66 -0.338328 
0.66125 -0.335729 
0.6625 -0.332646 
0.66375 -0.329083 
0.665 -0.325047 
0.66625 -0.320543 
0.6675 -0.31558 
0.66875 -0.310164 
0.67 -0.304305 
0.67125 -0.29801 
0.6725 -0.291291 
0.67375 -0.284155 
0.675 -0.276616 
0.67625 -0.268683 
