# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_sqL_7> 
0 0 
0.00125 1.15484e-05 
0.0025 1.24351e-05 
0.00375 4.98823e-06 
0.005 -8.77026e-06 
0.00625 -2.71025e-05 
0.0075 -4.85337e-05 
0.00875 -7.18316e-05 
0.01 -9.59878e-05 
0.01125 -0.000120199 
0.0125 -0.000143851 
0.01375 -0.000166501 
0.015 -0.000187862 
0.01625 -0.00020779 
0.0175 -0.000226266 
0.01875 -0.000243388 
0.02 -0.000259356 
0.02125 -0.00027446 
0.0225 -0.000289068 
0.02375 -0.000303619 
0.025 -0.00031861 
0.02625 -0.00033459 
0.0275 -0.000352148 
0.02875 -0.000371907 
0.03 -0.000394516 
0.03125 -0.000420645 
0.0325 -0.000450974 
0.03375 -0.000486193 
0.035 -0.000526992 
0.03625 -0.000574057 
0.0375 -0.000628067 
0.03875 -0.000689687 
0.04 -0.000759568 
0.04125 -0.000838337 
0.0425 -0.000926603 
0.04375 -0.00102495 
0.045 -0.00113392 
0.04625 -0.00125404 
0.0475 -0.0013858 
0.04875 -0.00152965 
0.05 -0.00168602 
0.05125 -0.00185529 
0.0525 -0.00203779 
0.05375 -0.00223383 
0.055 -0.00244369 
0.05625 -0.00266759 
0.0575 -0.00290571 
0.05875 -0.0031582 
0.06 -0.00342517 
0.06125 -0.00370668 
0.0625 -0.00400277 
0.06375 -0.00431343 
0.065 -0.00463861 
0.06625 -0.00497822 
0.0675 -0.00533214 
0.06875 -0.00570022 
0.07 -0.00608227 
0.07125 -0.00647806 
0.0725 -0.00688735 
0.07375 -0.00730983 
0.075 -0.0077452 
0.07625 -0.00819311 
0.0775 -0.00865319 
0.07875 -0.00912505 
0.08 -0.00960826 
0.08125 -0.0101024 
0.0825 -0.010607 
0.08375 -0.0111215 
0.085 -0.0116455 
0.08625 -0.0121784 
0.0875 -0.0127198 
0.08875 -0.013269 
0.09 -0.0138255 
0.09125 -0.0143887 
0.0925 -0.0149581 
0.09375 -0.0155331 
0.095 -0.016113 
0.09625 -0.0166973 
0.0975 -0.0172854 
0.09875 -0.0178767 
0.1 -0.0184705 
0.10125 -0.0190662 
0.1025 -0.0196633 
0.10375 -0.0202612 
0.105 -0.0208592 
0.10625 -0.0214567 
0.1075 -0.0220533 
0.10875 -0.0226482 
0.11 -0.023241 
0.11125 -0.023831 
0.1125 -0.0244177 
0.11375 -0.0250006 
0.115 -0.0255792 
0.11625 -0.0261528 
0.1175 -0.0267211 
0.11875 -0.0272836 
0.12 -0.0278397 
0.12125 -0.028389 
0.1225 -0.0289311 
0.12375 -0.0294655 
0.125 -0.0299919 
0.12625 -0.0305098 
0.1275 -0.0310188 
0.12875 -0.0315187 
0.13 -0.0320091 
0.13125 -0.0324896 
0.1325 -0.03296 
0.13375 -0.03342 
0.135 -0.0338693 
0.13625 -0.0343077 
0.1375 -0.034735 
0.13875 -0.0351509 
0.14 -0.0355553 
0.14125 -0.0359481 
0.1425 -0.036329 
0.14375 -0.0366979 
0.145 -0.0370548 
0.14625 -0.0373995 
0.1475 -0.0377321 
0.14875 -0.0380524 
0.15 -0.0383603 
0.15125 -0.038656 
0.1525 -0.0389394 
0.15375 -0.0392105 
0.155 -0.0394693 
0.15625 -0.039716 
0.1575 -0.0399505 
0.15875 -0.0401729 
0.16 -0.0403835 
0.16125 -0.0405822 
0.1625 -0.0407692 
0.16375 -0.0409446 
0.165 -0.0411086 
0.16625 -0.0412614 
0.1675 -0.0414031 
0.16875 -0.041534 
0.17 -0.0416541 
0.17125 -0.0417638 
0.1725 -0.0418632 
0.17375 -0.0419526 
0.175 -0.0420322 
0.17625 -0.0421023 
0.1775 -0.042163 
0.17875 -0.0422147 
0.18 -0.0422576 
0.18125 -0.042292 
0.1825 -0.0423182 
0.18375 -0.0423363 
0.185 -0.0423468 
0.18625 -0.0423498 
0.1875 -0.0423457 
0.18875 -0.0423347 
0.19 -0.0423172 
0.19125 -0.0422934 
0.1925 -0.0422636 
0.19375 -0.042228 
0.195 -0.042187 
0.19625 -0.0421409 
0.1975 -0.0420899 
0.19875 -0.0420342 
0.2 -0.0419742 
0.20125 -0.0419102 
0.2025 -0.0418423 
0.20375 -0.0417709 
0.205 -0.0416962 
0.20625 -0.0416184 
0.2075 -0.0415378 
0.20875 -0.0414546 
0.21 -0.0413691 
0.21125 -0.0412814 
0.2125 -0.0411918 
0.21375 -0.0411005 
0.215 -0.0410077 
0.21625 -0.0409135 
0.2175 -0.0408181 
0.21875 -0.0407218 
0.22 -0.0406246 
0.22125 -0.0405268 
0.2225 -0.0404284 
0.22375 -0.0403296 
0.225 -0.0402305 
0.22625 -0.0401312 
0.2275 -0.0400319 
0.22875 -0.0399326 
0.23 -0.0398334 
0.23125 -0.0397344 
0.2325 -0.0396356 
0.23375 -0.039537 
0.235 -0.0394389 
0.23625 -0.039341 
0.2375 -0.0392436 
0.23875 -0.0391465 
0.24 -0.0390499 
0.24125 -0.0389536 
0.2425 -0.0388577 
0.24375 -0.0387621 
0.245 -0.0386669 
0.24625 -0.0385718 
0.2475 -0.038477 
0.24875 -0.0383824 
0.25 -0.0382878 
0.25125 -0.0381932 
0.2525 -0.0380984 
0.25375 -0.0380035 
0.255 -0.0379083 
0.25625 -0.0378127 
0.2575 -0.0377166 
0.25875 -0.0376198 
0.26 -0.0375223 
0.26125 -0.0374238 
0.2625 -0.0373243 
0.26375 -0.0372237 
0.265 -0.0371216 
0.26625 -0.0370181 
0.2675 -0.036913 
0.26875 -0.036806 
0.27 -0.0366971 
0.27125 -0.036586 
0.2725 -0.0364726 
0.27375 -0.0363568 
0.275 -0.0362383 
0.27625 -0.036117 
0.2775 -0.0359928 
0.27875 -0.0358653 
0.28 -0.0357346 
0.28125 -0.0356003 
0.2825 -0.0354624 
0.28375 -0.0353207 
0.285 -0.0351749 
0.28625 -0.035025 
0.2875 -0.0348708 
0.28875 -0.034712 
0.29 -0.0345487 
0.29125 -0.0343806 
0.2925 -0.0342075 
0.29375 -0.0340294 
0.295 -0.0338461 
0.29625 -0.0336575 
0.2975 -0.0334634 
0.29875 -0.0332638 
0.3 -0.0330585 
0.30125 -0.0328474 
0.3025 -0.0326305 
0.30375 -0.0324076 
0.305 -0.0321787 
0.30625 -0.0319436 
0.3075 -0.0317024 
0.30875 -0.031455 
0.31 -0.0312013 
0.31125 -0.0309413 
0.3125 -0.0306749 
0.31375 -0.0304022 
0.315 -0.0301232 
0.31625 -0.0298378 
0.3175 -0.0295461 
0.31875 -0.029248 
0.32 -0.0289437 
0.32125 -0.0286331 
0.3225 -0.0283163 
0.32375 -0.0279934 
0.325 -0.0276644 
0.32625 -0.0273295 
0.3275 -0.0269886 
0.32875 -0.0266421 
0.33 -0.0262898 
0.33125 -0.025932 
0.3325 -0.0255688 
0.33375 -0.0252004 
0.335 -0.0248268 
0.33625 -0.0244484 
0.3375 -0.0240651 
0.33875 -0.0236773 
0.34 -0.0232851 
0.34125 -0.0228887 
0.3425 -0.0224884 
0.34375 -0.0220843 
0.345 -0.0216766 
0.34625 -0.0212657 
0.3475 -0.0208517 
0.34875 -0.0204349 
0.35 -0.0200156 
0.35125 -0.019594 
0.3525 -0.0191703 
0.35375 -0.018745 
0.355 -0.0183181 
0.35625 -0.0178901 
0.3575 -0.0174612 
0.35875 -0.0170318 
0.36 -0.016602 
0.36125 -0.0161722 
0.3625 -0.0157427 
0.36375 -0.0153139 
0.365 -0.014886 
0.36625 -0.0144593 
0.3675 -0.0140341 
0.36875 -0.0136108 
0.37 -0.0131896 
0.37125 -0.0127709 
0.3725 -0.012355 
0.37375 -0.0119422 
0.375 -0.0115327 
0.37625 -0.0111269 
0.3775 -0.0107251 
0.37875 -0.0103275 
0.38 -0.00993449 
0.38125 -0.0095463 
0.3825 -0.00916322 
0.38375 -0.00878551 
0.385 -0.00841344 
0.38625 -0.00804727 
0.3875 -0.00768723 
0.38875 -0.00733358 
0.39 -0.00698654 
0.39125 -0.00664633 
0.3925 -0.00631317 
0.39375 -0.00598725 
0.395 -0.00566878 
0.39625 -0.00535792 
0.3975 -0.00505486 
0.39875 -0.00475974 
0.4 -0.00447272 
0.40125 -0.00419392 
0.4025 -0.00392347 
0.40375 -0.00366147 
0.405 -0.00340802 
0.40625 -0.0031632 
0.4075 -0.00292708 
0.40875 -0.0026997 
0.41 -0.00248112 
0.41125 -0.00227134 
0.4125 -0.00207039 
0.41375 -0.00187826 
0.415 -0.00169493 
0.41625 -0.00152037 
0.4175 -0.00135453 
0.41875 -0.00119735 
0.42 -0.00104875 
0.42125 -0.000908647 
0.4225 -0.00077693 
0.42375 -0.000653484 
0.425 -0.000538177 
0.42625 -0.000430864 
0.4275 -0.000331388 
0.42875 -0.000239577 
0.43 -0.000155248 
0.43125 -7.82073e-05 
0.4325 -8.24778e-06 
0.43375 5.48476e-05 
0.435 0.000111307 
0.43625 0.000161367 
0.4375 0.000205274 
0.43875 0.000243285 
0.44 0.000275662 
0.44125 0.000302676 
0.4425 0.000324603 
0.44375 0.000341727 
0.445 0.000354334 
0.44625 0.000362716 
0.4475 0.000367168 
0.44875 0.000367987 
0.45 0.00036547 
0.45125 0.000359916 
0.4525 0.000351623 
0.45375 0.000340887 
0.455 0.000328001 
0.45625 0.000313256 
0.4575 0.000296935 
0.45875 0.000279319 
0.46 0.000260678 
0.46125 0.000241278 
0.4625 0.000221372 
0.46375 0.000201206 
0.465 0.000181013 
0.46625 0.000161012 
0.4675 0.000141413 
0.46875 0.000122407 
0.47 0.000104171 
0.47125 8.68655e-05 
0.4725 7.06334e-05 
0.47375 5.55987e-05 
0.475 4.18658e-05 
0.47625 2.95187e-05 
0.4775 1.86202e-05 
0.47875 9.21108e-06 
0.48 1.30933e-06 
0.48125 -5.09045e-06 
0.4825 -1.00176e-05 
0.48375 -1.3526e-05 
0.485 -1.56942e-05 
0.48625 -1.66259e-05 
0.4875 -1.64502e-05 
0.48875 -1.53216e-05 
0.49 -1.34197e-05 
0.49125 -1.09495e-05 
0.4925 -8.14059e-06 
0.49375 -5.24693e-06 
0.495 -2.54613e-06 
0.49625 -3.38643e-07 
0.4975 1.0533e-06 
0.49875 1.28686e-06 
0.5 -9.62978e-16 


0.5 -9.62978e-16 
0.50125 -1.28686e-06 
0.5025 -1.0533e-06 
0.50375 3.38643e-07 
0.505 2.54613e-06 
0.50625 5.24693e-06 
0.5075 8.14059e-06 
0.50875 1.09495e-05 
0.51 1.34197e-05 
0.51125 1.53216e-05 
0.5125 1.64502e-05 
0.51375 1.66259e-05 
0.515 1.56942e-05 
0.51625 1.3526e-05 
0.5175 1.00176e-05 
0.51875 5.09045e-06 
0.52 -1.30933e-06 
0.52125 -9.21108e-06 
0.5225 -1.86202e-05 
0.52375 -2.95187e-05 
