# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_5> 
0.345 -0.0329848 
0.34625 0.00311948 
0.3475 0.0392239 
0.34875 0.0753049 
0.35 0.111339 
0.35125 0.147302 
0.3525 0.183171 
0.35375 0.218923 
0.355 0.254533 
0.35625 0.289979 
0.3575 0.325237 
0.35875 0.360284 
0.36 0.395098 
0.36125 0.429655 
0.3625 0.463932 
0.36375 0.497908 
0.365 0.53156 
0.36625 0.564867 
0.3675 0.597805 
0.36875 0.630354 
0.37 0.662492 
0.37125 0.694198 
0.3725 0.725451 
0.37375 0.756232 
0.375 0.786519 
0.37625 0.816293 
0.3775 0.845535 
0.37875 0.874225 
0.38 0.902344 
0.38125 0.929874 
0.3825 0.956797 
0.38375 0.983096 
0.385 1.00875 
0.38625 1.03375 
0.3875 1.05807 
0.38875 1.08171 
0.39 1.10463 
0.39125 1.12684 
0.3925 1.14831 
0.39375 1.16903 
0.395 1.18898 
0.39625 1.20816 
0.3975 1.22655 
0.39875 1.24414 
0.4 1.26092 
0.40125 1.27688 
0.4025 1.292 
0.40375 1.30628 
0.405 1.3197 
0.40625 1.33227 
0.4075 1.34396 
0.40875 1.35478 
0.41 1.36472 
0.41125 1.37377 
0.4125 1.38191 
0.41375 1.38916 
0.415 1.39551 
0.41625 1.40094 
0.4175 1.40546 
0.41875 1.40907 
0.42 1.41175 
0.42125 1.41352 
0.4225 1.41437 
0.42375 1.41429 
0.425 1.4133 
0.42625 1.41138 
0.4275 1.40855 
0.42875 1.4048 
0.43 1.40013 
0.43125 1.39456 
0.4325 1.38807 
0.43375 1.38069 
0.435 1.37241 
0.43625 1.36323 
0.4375 1.35317 
0.43875 1.34223 
0.44 1.33042 
0.44125 1.31774 
0.4425 1.30421 
0.44375 1.28983 
0.445 1.27461 
0.44625 1.25857 
0.4475 1.2417 
0.44875 1.22403 
0.45 1.20557 
0.45125 1.18632 
0.4525 1.1663 
0.45375 1.14553 
0.455 1.12401 
0.45625 1.10176 
0.4575 1.07879 
0.45875 1.05513 
0.46 1.03078 
0.46125 1.00575 
0.4625 0.980077 
0.46375 0.953763 
0.465 0.926828 
0.46625 0.89929 
0.4675 0.871166 
0.46875 0.842474 
0.47 0.813233 
0.47125 0.783461 
0.4725 0.753177 
0.47375 0.722402 
0.475 0.691153 
0.47625 0.659453 
0.4775 0.62732 
0.47875 0.594776 
0.48 0.561842 
0.48125 0.528539 
0.4825 0.494888 
0.48375 0.460911 
0.485 0.426631 
