# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_3> 
0 0 
0.00125 -0.00620804 
0.0025 -0.0123959 
0.00375 -0.0185615 
0.005 -0.0247024 
0.00625 -0.0308165 
0.0075 -0.0369018 
0.00875 -0.0429564 
0.01 -0.0489781 
0.01125 -0.0549652 
0.0125 -0.0609159 
0.01375 -0.0668283 
0.015 -0.0727007 
0.01625 -0.0785315 
0.0175 -0.0843191 
0.01875 -0.090062 
0.02 -0.0957585 
0.02125 -0.101407 
0.0225 -0.107007 
0.02375 -0.112556 
0.025 -0.118053 
0.02625 -0.123497 
0.0275 -0.128887 
0.02875 -0.134221 
0.03 -0.139499 
0.03125 -0.144718 
0.0325 -0.149878 
0.03375 -0.154979 
0.035 -0.160018 
0.03625 -0.164996 
0.0375 -0.16991 
0.03875 -0.174761 
0.04 -0.179547 
0.04125 -0.184267 
0.0425 -0.18892 
0.04375 -0.193507 
0.045 -0.198025 
0.04625 -0.202475 
0.0475 -0.206855 
0.04875 -0.211165 
0.05 -0.215404 
0.05125 -0.219571 
0.0525 -0.223667 
0.05375 -0.22769 
0.055 -0.231639 
0.05625 -0.235515 
0.0575 -0.239317 
0.05875 -0.243044 
0.06 -0.246696 
0.06125 -0.250271 
0.0625 -0.253771 
0.06375 -0.257195 
0.065 -0.260541 
0.06625 -0.26381 
0.0675 -0.267002 
0.06875 -0.270115 
0.07 -0.273151 
0.07125 -0.276108 
0.0725 -0.278986 
0.07375 -0.281785 
0.075 -0.284504 
0.07625 -0.287145 
0.0775 -0.289705 
0.07875 -0.292186 
0.08 -0.294587 
0.08125 -0.296907 
0.0825 -0.299147 
0.08375 -0.301307 
0.085 -0.303387 
0.08625 -0.305385 
0.0875 -0.307303 
0.08875 -0.309141 
0.09 -0.310897 
0.09125 -0.312573 
0.0925 -0.314169 
0.09375 -0.315683 
0.095 -0.317117 
0.09625 -0.31847 
0.0975 -0.319743 
0.09875 -0.320935 
0.1 -0.322046 
0.10125 -0.323077 
0.1025 -0.324028 
0.10375 -0.324899 
0.105 -0.32569 
0.10625 -0.326401 
0.1075 -0.327033 
0.10875 -0.327585 
0.11 -0.328058 
0.11125 -0.328452 
0.1125 -0.328767 
0.11375 -0.329003 
0.115 -0.329162 
0.11625 -0.329242 
0.1175 -0.329244 
0.11875 -0.329169 
0.12 -0.329016 
0.12125 -0.328787 
0.1225 -0.328481 
0.12375 -0.328099 
0.125 -0.327641 
0.12625 -0.327107 
0.1275 -0.326499 
0.12875 -0.325815 
0.13 -0.325057 
0.13125 -0.324225 
0.1325 -0.32332 
0.13375 -0.322341 
0.135 -0.32129 
0.13625 -0.320166 
0.1375 -0.318971 
0.13875 -0.317704 
0.14 -0.316366 
0.14125 -0.314958 
0.1425 -0.31348 
0.14375 -0.311933 
0.145 -0.310317 
0.14625 -0.308632 
0.1475 -0.30688 
0.14875 -0.305061 
0.15 -0.303175 
0.15125 -0.301223 
0.1525 -0.299205 
0.15375 -0.297122 
0.155 -0.294975 
0.15625 -0.292765 
0.1575 -0.290491 
0.15875 -0.288154 
0.16 -0.285756 
0.16125 -0.283297 
0.1625 -0.280777 
0.16375 -0.278197 
0.165 -0.275558 
0.16625 -0.27286 
0.1675 -0.270105 
0.16875 -0.267292 
0.17 -0.264423 
0.17125 -0.261498 
0.1725 -0.258518 
0.17375 -0.255483 
0.175 -0.252395 
0.17625 -0.249254 
0.1775 -0.246061 
0.17875 -0.242817 
0.18 -0.239522 
0.18125 -0.236177 
0.1825 -0.232782 
0.18375 -0.22934 
0.185 -0.22585 
0.18625 -0.222313 
0.1875 -0.21873 
0.18875 -0.215103 
0.19 -0.21143 
0.19125 -0.207715 
0.1925 -0.203956 
0.19375 -0.200156 
0.195 -0.196314 
0.19625 -0.192432 
0.1975 -0.188511 
0.19875 -0.184552 
0.2 -0.180554 
0.20125 -0.17652 
0.2025 -0.17245 
0.20375 -0.168345 
0.205 -0.164205 
0.20625 -0.160032 
0.2075 -0.155827 
0.20875 -0.15159 
0.21 -0.147322 
0.21125 -0.143024 
0.2125 -0.138698 
0.21375 -0.134343 
0.215 -0.129962 
0.21625 -0.125554 
0.2175 -0.12112 
0.21875 -0.116663 
0.22 -0.112182 
0.22125 -0.107678 
0.2225 -0.103152 
0.22375 -0.0986061 
0.225 -0.0940401 
0.22625 -0.0894552 
0.2275 -0.0848523 
0.22875 -0.0802324 
0.23 -0.0755963 
0.23125 -0.0709452 
0.2325 -0.0662798 
0.23375 -0.0616011 
0.235 -0.0569101 
0.23625 -0.0522077 
0.2375 -0.0474948 
0.23875 -0.0427725 
0.24 -0.0380415 
0.24125 -0.033303 
0.2425 -0.0285578 
0.24375 -0.0238069 
0.245 -0.0190512 
0.24625 -0.0142918 
0.2475 -0.00952943 
0.24875 -0.00476519 
0.25 -1.043e-15 
0.25125 0.00476519 
0.2525 0.00952943 
0.25375 0.0142918 
0.255 0.0190512 
0.25625 0.0238069 
0.2575 0.0285578 
0.25875 0.033303 
0.26 0.0380415 
0.26125 0.0427725 
0.2625 0.0474948 
0.26375 0.0522077 
0.265 0.0569101 
0.26625 0.0616011 
0.2675 0.0662798 
0.26875 0.0709452 
0.27 0.0755963 
0.27125 0.0802324 
0.2725 0.0848523 
0.27375 0.0894552 
0.275 0.0940401 
0.27625 0.0986061 
0.2775 0.103152 
0.27875 0.107678 
0.28 0.112182 
0.28125 0.116663 
0.2825 0.12112 
0.28375 0.125554 
0.285 0.129962 
0.28625 0.134343 
0.2875 0.138698 
0.28875 0.143024 
0.29 0.147322 
0.29125 0.15159 
0.2925 0.155827 
0.29375 0.160032 
0.295 0.164205 
0.29625 0.168345 
0.2975 0.17245 
0.29875 0.17652 
0.3 0.180554 
0.30125 0.184552 
0.3025 0.188511 
0.30375 0.192432 
0.305 0.196314 
0.30625 0.200156 
0.3075 0.203956 
0.30875 0.207715 
0.31 0.21143 
0.31125 0.215103 
0.3125 0.21873 
0.31375 0.222313 
0.315 0.22585 
0.31625 0.22934 
0.3175 0.232782 
0.31875 0.236177 
0.32 0.239522 
0.32125 0.242817 
0.3225 0.246061 
0.32375 0.249254 
0.325 0.252395 
0.32625 0.255483 
0.3275 0.258518 
0.32875 0.261498 
0.33 0.264423 
0.33125 0.267292 
0.3325 0.270105 
0.33375 0.27286 
0.335 0.275558 
0.33625 0.278197 
0.3375 0.280777 
0.33875 0.283297 
0.34 0.285756 
0.34125 0.288154 
0.3425 0.290491 
0.34375 0.292765 
0.345 0.294975 
0.34625 0.297122 
0.3475 0.299205 
0.34875 0.301223 
