# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_B_1> 
0 0 
0.00125 0.00279521 
0.0025 0.00559023 
0.00375 0.00838489 
0.005 0.011179 
0.00625 0.0139724 
0.0075 0.0167649 
0.00875 0.0195562 
0.01 0.0223463 
0.01125 0.025135 
0.0125 0.027922 
0.01375 0.0307072 
0.015 0.0334903 
0.01625 0.0362713 
0.0175 0.03905 
0.01875 0.0418261 
0.02 0.0445995 
0.02125 0.0473699 
0.0225 0.0501373 
0.02375 0.0529015 
0.025 0.0556622 
0.02625 0.0584193 
0.0275 0.0611726 
0.02875 0.063922 
0.03 0.0666672 
0.03125 0.0694081 
0.0325 0.0721446 
0.03375 0.0748763 
0.035 0.0776032 
0.03625 0.0803251 
0.0375 0.0830419 
0.03875 0.0857532 
0.04 0.0884591 
0.04125 0.0911592 
0.0425 0.0938535 
0.04375 0.0965418 
0.045 0.0992238 
0.04625 0.101899 
0.0475 0.104569 
0.04875 0.107231 
0.05 0.109887 
0.05125 0.112535 
0.0525 0.115176 
0.05375 0.11781 
0.055 0.120436 
0.05625 0.123055 
0.0575 0.125666 
0.05875 0.128269 
0.06 0.130863 
0.06125 0.133449 
0.0625 0.136027 
0.06375 0.138596 
0.065 0.141156 
0.06625 0.143707 
0.0675 0.146249 
0.06875 0.148782 
0.07 0.151305 
0.07125 0.153819 
0.0725 0.156323 
0.07375 0.158817 
0.075 0.161301 
0.07625 0.163774 
0.0775 0.166238 
0.07875 0.16869 
0.08 0.171132 
0.08125 0.173564 
0.0825 0.175984 
0.08375 0.178393 
0.085 0.180791 
0.08625 0.183177 
0.0875 0.185552 
0.08875 0.187915 
0.09 0.190266 
0.09125 0.192606 
0.0925 0.194933 
0.09375 0.197248 
0.095 0.19955 
0.09625 0.20184 
0.0975 0.204117 
0.09875 0.206381 
0.1 0.208633 
0.10125 0.210871 
0.1025 0.213096 
0.10375 0.215308 
0.105 0.217506 
0.10625 0.21969 
0.1075 0.221861 
0.10875 0.224018 
0.11 0.226161 
0.11125 0.22829 
0.1125 0.230404 
0.11375 0.232504 
0.115 0.23459 
0.11625 0.23666 
0.1175 0.238716 
0.11875 0.240758 
0.12 0.242784 
0.12125 0.244795 
0.1225 0.24679 
0.12375 0.248771 
0.125 0.250735 
0.12625 0.252685 
0.1275 0.254618 
0.12875 0.256536 
0.13 0.258438 
0.13125 0.260323 
0.1325 0.262193 
0.13375 0.264046 
0.135 0.265882 
0.13625 0.267703 
0.1375 0.269506 
0.13875 0.271293 
0.14 0.273063 
0.14125 0.274817 
0.1425 0.276553 
0.14375 0.278272 
0.145 0.279973 
0.14625 0.281658 
0.1475 0.283325 
0.14875 0.284974 
0.15 0.286606 
0.15125 0.28822 
0.1525 0.289817 
0.15375 0.291395 
0.155 0.292955 
0.15625 0.294498 
0.1575 0.296022 
0.15875 0.297528 
0.16 0.299015 
0.16125 0.300484 
0.1625 0.301935 
0.16375 0.303367 
0.165 0.30478 
0.16625 0.306175 
0.1675 0.30755 
0.16875 0.308907 
0.17 0.310244 
0.17125 0.311563 
0.1725 0.312862 
0.17375 0.314142 
0.175 0.315403 
0.17625 0.316645 
0.1775 0.317867 
0.17875 0.319069 
0.18 0.320252 
0.18125 0.321415 
0.1825 0.322558 
0.18375 0.323682 
0.185 0.324786 
0.18625 0.32587 
0.1875 0.326933 
0.18875 0.327977 
0.19 0.329001 
0.19125 0.330004 
0.1925 0.330987 
0.19375 0.33195 
0.195 0.332893 
0.19625 0.333815 
0.1975 0.334717 
0.19875 0.335598 
0.2 0.336459 
0.20125 0.337299 
0.2025 0.338118 
0.20375 0.338917 
0.205 0.339695 
0.20625 0.340452 
0.2075 0.341188 
0.20875 0.341903 
0.21 0.342598 
0.21125 0.343272 
0.2125 0.343924 
0.21375 0.344556 
0.215 0.345166 
0.21625 0.345755 
0.2175 0.346324 
0.21875 0.346871 
0.22 0.347397 
0.22125 0.347901 
0.2225 0.348385 
0.22375 0.348847 
0.225 0.349287 
0.22625 0.349707 
0.2275 0.350105 
0.22875 0.350482 
0.23 0.350837 
0.23125 0.351171 
0.2325 0.351483 
0.23375 0.351774 
0.235 0.352043 
0.23625 0.352291 
0.2375 0.352518 
0.23875 0.352723 
0.24 0.352906 
0.24125 0.353068 
0.2425 0.353208 
0.24375 0.353327 
0.245 0.353424 
0.24625 0.353499 
0.2475 0.353553 
0.24875 0.353586 
0.25 0.353597 
0.25125 0.353586 
0.2525 0.353553 
0.25375 0.353499 
0.255 0.353424 
0.25625 0.353327 
0.2575 0.353208 
0.25875 0.353068 
0.26 0.352906 
0.26125 0.352723 
0.2625 0.352518 
0.26375 0.352291 
0.265 0.352043 
0.26625 0.351774 
0.2675 0.351483 
0.26875 0.351171 
0.27 0.350837 
0.27125 0.350482 
0.2725 0.350105 
0.27375 0.349707 
0.275 0.349287 
0.27625 0.348847 
0.2775 0.348385 
0.27875 0.347901 
0.28 0.347397 
0.28125 0.346871 
0.2825 0.346324 
0.28375 0.345755 
0.285 0.345166 
0.28625 0.344556 
0.2875 0.343924 
0.28875 0.343272 
0.29 0.342598 
0.29125 0.341903 
0.2925 0.341188 
0.29375 0.340452 
0.295 0.339695 
0.29625 0.338917 
0.2975 0.338118 
0.29875 0.337299 
0.3 0.336459 
0.30125 0.335598 
0.3025 0.334717 
0.30375 0.333815 
0.305 0.332893 
0.30625 0.33195 
0.3075 0.330987 
0.30875 0.330004 
0.31 0.329001 
0.31125 0.327977 
0.3125 0.326933 
0.31375 0.32587 
0.315 0.324786 
0.31625 0.323682 
0.3175 0.322558 
0.31875 0.321415 
0.32 0.320252 
0.32125 0.319069 
0.3225 0.317867 
0.32375 0.316645 
0.325 0.315403 
0.32625 0.314142 
0.3275 0.312862 
0.32875 0.311563 
0.33 0.310244 
0.33125 0.308907 
0.3325 0.30755 
0.33375 0.306175 
0.335 0.30478 
0.33625 0.303367 
0.3375 0.301935 
0.33875 0.300484 
0.34 0.299015 
0.34125 0.297528 
0.3425 0.296022 
0.34375 0.294498 
0.345 0.292955 
0.34625 0.291395 
0.3475 0.289817 
0.34875 0.28822 
0.35 0.286606 
0.35125 0.284974 
