# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_19> 
0.33 0.0253183 
0.33125 0.0210896 
0.3325 0.0168016 
0.33375 0.01247 
0.335 0.00811071 
0.33625 0.00373991 
0.3375 -0.000626232 
0.33875 -0.00497148 
0.34 -0.00927958 
0.34125 -0.0135343 
0.3425 -0.0177197 
0.34375 -0.0218198 
0.345 -0.0258189 
0.34625 -0.0297017 
0.3475 -0.033453 
0.34875 -0.0370584 
0.35 -0.0405036 
0.35125 -0.043775 
0.3525 -0.0468594 
0.35375 -0.0497445 
0.355 -0.0524183 
0.35625 -0.0548698 
0.3575 -0.0570888 
0.35875 -0.0590658 
0.36 -0.0607921 
0.36125 -0.0622601 
0.3625 -0.063463 
0.36375 -0.0643952 
0.365 -0.0650518 
0.36625 -0.0654294 
0.3675 -0.0655252 
0.36875 -0.0653379 
0.37 -0.0648673 
0.37125 -0.0641141 
0.3725 -0.0630805 
0.37375 -0.0617697 
0.375 -0.0601862 
0.37625 -0.0583357 
0.3775 -0.0562251 
0.37875 -0.0538623 
0.38 -0.0512567 
0.38125 -0.0484188 
0.3825 -0.0453602 
0.38375 -0.0420935 
0.385 -0.0386326 
0.38625 -0.0349924 
0.3875 -0.0311889 
0.38875 -0.027239 
0.39 -0.0231604 
0.39125 -0.0189721 
0.3925 -0.0146934 
0.39375 -0.0103446 
0.395 -0.00594681 
0.39625 -0.00152147 
0.3975 0.00290934 
0.39875 0.00732311 
0.4 0.011697 
0.40125 0.016008 
0.4025 0.0202329 
0.40375 0.0243485 
0.405 0.0283316 
0.40625 0.0321593 
0.4075 0.0358091 
0.40875 0.0392587 
0.41 0.0424866 
0.41125 0.0454719 
0.4125 0.0481946 
0.41375 0.0506354 
0.415 0.0527766 
0.41625 0.0546012 
0.4175 0.056094 
0.41875 0.057241 
0.42 0.05803 
0.42125 0.0584506 
0.4225 0.0584942 
0.42375 0.0581543 
0.425 0.0574265 
0.42625 0.0563088 
0.4275 0.0548016 
0.42875 0.0529075 
0.43 0.0506321 
0.43125 0.0479835 
0.4325 0.0449726 
0.43375 0.041613 
0.435 0.0379215 
0.43625 0.0339176 
0.4375 0.0296239 
0.43875 0.0250659 
0.44 0.0202721 
0.44125 0.0152739 
0.4425 0.0101059 
0.44375 0.00480503 
0.445 -0.000588633 
0.44625 -0.00603259 
0.4475 -0.0114819 
0.44875 -0.0168892 
0.45 -0.0222052 
0.45125 -0.0273788 
0.4525 -0.0323574 
0.45375 -0.0370872 
0.455 -0.0415136 
0.45625 -0.0455816 
0.4575 -0.0492364 
0.45875 -0.0524236 
0.46 -0.0550903 
0.46125 -0.0571852 
0.4625 -0.0586596 
