n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction      L2_error_u           L2_error_p         H1semi_error_u     
       3      64   12416     8320     4096        8 10.5903 1.756e-01 2.618e-13    -     - 1.620e-10    -     - 4.471e-11     -     - 
       4     256   49408    33024    16384        8  9.9998 1.585e-01 4.531e-14 5.78  2.54 3.174e-10 0.51 -0.97 3.092e-12 14.46  3.88 
       5    1024  197120   131584    65536        8  9.6697 1.488e-01 3.191e-14 1.42  0.51 1.326e-10 2.39  1.26 1.883e-12  1.64  0.72 
       6    4096  787456   525312   262144        8  9.4846 1.434e-01 4.310e-14 0.74 -0.43 1.033e-10 1.28  0.36 1.667e-12  1.13  0.18 
       7   16384 3147776  2099200  1048576        8  8.9827 1.286e-01 2.192e-13 0.20 -2.35 1.942e-09 0.05 -4.23 1.002e-11  0.17 -2.59 
