n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter reduction      L2_error_u            L2_error_p          H1semi_error_u    
       3      64    7008     4704     2304        8 4.9309 2.386e-02 3.884e-10     -     - 6.887e-08     -     - 4.847e-08     -    - 
       4     256   27840    18624     9216        8 5.0689 2.641e-02 6.148e-12 63.19  6.03 1.080e-09 63.77  5.99 1.514e-09 32.01 5.04 
       5    1024  110976    74112    36864        8 4.8874 2.307e-02 9.650e-14 63.71  6.02 1.700e-11 63.54  5.99 4.731e-11 32.01 5.02 
       6    4096  443136   295680   147456        8 4.8890 2.310e-02 1.638e-14  5.89  2.56 4.764e-11  0.36 -1.49 1.670e-12 28.33 4.83 
       7   16384 1771008  1181184   589824        8 4.5737 1.782e-02 6.066e-14  0.27 -1.89 1.146e-11  4.16  2.06 5.401e-13  3.09 1.63 
