n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction      L2_error_u            L2_error_p         H1semi_error_u    
       3      64    7008     4704     2304        1 15.3997 3.024e-01 3.884e-10     -     - 6.887e-08     -    - 4.847e-08     -    - 
       4     256   27840    18624     9216        1 15.6227 3.076e-01 6.147e-12 63.19  6.03 1.085e-09 63.45 5.99 1.514e-09 32.01 5.04 
       5    1024  110976    74112    36864        1 14.7359 2.865e-01 9.653e-14 63.69  6.02 7.226e-11 15.02 3.91 4.732e-11 32.00 5.02 
       6    4096  443136   295680   147456        1 13.5542 2.569e-01 1.658e-14  5.82  2.55 3.589e-11  2.01 1.01 1.751e-12 27.03 4.77 
       7   16384 1771008  1181184   589824        1 13.2359 2.486e-01 6.050e-14  0.27 -1.87 1.517e-11  2.36 1.24 6.446e-13  2.72 1.44 
