n_levels n_cells  n_dofs  n_colors n_iter  reduction       L2_error       
       4    4096   274625        8 14.4727 2.800e-01 1.100e-07     -    - 
       5   32768  2146689        8 13.9946 2.681e-01 8.516e-09 12.92 3.73 
       6  262144 16974593        8 13.7485 2.619e-01 5.080e-09  1.68 0.75 
