n_levels n_cells  n_dofs  n_colors n_iter reduction       L2_error       
       6    4096   201601        4 9.3572 1.397e-01 1.371e-09    -     - 
       7   16384   804609        4 9.3396 1.391e-01 1.575e-09 0.87 -0.20 
       8   65536  3214849        4 9.3277 1.388e-01 1.652e-09 0.95 -0.07 
       9  262144 12852225        4 9.3202 1.386e-01 1.679e-09 0.98 -0.02 
      10 1048576 51394561        4 9.3159 1.384e-01 1.694e-09 0.99 -0.01 
