| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 53.6877 | 7.096e-01 | 2.015e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 60.3054 | 7.368e-01 | 7.761e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 62.4786 | 7.447e-01 | 3.159e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 65.7648 | 7.557e-01 | 1.352e+01 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 67.9499 | 7.625e-01 | 5.680e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 69.5297 | 7.673e-01 | 2.341e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 53.6877 | 7.096e-01 | 2.102e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 60.3054 | 7.368e-01 | 7.937e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 62.4786 | 7.447e-01 | 3.259e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 65.7648 | 7.557e-01 | 1.376e+01 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 67.9499 | 7.625e-01 | 5.868e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 69.5297 | 7.673e-01 | 2.383e+02 | 
