| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 4.4963 | 1.662e-02 | 6.672e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 4.5366 | 1.724e-02 | 2.299e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 4.5884 | 1.805e-02 | 9.104e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 4.6587 | 1.918e-02 | 3.772e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 4.7043 | 1.993e-02 | 1.524e+01 | 
| 8        | 65536   | 2097152 | 1.641e-11 | 3.98                     | 4.7440 | 2.059e-02 | 6.090e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 4.4963 | 1.662e-02 | 6.937e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 4.5366 | 1.724e-02 | 2.392e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 4.5884 | 1.805e-02 | 9.312e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 4.6587 | 1.918e-02 | 3.757e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 4.7043 | 1.993e-02 | 1.530e+01 | 
| 8        | 65536   | 2097152 | 1.641e-11 | 3.98                     | 4.7440 | 2.059e-02 | 6.299e+01 | 
