| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 3.4428 | 4.746e-03 | 7.725e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 3.7214 | 7.084e-03 | 2.789e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 3.6473 | 6.406e-03 | 1.110e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 3.6364 | 6.310e-03 | 4.545e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 3.6797 | 6.697e-03 | 1.854e+01 | 
| 8        | 65536   | 2097152 | 1.633e-11 | 3.99                     | 3.7264 | 7.131e-03 | 7.519e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 3.4428 | 4.746e-03 | 8.423e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 3.7214 | 7.084e-03 | 2.845e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 3.6473 | 6.406e-03 | 1.151e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 3.6364 | 6.310e-03 | 4.745e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 3.6797 | 6.697e-03 | 1.886e+01 | 
| 8        | 65536   | 2097152 | 1.633e-11 | 3.99                     | 3.7264 | 7.131e-03 | 7.674e+01 | 
