| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 6.4765 | 5.818e-02 | 2.562e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 6.5029 | 5.886e-02 | 8.486e-02 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 6.3820 | 5.578e-02 | 3.211e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 6.2500 | 5.248e-02 | 1.318e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 6.1320 | 4.959e-02 | 5.279e+00 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 6.0236 | 4.698e-02 | 2.149e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 6.4765 | 5.818e-02 | 2.616e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 6.5029 | 5.886e-02 | 8.717e-02 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 6.3820 | 5.578e-02 | 3.306e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 6.2500 | 5.248e-02 | 1.336e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 6.1320 | 4.959e-02 | 5.454e+00 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 6.0236 | 4.698e-02 | 2.205e+01 | 
