| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 6.7399 | 6.502e-02 | 1.085e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 6.9325 | 7.015e-02 | 3.762e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 6.9709 | 7.118e-02 | 1.500e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 6.9185 | 6.977e-02 | 6.129e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 6.7878 | 6.629e-02 | 2.470e+01 | 
| 8        | 65536   | 2097152 | 1.632e-11 | 3.99                     | 6.7039 | 6.407e-02 | 1.013e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 6.7399 | 6.502e-02 | 1.161e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 6.9325 | 7.015e-02 | 3.934e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 6.9709 | 7.118e-02 | 1.649e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 6.9185 | 6.977e-02 | 6.374e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 6.7878 | 6.629e-02 | 2.528e+01 | 
| 8        | 65536   | 2097152 | 1.632e-11 | 3.99                     | 6.7039 | 6.407e-02 | 1.022e+02 | 
