| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 39.7335 | 6.290e-01 | 7.952e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 43.9190 | 6.574e-01 | 2.313e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 46.7990 | 6.746e-01 | 9.001e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 50.4753 | 6.942e-01 | 3.959e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 52.6935 | 7.050e-01 | 1.673e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 55.6574 | 7.182e-01 | 7.276e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 39.7335 | 6.290e-01 | 8.137e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 43.9190 | 6.574e-01 | 2.402e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 46.7990 | 6.746e-01 | 9.303e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 50.4753 | 6.942e-01 | 3.997e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 52.6935 | 7.050e-01 | 1.713e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 55.6574 | 7.182e-01 | 7.325e+01 | 
