| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 22.5957 | 4.425e-01 | 9.568e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 24.5898 | 4.728e-01 | 3.867e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 25.8269 | 4.901e-01 | 1.644e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 26.7418 | 5.022e-01 | 6.871e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 27.3031 | 5.093e-01 | 2.907e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 27.9515 | 5.174e-01 | 1.184e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 22.5957 | 4.425e-01 | 9.970e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 24.5898 | 4.728e-01 | 3.972e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 25.8269 | 4.901e-01 | 1.677e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 26.7418 | 5.022e-01 | 6.961e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 27.3031 | 5.093e-01 | 2.961e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 27.9515 | 5.174e-01 | 1.185e+02 | 
