| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 5.5221 | 3.559e-02 | 7.502e-02 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 6.3415 | 5.476e-02 | 2.724e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 6.3791 | 5.571e-02 | 1.066e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 6.3592 | 5.520e-02 | 4.327e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 6.2832 | 5.331e-02 | 1.783e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 6.2693 | 5.296e-02 | 7.174e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 5.5221 | 3.559e-02 | 7.702e-02 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 6.3415 | 5.476e-02 | 2.779e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 6.3791 | 5.571e-02 | 1.088e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 6.3592 | 5.520e-02 | 4.405e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 6.2832 | 5.331e-02 | 1.809e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 6.2693 | 5.296e-02 | 7.308e+01 | 
