| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 6.9377 | 7.029e-02 | 8.478e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 7.1156 | 7.511e-02 | 2.860e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 7.1432 | 7.587e-02 | 1.134e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 7.0583 | 7.355e-02 | 4.612e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 6.8259 | 6.730e-02 | 1.763e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 6.6989 | 6.394e-02 | 7.118e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 6.9377 | 7.029e-02 | 8.716e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 7.1156 | 7.511e-02 | 2.956e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 7.1432 | 7.587e-02 | 1.160e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 7.0583 | 7.355e-02 | 4.706e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 6.8259 | 6.730e-02 | 1.763e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 6.6989 | 6.394e-02 | 7.276e+01 | 
