| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 34.1851 | 5.834e-01 | 1.376e-01 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 36.4833 | 6.036e-01 | 5.314e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 39.1499 | 6.247e-01 | 2.214e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 40.5913 | 6.352e-01 | 9.277e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 42.1650 | 6.461e-01 | 3.985e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 43.2343 | 6.531e-01 | 1.614e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 34.1851 | 5.834e-01 | 1.407e-01 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 36.4833 | 6.036e-01 | 5.434e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 39.1499 | 6.247e-01 | 2.259e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 40.5913 | 6.352e-01 | 9.486e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 42.1650 | 6.461e-01 | 4.040e+01 | 
| 8        | 65536   | 2097152 | 1.625e-11 | 3.99                     | 43.2343 | 6.531e-01 | 1.654e+02 | 
