| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 4.4203 | 1.549e-02 | 6.774e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 4.4955 | 1.661e-02 | 2.343e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 4.5655 | 1.769e-02 | 9.337e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 4.6524 | 1.907e-02 | 3.749e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 4.7073 | 1.998e-02 | 1.529e+01 | 
| 8        | 65536   | 2097152 | 1.648e-11 | 3.97                     | 4.7516 | 2.072e-02 | 6.246e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 4.4203 | 1.549e-02 | 6.933e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 4.4955 | 1.661e-02 | 2.406e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 4.5655 | 1.769e-02 | 9.436e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 4.6524 | 1.907e-02 | 3.839e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 4.7073 | 1.998e-02 | 1.572e+01 | 
| 8        | 65536   | 2097152 | 1.648e-11 | 3.97                     | 4.7516 | 2.072e-02 | 6.288e+01 | 
