| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 21.2177 | 4.197e-01 | 9.554e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 21.9614 | 4.322e-01 | 3.815e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 22.8095 | 4.459e-01 | 1.609e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 23.3431 | 4.542e-01 | 6.516e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 23.7461 | 4.604e-01 | 2.627e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 25.0303 | 4.791e-01 | 1.109e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 21.2177 | 4.197e-01 | 1.033e-01 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 21.9614 | 4.322e-01 | 3.674e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 22.8095 | 4.459e-01 | 1.554e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 23.3431 | 4.542e-01 | 6.356e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 23.7461 | 4.604e-01 | 3.544e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 25.0303 | 4.791e-01 | 1.138e+02 | 
