| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 3.8159 | 8.007e-03 | 2.533e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 3.8366 | 8.219e-03 | 8.958e-02 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 3.8410 | 8.265e-03 | 3.520e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 3.7598 | 7.452e-03 | 1.420e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 3.7772 | 7.621e-03 | 5.762e+00 | 
| 8        | 65536   | 2097152 | 1.642e-11 | 3.98                     | 3.8221 | 8.071e-03 | 2.343e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 3.8159 | 8.007e-03 | 2.677e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 3.8366 | 8.219e-03 | 9.151e-02 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 3.8410 | 8.265e-03 | 3.559e-01 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 3.7598 | 7.452e-03 | 1.439e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 3.7772 | 7.621e-03 | 5.925e+00 | 
| 8        | 65536   | 2097152 | 1.642e-11 | 3.98                     | 3.8221 | 8.071e-03 | 2.413e+01 | 
