| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 19.6644 | 3.919e-01 | 8.054e-02 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 19.9927 | 3.980e-01 | 2.488e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 19.8425 | 3.952e-01 | 9.288e-01 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 19.4724 | 3.883e-01 | 3.675e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 19.3056 | 3.851e-01 | 1.508e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 19.2506 | 3.841e-01 | 6.098e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 19.6644 | 3.919e-01 | 8.296e-02 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 19.9927 | 3.980e-01 | 2.582e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 19.8425 | 3.952e-01 | 9.443e-01 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 19.4724 | 3.883e-01 | 3.781e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 19.3056 | 3.851e-01 | 1.534e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 19.2506 | 3.841e-01 | 6.216e+01 | 
