| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 29.2974 | 5.333e-01 | 1.264e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 33.7660 | 5.795e-01 | 4.971e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 35.8542 | 5.982e-01 | 2.067e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 36.7158 | 6.055e-01 | 8.814e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 37.5251 | 6.121e-01 | 3.632e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 38.3333 | 6.184e-01 | 1.480e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 29.2974 | 5.333e-01 | 1.329e-01 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 33.7660 | 5.795e-01 | 5.214e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 35.8542 | 5.982e-01 | 2.091e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 36.7158 | 6.055e-01 | 9.131e+00 | 
| 7        | 16384   | 524288  | 2.599e-10 | 3.99                     | 37.5251 | 6.121e-01 | 3.697e+01 | 
| 8        | 65536   | 2097152 | 1.628e-11 | 4.00                     | 38.3333 | 6.184e-01 | 1.517e+02 | 
