| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 4.5509 | 1.746e-02 | 6.971e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 4.7132 | 2.008e-02 | 2.348e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 4.7487 | 2.067e-02 | 9.280e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 4.8278 | 2.203e-02 | 3.783e+00 | 
| 7        | 16384   | 524288  | 2.591e-10 | 3.99                     | 4.9191 | 2.364e-02 | 1.553e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 4.00                     | 4.9361 | 2.395e-02 | 6.930e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 4.5509 | 1.746e-02 | 6.977e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 4.7132 | 2.008e-02 | 2.385e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 4.7487 | 2.067e-02 | 9.522e-01 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 4.8278 | 2.203e-02 | 3.865e+00 | 
| 7        | 16384   | 524288  | 2.591e-10 | 3.99                     | 4.9191 | 2.364e-02 | 1.549e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 4.00                     | 4.9361 | 2.395e-02 | 6.840e+01 | 
