| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 4.3761 | 1.486e-02 | 8.963e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 4.3947 | 1.512e-02 | 3.127e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 4.3540 | 1.454e-02 | 1.239e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 4.3854 | 1.499e-02 | 5.119e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 4.3822 | 1.494e-02 | 2.067e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 4.00                     | 4.2930 | 1.369e-02 | 8.329e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.319e-05 | -                        | 4.3761 | 1.486e-02 | 9.049e-02 | 
| 4        | 256     | 8192    | 9.636e-07 | 3.77                     | 4.3947 | 1.512e-02 | 3.138e-01 | 
| 5        | 1024    | 32768   | 6.427e-08 | 3.91                     | 4.3540 | 1.454e-02 | 1.252e+00 | 
| 6        | 4096    | 131072  | 4.110e-09 | 3.97                     | 4.3854 | 1.499e-02 | 5.065e+00 | 
| 7        | 16384   | 524288  | 2.590e-10 | 3.99                     | 4.3822 | 1.494e-02 | 2.068e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 4.00                     | 4.2930 | 1.369e-02 | 8.388e+01 | 
