| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 3.6381 | 6.325e-03 | 7.955e-02 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 3.8850 | 8.725e-03 | 2.780e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 3.8768 | 8.639e-03 | 1.106e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 3.9139 | 9.037e-03 | 4.551e+00 | 
| 7        | 16384   | 524288  | 2.607e-10 | 3.99                     | 3.9604 | 9.551e-03 | 1.835e+01 | 
| 8        | 65536   | 2097152 | 2.313e-11 | 3.49                     | 3.9974 | 9.970e-03 | 7.521e+01 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.890e-05 | -                        | 3.6381 | 6.325e-03 | 8.166e-02 | 
| 4        | 256     | 8192    | 1.041e-06 | 4.18                     | 3.8850 | 8.725e-03 | 2.844e-01 | 
| 5        | 1024    | 32768   | 6.570e-08 | 3.99                     | 3.8768 | 8.639e-03 | 1.130e+00 | 
| 6        | 4096    | 131072  | 4.143e-09 | 3.99                     | 3.9139 | 9.037e-03 | 4.680e+00 | 
| 7        | 16384   | 524288  | 2.607e-10 | 3.99                     | 3.9604 | 9.551e-03 | 1.897e+01 | 
| 8        | 65536   | 2097152 | 2.313e-11 | 3.49                     | 3.9974 | 9.970e-03 | 7.554e+01 | 
