| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 12.1259 | 2.189e-01 | 8.863e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 12.4395 | 2.274e-01 | 3.778e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 12.4109 | 2.267e-01 | 1.566e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 11.9870 | 2.151e-01 | 6.212e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 11.7743 | 2.092e-01 | 2.547e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 11.7712 | 2.091e-01 | 1.030e+02 | 
| n_levels | n_cells | n_dofs  | error_L2  | error_L2...red.rate.log2 | n_iter  | reduction | t_solve   | 
| 3        | 64      | 2048    | 1.122e-05 | -                        | 12.1259 | 2.189e-01 | 9.429e-02 | 
| 4        | 256     | 8192    | 9.250e-07 | 3.60                     | 12.4395 | 2.274e-01 | 3.822e-01 | 
| 5        | 1024    | 32768   | 6.350e-08 | 3.86                     | 12.4109 | 2.267e-01 | 1.604e+00 | 
| 6        | 4096    | 131072  | 4.094e-09 | 3.96                     | 11.9870 | 2.151e-01 | 6.325e+00 | 
| 7        | 16384   | 524288  | 2.587e-10 | 3.98                     | 11.7743 | 2.092e-01 | 2.618e+01 | 
| 8        | 65536   | 2097152 | 1.624e-11 | 3.99                     | 11.7712 | 2.091e-01 | 1.046e+02 | 
