n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter reduction      L2_error_u            L2_error_p           H1semi_error_u     
       3      64   12672    10368     2304        8 3.6718 6.626e-03 3.101e-11     -     - 4.600e-09      -    - 4.254e-09      -     - 
       4     256   50688    41472     9216        8 4.2974 1.375e-02 6.812e-13 45.53  5.51 3.756e-11 122.47 6.94 2.134e-11 199.31  7.64 
       5    1024  202752   165888    36864        8 4.4240 1.555e-02 8.596e-13  0.79 -0.34 3.124e-11   1.20 0.27 1.466e-11   1.46  0.54 
       6    4096  811008   663552   147456        8 4.4892 1.652e-02 1.048e-12  0.82 -0.29 2.924e-11   1.07 0.10 1.688e-11   0.87 -0.20 
       7   16384 3244032  2654208   589824        8 4.5214 1.701e-02 1.129e-12  0.93 -0.11 2.646e-11   1.11 0.14 1.700e-11   0.99 -0.01 
