n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter reduction      L2_error_u           L2_error_p         H1semi_error_u    
       4     256   15360    12800     2560        8 4.6982 1.982e-02 1.265e-07     -    - 2.291e-05     -    - 1.998e-05     -    - 
       5    1024   61440    51200    10240        8 4.9073 2.343e-02 4.063e-09 31.13 4.96 1.429e-06 16.03 4.00 1.265e-06 15.80 3.98 
       6    4096  245760   204800    40960        8 5.1342 2.766e-02 1.285e-10 31.63 4.98 8.915e-08 16.03 4.00 7.956e-08 15.90 3.99 
       7   16384  983040   819200   163840        8 5.2315 2.957e-02 4.187e-12 30.68 4.94 5.565e-09 16.02 4.00 4.988e-09 15.95 4.00 
       8   65536 3932160  3276800   655360        8 5.3376 3.171e-02 1.308e-12  3.20 1.68 3.501e-10 15.89 3.99 3.130e-10 15.94 3.99 
