n_levels n_cells n_dofs  n_colors n_iter  reduction       L2_error           energy_error     
       7   16384  148225        1 11.7427 2.083e-01 4.952e-07    -     - 2.393e-03    -     - 
       8   65536  591361        1 11.7627 2.089e-01 1.102e-06 0.45 -1.16 1.668e-03 1.44  0.52 
       9  262144 2362369        1 11.7393 2.082e-01 5.694e-06 0.19 -2.37 4.117e-03 0.41 -1.31 
      10 1048576 9443329        1 11.7323 2.080e-01 1.882e-04 0.03 -5.05 1.319e-02 0.31 -1.68 
