n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction      L2_error_u           L2_error_p        H1semi_error_u    
       4     256   12416     8320     4096        1 30.8599 5.505e-01 2.281e-08     -    - 3.332e-06     -    - 3.530e-06    -    - 
       5    1024   49408    33024    16384        1 30.8704 5.506e-01 1.440e-09 15.84 4.01 2.085e-07 15.98 4.00 4.401e-07 8.02 3.02 
       6    4096  197120   131584    65536        1 31.5914 5.582e-01 9.028e-11 15.95 4.01 1.305e-08 15.97 4.00 5.496e-08 8.01 3.01 
       7   16384  787456   525312   262144        1 31.1836 5.539e-01 5.650e-12 15.98 4.00 1.002e-09 13.02 3.70 6.867e-09 8.00 3.00 
       8   65536 3147776  2099200  1048576        1 31.6436 5.587e-01 3.583e-13 15.77 3.98 4.508e-10  2.22 1.15 8.584e-10 8.00 3.00 
