n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter reduction      L2_error_u            L2_error_p         H1semi_error_u    
       4     256   19360    12960     6400        8 4.1183 1.141e-02 3.006e-10     -     - 6.576e-08     -    - 7.824e-08     -    - 
       5    1024   77120    51520    25600        8 4.4606 1.609e-02 9.355e-12 32.13  5.03 2.058e-09 31.96 5.00 4.895e-09 15.98 4.02 
       6    4096  307840   205440   102400        8 4.6439 1.894e-02 2.920e-13 32.03  5.01 8.568e-11 24.02 4.59 3.060e-10 16.00 4.01 
       7   16384 1230080   820480   409600        8 4.6876 1.965e-02 1.409e-14 20.73  4.38 3.407e-11  2.51 1.33 1.912e-11 16.00 4.00 
       8   65536 4917760  3279360  1638400        8 4.2274 1.281e-02 4.588e-14  0.31 -1.70 6.913e-12  4.93 2.30 1.226e-12 15.60 3.97 
