n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction       L2_error_u            L2_error_p         H1semi_error_u     
       3      64    9520     6384     3136        1 11.9367 2.137e-01 8.780e-12      -     - 1.959e-09     -    - 1.578e-09     -     - 
       4     256   37856    25312    12544        1 12.0454 2.167e-01 6.768e-14 129.74  7.06 3.993e-11 49.07 5.62 2.480e-11 63.63  6.03 
       5    1024  150976   100800    50176        1 11.3198 1.965e-01 5.297e-15  12.78  3.69 2.644e-11  1.51 0.59 4.547e-13 54.53  5.79 
       6    4096  603008   402304   200704        1 10.5735 1.751e-01 1.107e-14   0.48 -1.06 2.194e-11  1.21 0.27 2.681e-13  1.70  0.76 
       7   16384 2410240  1607424   802816        1  9.5077 1.441e-01 5.575e-14   0.20 -2.33 1.104e-11  1.99 0.99 5.906e-13  0.45 -1.14 
