n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter reduction      L2_error_u            L2_error_p         H1semi_error_u    
       4     256   19360    12960     6400        8 5.1512 2.799e-02 3.409e-10     -     - 6.578e-08     -    - 7.548e-08     -    - 
       5    1024   77120    51520    25600        8 5.0349 2.577e-02 1.064e-11 32.03  5.02 2.060e-09 31.93 5.00 4.723e-09 15.98 4.02 
       6    4096  307840   205440   102400        8 4.7631 2.091e-02 3.326e-13 32.00  5.01 8.208e-11 25.10 4.65 2.953e-10 15.99 4.01 
       7   16384 1230080   820480   409600        8 4.6574 1.916e-02 1.856e-14 17.92  4.17 2.215e-11  3.70 1.89 1.845e-11 16.00 4.00 
       8   65536 4917760  3279360  1638400        8 4.6544 1.911e-02 8.121e-14  0.23 -2.13 1.139e-11  1.95 0.96 1.308e-12 14.11 3.82 
