n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction      L2_error_u            L2_error_p          H1semi_error_u    
       4     256   19360    12960     6400        1 10.7475 1.802e-01 3.409e-10     -     - 6.578e-08     -     - 7.548e-08     -    - 
       5    1024   77120    51520    25600        1  9.9763 1.578e-01 1.064e-11 32.03  5.02 2.063e-09 31.88  4.99 4.724e-09 15.98 4.02 
       6    4096  307840   205440   102400        1  9.0353 1.302e-01 3.327e-13 31.99  5.01 6.629e-11 31.13  4.96 2.953e-10 16.00 4.01 
       7   16384 1230080   820480   409600        1  9.5266 1.446e-01 1.797e-14 18.51  4.22 2.782e-12 23.82  4.57 1.845e-11 16.00 4.00 
       8   65536 4917760  3279360  1638400        1  9.5374 1.449e-01 8.032e-14  0.22 -2.16 1.026e-11  0.27 -1.88 1.859e-12  9.93 3.31 
