n_levels n_cells  n_dofs  n_colors n_iter  reduction       L2_error       
       4    4096   512000        8 16.5517 3.286e-01 7.762e-08     -    - 
       5   32768  4096000        8 16.1369 3.193e-01 2.870e-09 27.04 4.76 
       6  262144 32768000        8 15.5169 3.051e-01 2.284e-09  1.26 0.33 
