n_levels n_cells n_dofs  n_dofs_u n_dofs_p n_colors n_iter  reduction      L2_error_u            L2_error_p          H1semi_error_u    
       3      64    7008     4704     2304        1 18.0596 3.606e-01 3.884e-10     -     - 6.887e-08     -     - 4.847e-08     -    - 
       4     256   27840    18624     9216        1 18.4055 3.676e-01 6.148e-12 63.19  6.03 1.084e-09 63.53  5.99 1.514e-09 32.01 5.04 
       5    1024  110976    74112    36864        1 17.4869 3.488e-01 9.653e-14 63.69  6.02 5.839e-11 18.57  4.21 4.732e-11 32.00 5.02 
       6    4096  443136   295680   147456        1 16.4428 3.262e-01 1.472e-14  6.56  2.72 4.058e-11  1.44  0.53 1.768e-12 26.76 4.75 
       7   16384 1771008  1181184   589824        1 15.6513 3.082e-01 6.072e-14  0.24 -2.05 4.343e-11  0.93 -0.10 1.514e-12  1.17 0.22 
