n_levels n_cells n_dofs  n_colors n_iter  reduction       L2_error           energy_error     
       5    1024   50625        1 10.9025 1.846e-01 2.495e-08    -     - 1.561e-04    -     - 
       6    4096  201601        1 10.8301 1.825e-01 5.234e-07 0.05 -4.40 1.861e-03 0.08 -3.59 
       7   16384  804609        1 10.3645 1.691e-01 4.924e-06 0.11 -3.24 2.336e-03 0.80 -0.33 
       8   65536 3214849        1  9.9512 1.571e-01 4.221e-05 0.12 -3.10 1.777e-02 0.13 -2.93 
