# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_7> 
0.34 -1.11126 
0.34125 -1.08808 
0.3425 -1.06381 
0.34375 -1.03847 
0.345 -1.01208 
0.34625 -0.984643 
0.3475 -0.956194 
0.34875 -0.926748 
0.35 -0.896329 
0.35125 -0.86496 
0.3525 -0.832663 
0.35375 -0.799466 
0.355 -0.765393 
0.35625 -0.730471 
0.3575 -0.694728 
0.35875 -0.658194 
0.36 -0.620898 
0.36125 -0.582871 
0.3625 -0.544144 
0.36375 -0.50475 
0.365 -0.464722 
0.36625 -0.424095 
0.3675 -0.382903 
0.36875 -0.341182 
0.37 -0.298969 
0.37125 -0.256302 
0.3725 -0.213218 
0.37375 -0.169757 
0.375 -0.125958 
0.37625 -0.0818608 
0.3775 -0.0375072 
0.37875 0.00706144 
0.38 0.0518031 
0.38125 0.0966749 
0.3825 0.141634 
0.38375 0.186636 
0.385 0.231637 
0.38625 0.276592 
0.3875 0.321456 
0.38875 0.366184 
0.39 0.410729 
0.39125 0.455046 
0.3925 0.499088 
0.39375 0.542809 
0.395 0.586161 
0.39625 0.629098 
0.3975 0.671573 
0.39875 0.713538 
0.4 0.754946 
0.40125 0.795751 
0.4025 0.835905 
0.40375 0.875361 
0.405 0.914073 
0.40625 0.951993 
0.4075 0.989077 
0.40875 1.02528 
0.41 1.06055 
0.41125 1.09485 
0.4125 1.12813 
0.41375 1.16034 
0.415 1.19146 
0.41625 1.22142 
0.4175 1.25019 
0.41875 1.27773 
0.42 1.304 
0.42125 1.32896 
0.4225 1.35257 
0.42375 1.37479 
0.425 1.39559 
0.42625 1.41493 
0.4275 1.43278 
0.42875 1.4491 
0.43 1.46387 
0.43125 1.47706 
0.4325 1.48863 
0.43375 1.49856 
0.435 1.50683 
0.43625 1.51342 
0.4375 1.5183 
0.43875 1.52146 
0.44 1.52287 
0.44125 1.52253 
0.4425 1.52042 
0.44375 1.51653 
0.445 1.51086 
0.44625 1.5034 
0.4475 1.49415 
0.44875 1.48311 
0.45 1.47028 
0.45125 1.45566 
0.4525 1.43928 
0.45375 1.42113 
0.455 1.40124 
0.45625 1.37963 
0.4575 1.35632 
0.45875 1.33133 
0.46 1.30469 
0.46125 1.27644 
0.4625 1.24661 
0.46375 1.21525 
0.465 1.18241 
0.46625 1.14812 
0.4675 1.11245 
0.46875 1.07546 
0.47 1.03721 
0.47125 0.99776 
0.4725 0.957192 
0.47375 0.915583 
0.475 0.873015 
0.47625 0.829576 
0.4775 0.785361 
0.47875 0.74047 
0.48 0.695007 
0.48125 0.649083 
0.4825 0.602816 
0.48375 0.556328 
0.485 0.50975 
0.48625 0.463216 
0.4875 0.416869 
0.48875 0.370858 
0.49 0.325339 
0.49125 0.280475 
0.4925 0.236436 
0.49375 0.1934 
0.495 0.151551 
0.49625 0.111082 
0.4975 0.0721936 
0.49875 0.0350941 
0.5 5.304e-16 


0.5 5.304e-16 
0.50125 -0.0350941 
0.5025 -0.0721936 
0.50375 -0.111082 
0.505 -0.151551 
0.50625 -0.1934 
0.5075 -0.236436 
0.50875 -0.280475 
0.51 -0.325339 
0.51125 -0.370858 
0.5125 -0.416869 
0.51375 -0.463216 
0.515 -0.50975 
0.51625 -0.556328 
0.5175 -0.602816 
0.51875 -0.649083 
0.52 -0.695007 
0.52125 -0.74047 
0.5225 -0.785361 
0.52375 -0.829576 
0.525 -0.873015 
0.52625 -0.915583 
0.5275 -0.957192 
0.52875 -0.99776 
0.53 -1.03721 
0.53125 -1.07546 
0.5325 -1.11245 
0.53375 -1.14812 
0.535 -1.18241 
0.53625 -1.21525 
0.5375 -1.24661 
0.53875 -1.27644 
0.54 -1.30469 
0.54125 -1.33133 
0.5425 -1.35632 
0.54375 -1.37963 
0.545 -1.40124 
0.54625 -1.42113 
0.5475 -1.43928 
0.54875 -1.45566 
0.55 -1.47028 
0.55125 -1.48311 
0.5525 -1.49415 
0.55375 -1.5034 
0.555 -1.51086 
0.55625 -1.51653 
0.5575 -1.52042 
0.55875 -1.52253 
0.56 -1.52287 
0.56125 -1.52146 
0.5625 -1.5183 
0.56375 -1.51342 
0.565 -1.50683 
0.56625 -1.49856 
0.5675 -1.48863 
0.56875 -1.47706 
0.57 -1.46387 
0.57125 -1.4491 
0.5725 -1.43278 
0.57375 -1.41493 
0.575 -1.39559 
0.57625 -1.37479 
0.5775 -1.35257 
0.57875 -1.32896 
0.58 -1.304 
0.58125 -1.27773 
0.5825 -1.25019 
0.58375 -1.22142 
0.585 -1.19146 
0.58625 -1.16034 
0.5875 -1.12813 
0.58875 -1.09485 
0.59 -1.06055 
0.59125 -1.02528 
0.5925 -0.989077 
0.59375 -0.951993 
0.595 -0.914073 
0.59625 -0.875361 
0.5975 -0.835905 
0.59875 -0.795751 
0.6 -0.754946 
0.60125 -0.713538 
0.6025 -0.671573 
0.60375 -0.629098 
0.605 -0.586161 
0.60625 -0.542809 
0.6075 -0.499088 
0.60875 -0.455046 
0.61 -0.410729 
0.61125 -0.366184 
0.6125 -0.321456 
0.61375 -0.276592 
0.615 -0.231637 
0.61625 -0.186636 
0.6175 -0.141634 
0.61875 -0.0966749 
0.62 -0.0518031 
0.62125 -0.00706144 
0.6225 0.0375072 
0.62375 0.0818608 
0.625 0.125958 
0.62625 0.169757 
0.6275 0.213218 
0.62875 0.256302 
0.63 0.298969 
0.63125 0.341182 
0.6325 0.382903 
0.63375 0.424095 
0.635 0.464722 
0.63625 0.50475 
0.6375 0.544144 
0.63875 0.582871 
0.64 0.620898 
0.64125 0.658194 
0.6425 0.694728 
0.64375 0.730471 
0.645 0.765393 
0.64625 0.799466 
0.6475 0.832663 
0.64875 0.86496 
0.65 0.896329 
0.65125 0.926748 
0.6525 0.956194 
0.65375 0.984643 
0.655 1.01208 
0.65625 1.03847 
0.6575 1.06381 
0.65875 1.08808 
0.66 1.11126 
0.66125 1.13333 
0.6625 1.15427 
0.66375 1.17409 
0.665 1.19275 
0.66625 1.21026 
0.6675 1.22659 
0.66875 1.24174 
0.67 1.25571 
0.67125 1.26848 
0.6725 1.28004 
0.67375 1.2904 
0.675 1.29954 
0.67625 1.30747 
0.6775 1.31418 
0.67875 1.31967 
0.68 1.32394 
0.68125 1.32699 
0.6825 1.32882 
0.68375 1.32943 
0.685 1.32883 
0.68625 1.32702 
0.6875 1.32401 
0.68875 1.31981 
0.69 1.31441 
0.69125 1.30784 
0.6925 1.30009 
0.69375 1.29118 
0.695 1.28113 
0.69625 1.26993 
