# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_sqL_0> 
0 0 
0.00125 0.00138519 
0.0025 0.00277025 
0.00375 0.00415514 
0.005 0.00553984 
0.00625 0.00692431 
0.0075 0.00830853 
0.00875 0.00969246 
0.01 0.0110761 
0.01125 0.0124594 
0.0125 0.0138423 
0.01375 0.0152248 
0.015 0.0166069 
0.01625 0.0179886 
0.0175 0.0193698 
0.01875 0.0207506 
0.02 0.0221308 
0.02125 0.0235104 
0.0225 0.0248896 
0.02375 0.0262681 
0.025 0.0276461 
0.02625 0.0290234 
0.0275 0.0304001 
0.02875 0.0317761 
0.03 0.0331514 
0.03125 0.0345261 
0.0325 0.0359 
0.03375 0.0372731 
0.035 0.0386456 
0.03625 0.0400172 
0.0375 0.0413881 
0.03875 0.0427581 
0.04 0.0441274 
0.04125 0.0454958 
0.0425 0.0468633 
0.04375 0.0482299 
0.045 0.0495957 
0.04625 0.0509606 
0.0475 0.0523245 
0.04875 0.0536876 
0.05 0.0550496 
0.05125 0.0564107 
0.0525 0.0577709 
0.05375 0.05913 
0.055 0.0604881 
0.05625 0.0618453 
0.0575 0.0632014 
0.05875 0.0645564 
0.06 0.0659104 
0.06125 0.0672634 
0.0625 0.0686152 
0.06375 0.069966 
0.065 0.0713156 
0.06625 0.0726642 
0.0675 0.0740116 
0.06875 0.0753579 
0.07 0.076703 
0.07125 0.078047 
0.0725 0.0793898 
0.07375 0.0807315 
0.075 0.0820719 
0.07625 0.0834112 
0.0775 0.0847492 
0.07875 0.086086 
0.08 0.0874216 
0.08125 0.0887559 
0.0825 0.0900889 
0.08375 0.0914207 
0.085 0.0927513 
0.08625 0.0940805 
0.0875 0.0954085 
0.08875 0.0967351 
0.09 0.0980605 
0.09125 0.0993845 
0.0925 0.100707 
0.09375 0.102029 
0.095 0.103349 
0.09625 0.104667 
0.0975 0.105984 
0.09875 0.1073 
0.1 0.108615 
0.10125 0.109928 
0.1025 0.11124 
0.10375 0.11255 
0.105 0.113859 
0.10625 0.115166 
0.1075 0.116472 
0.10875 0.117777 
0.11 0.11908 
0.11125 0.120381 
0.1125 0.121681 
0.11375 0.12298 
0.115 0.124277 
0.11625 0.125573 
0.1175 0.126867 
0.11875 0.128159 
0.12 0.129451 
0.12125 0.13074 
0.1225 0.132028 
0.12375 0.133314 
0.125 0.134599 
0.12625 0.135882 
0.1275 0.137164 
0.12875 0.138444 
0.13 0.139722 
0.13125 0.140999 
0.1325 0.142274 
0.13375 0.143548 
0.135 0.14482 
0.13625 0.14609 
0.1375 0.147359 
0.13875 0.148626 
0.14 0.149891 
0.14125 0.151154 
0.1425 0.152416 
0.14375 0.153676 
0.145 0.154935 
0.14625 0.156191 
0.1475 0.157446 
0.14875 0.158699 
0.15 0.159951 
