# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_9> 
0 0 
0.00125 0.00543978 
0.0025 0.011378 
0.00375 0.0177587 
0.005 0.0245286 
0.00625 0.0316363 
0.0075 0.0390331 
0.00875 0.0466721 
0.01 0.0545087 
0.01125 0.0625005 
0.0125 0.0706069 
0.01375 0.0787895 
0.015 0.0870118 
0.01625 0.0952389 
0.0175 0.103438 
0.01875 0.111579 
0.02 0.119631 
0.02125 0.127567 
0.0225 0.135362 
0.02375 0.142991 
0.025 0.15043 
0.02625 0.15766 
0.0275 0.16466 
0.02875 0.171411 
0.03 0.177898 
0.03125 0.184103 
0.0325 0.190014 
0.03375 0.195616 
0.035 0.200898 
0.03625 0.20585 
0.0375 0.210461 
0.03875 0.214725 
0.04 0.218632 
0.04125 0.222178 
0.0425 0.225356 
0.04375 0.228163 
0.045 0.230596 
0.04625 0.232651 
0.0475 0.234327 
0.04875 0.235624 
0.05 0.236541 
0.05125 0.23708 
0.0525 0.237241 
0.05375 0.237028 
0.055 0.236443 
0.05625 0.23549 
0.0575 0.234172 
0.05875 0.232496 
0.06 0.230466 
0.06125 0.228087 
0.0625 0.225367 
0.06375 0.222313 
0.065 0.218931 
0.06625 0.21523 
0.0675 0.211217 
0.06875 0.206902 
0.07 0.202292 
0.07125 0.197398 
0.0725 0.192229 
0.07375 0.186794 
0.075 0.181105 
0.07625 0.17517 
0.0775 0.169001 
0.07875 0.162609 
0.08 0.156004 
0.08125 0.149198 
0.0825 0.142202 
0.08375 0.135027 
0.085 0.127685 
0.08625 0.120187 
0.0875 0.112545 
0.08875 0.10477 
0.09 0.0968757 
0.09125 0.0888721 
0.0925 0.0807716 
0.09375 0.0725859 
0.095 0.0643268 
0.09625 0.0560059 
0.0975 0.047635 
0.09875 0.0392257 
0.1 0.0307895 
0.10125 0.0223378 
0.1025 0.0138821 
0.10375 0.00543348 
0.105 -0.00299689 
0.10625 -0.011398 
0.1075 -0.0197591 
0.10875 -0.0280695 
0.11 -0.0363186 
0.11125 -0.0444962 
0.1125 -0.052592 
0.11375 -0.0605961 
0.115 -0.0684987 
0.11625 -0.0762904 
0.1175 -0.0839617 
0.11875 -0.0915035 
0.12 -0.098907 
0.12125 -0.106164 
0.1225 -0.113265 
0.12375 -0.120202 
0.125 -0.126968 
0.12625 -0.133556 
0.1275 -0.139956 
0.12875 -0.146163 
0.13 -0.15217 
0.13125 -0.15797 
0.1325 -0.163556 
0.13375 -0.168924 
0.135 -0.174066 
0.13625 -0.178978 
0.1375 -0.183655 
0.13875 -0.188091 
0.14 -0.192283 
0.14125 -0.196226 
0.1425 -0.199916 
0.14375 -0.203349 
0.145 -0.206523 
0.14625 -0.209434 
0.1475 -0.212079 
0.14875 -0.214457 
0.15 -0.216564 
0.15125 -0.218399 
0.1525 -0.219962 
0.15375 -0.221249 
0.155 -0.222262 
0.15625 -0.222998 
0.1575 -0.223458 
0.15875 -0.223642 
0.16 -0.22355 
0.16125 -0.223182 
0.1625 -0.22254 
0.16375 -0.221625 
0.165 -0.220438 
0.16625 -0.21898 
0.1675 -0.217255 
0.16875 -0.215264 
0.17 -0.213009 
0.17125 -0.210494 
0.1725 -0.207722 
0.17375 -0.204696 
0.175 -0.201419 
0.17625 -0.197896 
0.1775 -0.19413 
0.17875 -0.190126 
0.18 -0.185889 
0.18125 -0.181423 
0.1825 -0.176734 
0.18375 -0.171826 
0.185 -0.166705 
0.18625 -0.161376 
0.1875 -0.155847 
0.18875 -0.150122 
0.19 -0.144208 
0.19125 -0.138112 
0.1925 -0.13184 
0.19375 -0.125399 
0.195 -0.118796 
0.19625 -0.112037 
0.1975 -0.105132 
0.19875 -0.0980857 
0.2 -0.0909073 
0.20125 -0.0836039 
0.2025 -0.0761836 
0.20375 -0.0686542 
0.205 -0.0610239 
0.20625 -0.0533009 
0.2075 -0.0454934 
0.20875 -0.0376098 
0.21 -0.0296586 
0.21125 -0.0216484 
0.2125 -0.0135876 
0.21375 -0.00548509 
0.215 0.00265053 
0.21625 0.0108105 
0.2175 0.0189859 
0.21875 0.027168 
0.22 0.0353479 
0.22125 0.0435167 
0.2225 0.0516655 
0.22375 0.0597855 
0.225 0.0678678 
0.22625 0.0759035 
0.2275 0.0838837 
0.22875 0.0917997 
0.23 0.0996427 
0.23125 0.107404 
0.2325 0.115075 
0.23375 0.122647 
0.235 0.130111 
0.23625 0.137459 
0.2375 0.144683 
0.23875 0.151774 
0.24 0.158724 
0.24125 0.165526 
0.2425 0.17217 
0.24375 0.17865 
0.245 0.184957 
0.24625 0.191084 
0.2475 0.197024 
0.24875 0.202768 
0.25 0.208311 
0.25125 0.213645 
0.2525 0.218763 
0.25375 0.223659 
0.255 0.228327 
0.25625 0.232759 
0.2575 0.23695 
0.25875 0.240895 
0.26 0.244587 
0.26125 0.248021 
0.2625 0.251192 
0.26375 0.254095 
0.265 0.256725 
0.26625 0.259078 
0.2675 0.26115 
0.26875 0.262936 
0.27 0.264433 
0.27125 0.265637 
0.2725 0.266546 
0.27375 0.267155 
0.275 0.267464 
0.27625 0.267468 
0.2775 0.267167 
0.27875 0.266558 
0.28 0.26564 
0.28125 0.264412 
0.2825 0.262873 
0.28375 0.261021 
0.285 0.258858 
0.28625 0.256383 
0.2875 0.253596 
0.28875 0.250498 
0.29 0.247089 
0.29125 0.243373 
0.2925 0.239349 
0.29375 0.23502 
0.295 0.230388 
0.29625 0.225456 
0.2975 0.220227 
0.29875 0.214704 
0.3 0.20889 
0.30125 0.202791 
0.3025 0.196409 
0.30375 0.18975 
0.305 0.182818 
0.30625 0.175619 
0.3075 0.168159 
0.30875 0.160443 
0.31 0.152478 
0.31125 0.144271 
0.3125 0.135827 
0.31375 0.127156 
0.315 0.118264 
0.31625 0.109159 
0.3175 0.0998492 
0.31875 0.0903438 
0.32 0.0806514 
0.32125 0.0707812 
0.3225 0.0607427 
0.32375 0.0505456 
0.325 0.0402002 
0.32625 0.0297168 
0.3275 0.019106 
0.32875 0.00837897 
0.33 -0.0024532 
0.33125 -0.0133789 
0.3325 -0.0243865 
0.33375 -0.0354638 
0.335 -0.0465986 
0.33625 -0.0577784 
0.3375 -0.0689904 
0.33875 -0.0802217 
0.34 -0.0914589 
0.34125 -0.102689 
0.3425 -0.113898 
0.34375 -0.125072 
0.345 -0.136197 
0.34625 -0.14726 
0.3475 -0.158246 
0.34875 -0.169139 
0.35 -0.179927 
0.35125 -0.190594 
0.3525 -0.201125 
0.35375 -0.211506 
0.355 -0.221721 
0.35625 -0.231756 
0.3575 -0.241595 
0.35875 -0.251223 
0.36 -0.260625 
0.36125 -0.269786 
0.3625 -0.278691 
0.36375 -0.287324 
0.365 -0.295671 
0.36625 -0.303716 
0.3675 -0.311444 
0.36875 -0.318841 
0.37 -0.325892 
0.37125 -0.332581 
0.3725 -0.338896 
0.37375 -0.34482 
0.375 -0.350341 
0.37625 -0.355443 
0.3775 -0.360114 
0.37875 -0.36434 
0.38 -0.368108 
0.38125 -0.371405 
0.3825 -0.374218 
0.38375 -0.376536 
0.385 -0.378345 
0.38625 -0.379636 
0.3875 -0.380396 
0.38875 -0.380616 
0.39 -0.380285 
0.39125 -0.379393 
0.3925 -0.377932 
0.39375 -0.375892 
0.395 -0.373267 
0.39625 -0.370048 
0.3975 -0.366229 
0.39875 -0.361804 
0.4 -0.356767 
0.40125 -0.351115 
0.4025 -0.344842 
0.40375 -0.337947 
0.405 -0.330427 
0.40625 -0.32228 
0.4075 -0.313506 
0.40875 -0.304105 
0.41 -0.29408 
0.41125 -0.283433 
0.4125 -0.272166 
0.41375 -0.260285 
0.415 -0.247795 
0.41625 -0.234703 
0.4175 -0.221017 
0.41875 -0.206747 
0.42 -0.191903 
0.42125 -0.176496 
0.4225 -0.160541 
0.42375 -0.144051 
0.425 -0.127043 
0.42625 -0.109533 
0.4275 -0.0915422 
