# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_M_6> 
0 0 
0.00125 0.00504253 
0.0025 0.00835052 
0.00375 0.0100289 
0.005 0.0101791 
0.00625 0.00889935 
0.0075 0.0062847 
0.00875 0.00242692 
0.01 -0.00258533 
0.01125 -0.0086664 
0.0125 -0.0157337 
0.01375 -0.0237074 
0.015 -0.0325107 
0.01625 -0.0420697 
0.0175 -0.052313 
0.01875 -0.063172 
0.02 -0.0745808 
0.02125 -0.086476 
0.0225 -0.0987967 
0.02375 -0.111485 
0.025 -0.124484 
0.02625 -0.13774 
0.0275 -0.151203 
0.02875 -0.164823 
0.03 -0.178553 
0.03125 -0.192349 
0.0325 -0.206168 
0.03375 -0.219969 
0.035 -0.233714 
0.03625 -0.247367 
0.0375 -0.260891 
0.03875 -0.274256 
0.04 -0.287428 
0.04125 -0.30038 
0.0425 -0.313084 
0.04375 -0.325513 
0.045 -0.337644 
0.04625 -0.349453 
0.0475 -0.36092 
0.04875 -0.372025 
0.05 -0.382749 
0.05125 -0.393076 
0.0525 -0.40299 
0.05375 -0.412477 
0.055 -0.421525 
0.05625 -0.430122 
0.0575 -0.438257 
0.05875 -0.445921 
0.06 -0.453106 
0.06125 -0.459806 
0.0625 -0.466014 
0.06375 -0.471725 
0.065 -0.476936 
0.06625 -0.481644 
0.0675 -0.485847 
0.06875 -0.489544 
0.07 -0.492734 
0.07125 -0.495418 
0.0725 -0.497598 
0.07375 -0.499276 
0.075 -0.500455 
0.07625 -0.501138 
0.0775 -0.501329 
0.07875 -0.501035 
0.08 -0.50026 
0.08125 -0.49901 
0.0825 -0.497292 
0.08375 -0.495114 
0.085 -0.492482 
0.08625 -0.489407 
0.0875 -0.485896 
0.08875 -0.481958 
0.09 -0.477603 
0.09125 -0.472841 
0.0925 -0.467682 
0.09375 -0.462137 
0.095 -0.456217 
0.09625 -0.449933 
0.0975 -0.443297 
0.09875 -0.436321 
0.1 -0.429016 
0.10125 -0.421395 
0.1025 -0.41347 
0.10375 -0.405254 
0.105 -0.396759 
0.10625 -0.387999 
0.1075 -0.378986 
0.10875 -0.369734 
0.11 -0.360256 
0.11125 -0.350565 
0.1125 -0.340674 
0.11375 -0.330597 
0.115 -0.320347 
0.11625 -0.309937 
0.1175 -0.299381 
0.11875 -0.288692 
0.12 -0.277884 
0.12125 -0.266969 
0.1225 -0.25596 
0.12375 -0.244872 
0.125 -0.233716 
0.12625 -0.222506 
0.1275 -0.211254 
0.12875 -0.199973 
0.13 -0.188676 
0.13125 -0.177374 
0.1325 -0.166081 
0.13375 -0.154808 
0.135 -0.143567 
0.13625 -0.13237 
0.1375 -0.121227 
0.13875 -0.110151 
0.14 -0.0991524 
0.14125 -0.088242 
0.1425 -0.0774305 
0.14375 -0.0667282 
0.145 -0.0561452 
0.14625 -0.0456916 
0.1475 -0.0353769 
0.14875 -0.0252104 
0.15 -0.0152013 
0.15125 -0.00535853 
0.1525 0.00430944 
0.15375 0.0137943 
0.155 0.023088 
0.15625 0.0321828 
0.1575 0.0410713 
0.15875 0.0497463 
0.16 0.058201 
0.16125 0.0664288 
0.1625 0.0744234 
0.16375 0.082179 
0.165 0.0896898 
0.16625 0.0969505 
0.1675 0.103956 
0.16875 0.110702 
0.17 0.117183 
0.17125 0.123397 
0.1725 0.129338 
0.17375 0.135003 
0.175 0.14039 
0.17625 0.145494 
0.1775 0.150315 
