# This file was generated by the deal.II library.
# Date =  2020/4/29
# Time =  23:43:07
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_wrt_M_8> 
0 0 
0.00125 -0.0598636 
0.0025 -0.119415 
0.00375 -0.17852 
0.005 -0.237052 
0.00625 -0.294888 
0.0075 -0.351915 
0.00875 -0.408025 
0.01 -0.463116 
0.01125 -0.517092 
0.0125 -0.569863 
0.01375 -0.621344 
0.015 -0.671459 
0.01625 -0.720132 
0.0175 -0.767297 
0.01875 -0.81289 
0.02 -0.856854 
0.02125 -0.899135 
0.0225 -0.939687 
0.02375 -0.978464 
0.025 -1.01543 
0.02625 -1.05055 
0.0275 -1.08378 
0.02875 -1.11512 
0.03 -1.14452 
0.03125 -1.17198 
0.0325 -1.19747 
0.03375 -1.221 
0.035 -1.24254 
0.03625 -1.26209 
0.0375 -1.27966 
0.03875 -1.29523 
0.04 -1.30883 
0.04125 -1.32045 
0.0425 -1.3301 
0.04375 -1.3378 
0.045 -1.34357 
0.04625 -1.34741 
0.0475 -1.34936 
0.04875 -1.34942 
0.05 -1.34763 
0.05125 -1.34402 
0.0525 -1.3386 
0.05375 -1.33142 
0.055 -1.3225 
0.05625 -1.31188 
0.0575 -1.29959 
0.05875 -1.28567 
0.06 -1.27016 
0.06125 -1.25309 
0.0625 -1.23451 
0.06375 -1.21446 
0.065 -1.19298 
0.06625 -1.17012 
0.0675 -1.14592 
0.06875 -1.12043 
0.07 -1.09369 
0.07125 -1.06576 
0.0725 -1.03667 
0.07375 -1.00648 
0.075 -0.975238 
0.07625 -0.942993 
0.0775 -0.909795 
0.07875 -0.875694 
0.08 -0.840741 
0.08125 -0.804987 
0.0825 -0.768483 
0.08375 -0.731281 
0.085 -0.69343 
0.08625 -0.654983 
0.0875 -0.61599 
0.08875 -0.576503 
0.09 -0.536573 
0.09125 -0.496249 
0.0925 -0.455584 
0.09375 -0.414626 
0.095 -0.373425 
0.09625 -0.332032 
0.0975 -0.290495 
0.09875 -0.248862 
0.1 -0.207182 
0.10125 -0.165502 
0.1025 -0.123869 
0.10375 -0.0823298 
0.105 -0.0409296 
0.10625 0.000286452 
0.1075 0.0412739 
